Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	507.0728	15.299852	526.33813	483.49545	16.78656	4.0893836	22.217707	11.985719	1000.0	26.2	3999	12.952525	6.5490975	28.870989	-0.05446943	12.948862	6.550044	28.875053	0.011930969	-5.3808446	0.5336723	1.2101345	-11.884115	-14.019539	0.10772969	1.7700735	1.8778034	94.92984461784363
2	275.13058	187.88351	503.44104	34.030586	255.69792	72.514305	338.7956	146.29193	570.1429	1000.0	7999	38.06462	7.9630394	71.308205	19.114347	38.06322	7.96141	71.048996	18.818205	-5.260059	0.8830527	12.446527	-12.544144	-39.124886	1.2614846	2.5927324	3.854217	250.70194602012634
3	311.32437	208.45213	527.4683	45.573578	422.74765	126.14535	551.2143	68.81234	626.6667	909.2	11999	63.52719	8.52262	121.746414	44.729	63.527725	8.52099	120.09695	45.905365	-5.1111894	1.2238815	10.513891	-11.622673	-64.59176	4.98234	3.842545	8.824884	403.9970324039459
4	125.477844	166.65654	563.0361	5.174031	458.5695	118.49553	676.32263	193.13866	262.64285	882.4	15999	85.57088	8.535619	145.51836	48.12397	85.5663	8.536543	146.91183	45.869087	-4.620091	2.022229	21.384022	-13.368768	-86.62548	16.21781	7.264749	23.48256	559.7375519275665
5	303.1537	172.42125	495.55453	-1.0977831	502.85895	138.69289	679.02014	281.5519	631.0	1000.0	19999	104.16177	10.459409	179.1284	21.583227	104.15984	10.46462	180.1061	19.903797	-3.9403229	3.018416	33.11109	-12.635978	-105.29972	21.656216	9.933778	31.589993	715.2301971912384
6	412.785	85.035286	536.9574	309.74295	540.68054	93.2268	671.3562	368.29294	962.0	1000.0	23999	121.40421	11.500183	212.86708	8.397535	121.40743	11.500413	207.51784	4.442033	-3.2929232	3.3530538	32.369553	-14.918084	-122.57168	26.147707	11.986109	38.133816	868.40194439888
7	455.45468	69.90408	512.98883	339.97446	345.77032	71.84622	477.6986	221.79128	1000.0	1000.0	27999	136.87357	14.602793	254.2565	-3.2362263	136.87553	14.6035185	253.68153	-1.2725451	-2.8460815	3.9045637	32.62763	-12.553301	-138.15594	26.151255	12.962539	39.113792	1022.971506357193
8	496.66333	50.212597	552.67816	418.87228	556.48566	126.40395	753.2081	305.8314	1000.0	1000.0	31999	151.86441	18.424034	251.9533	-8.170593	151.86417	18.420418	247.7671	-7.687638	-2.0722985	3.9297879	26.518309	-15.813107	-153.14027	26.333342	14.089102	40.42244	1175.5496656894684
9	380.85266	80.05423	486.93802	290.06882	380.32358	110.01846	494.07	152.33731	1000.0	872.7	35999	162.42764	17.636093	252.26263	-8.035456	162.42934	17.627398	257.2513	-9.03392	-2.7464216	3.4649794	26.683754	-14.77115	-163.53981	22.689398	13.022217	35.711617	1326.8189973831177
10	311.38956	221.73589	568.88226	4.7578125	471.55762	134.5564	688.5651	270.11987	675.3333	1000.0	39999	167.51048	14.650628	243.58766	-23.723091	167.51344	14.64777	243.83813	-23.078667	-3.0956054	3.2707455	29.094263	-13.456844	-168.52168	20.078842	11.691967	31.77081	1480.4171397686005
11	494.5877	97.544785	633.6739	389.18433	531.3451	72.2801	645.06415	427.01096	1000.0	1000.0	43999	171.26453	12.985321	237.8571	-66.2501	171.26527	12.994877	248.50601	-82.41641	-3.4383116	3.0914574	24.524204	-14.380955	-172.19489	16.880136	10.831502	27.71164	1633.6399941444397
12	459.27423	82.62725	552.09064	346.98544	564.8153	147.22166	762.4273	209.22365	1000.0	933.9	47999	172.76949	11.351709	242.15117	-36.690292	172.77322	11.36855	240.37367	-48.729065	-3.8069074	2.8725648	22.165182	-13.18528	-173.65964	11.860771	9.623277	21.484047	1789.1333231925964
13	521.9165	83.64813	626.47205	401.3253	822.7878	92.103905	956.84216	690.0695	1000.0	1000.0	51999	172.92825	10.1831665	240.03372	-47.279297	172.9309	10.208639	239.90735	-88.920334	-4.115962	2.5617948	21.807114	-12.916647	-173.79483	9.526276	8.640856	18.167131	1947.0805716514587
