Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	317.93402	214.09015	492.0178	5.2182927	429.12494	49.258698	517.84174	351.15918	652.2	1000.0	3999	11.754085	5.869904	29.629759	-0.011222877	11.753804	5.8704705	30.104004	-0.008581065	-5.2702274	0.8106859	13.680485	-11.656957	-12.84122	0.18975085	0.18975085	56.47536659240723
2	380.42447	157.51747	519.3144	146.43216	247.00815	86.86574	443.16696	138.14261	781.6667	1000.0	7999	35.65772	11.677507	227.41171	-3.6262965	35.657726	11.679819	223.90709	-0.39407215	-3.4277847	5.116535	46.46911	-13.425859	-37.194023	2.4650445	2.4650445	185.34494829177856
3	245.70401	187.5076	499.34756	53.841717	200.09865	71.490364	308.15717	77.91024	659.0	1000.0	11999	167.7481	138.7134	1545.2804	-5.3801117	167.74962	138.72185	1541.728	0.6566819	16.854296	9.040159	103.2889	-12.343338	-184.14374	143.11525	143.11525	316.2067379951477
4	339.30112	90.54184	447.42426	228.67628	282.32443	14.362338	302.9413	246.63591	950.4	1000.0	15999	620.10986	254.94328	2170.572	41.622135	620.11383	254.93771	2156.188	40.41213	23.111498	7.623613	135.80898	-9.470772	-647.3387	791.9169	791.9169	447.5767433643341
5	189.63165	108.04115	337.0365	50.792427	340.66055	54.902813	429.25525	244.7205	539.0	1000.0	19999	997.0175	238.69809	2484.2441	50.62566	997.018	238.65749	2501.732	42.44653	20.33585	7.372437	145.11676	-8.053872	-1015.7019	990.7525	990.7525	586.2026154994965
6	309.71655	120.263084	497.30133	165.34215	254.39555	82.22687	427.37595	113.679695	870.2	956.9	23999	1183.5621	313.82047	2876.841	37.531216	1183.5665	313.78238	2898.8855	42.552845	17.377407	6.691783	90.12322	-7.586731	-1199.708	1190.7114	1190.7114	717.4829444885254
7	201.69875	164.99385	408.28757	12.523227	370.8472	126.073326	607.06934	218.13066	593.2857	1000.0	27999	1331.9214	291.19534	3786.6763	-61.956646	1331.9208	291.17493	3795.9194	-82.82819	17.822145	6.5218143	126.80121	-7.787245	-1349.9432	1431.066	1431.066	851.0452501773834
8	357.19568	65.835625	462.75943	284.95258	427.44424	122.18908	572.81586	210.57468	1000.0	1000.0	31999	1434.3503	236.8675	4444.119	-2.8044739	1434.3467	236.84332	4490.3315	-12.028457	18.107101	6.893014	114.473946	-7.7742386	-1453.5308	1988.2858	1988.2858	986.7417893409729
9	256.26486	104.09038	398.29062	78.361206	312.4981	47.543728	370.9299	250.31029	780.2	1000.0	35999	1517.8533	226.34232	5057.785	-21.530464	1517.8534	226.2679	5075.728	-45.844936	18.28112	6.5844746	144.29918	-5.377965	-1537.4121	2008.7313	2008.7313	1121.4106016159058
10	280.6121	149.85359	439.6686	13.877716	286.33966	168.899	576.62946	56.166885	820.6	737.9	39999	1616.4414	219.56883	5788.377	-24.806837	1616.4501	219.45477	5845.2827	-17.859722	19.136549	6.738823	165.46555	-4.980139	-1638.7152	2478.7583	2478.7583	1246.1255011558533
11	101.860275	129.0221	423.96304	5.509912	22.689665	38.599525	137.84145	5.618218	304.14285	48.0	43999	1707.1116	215.32664	5861.053	-109.51764	1707.112	215.25783	5871.102	-96.15604	19.086353	6.7255282	137.58324	-6.1458964	-1728.6672	2629.998	2629.998	1352.88556265831
12	171.30934	204.77982	508.28683	2.1176956	375.88617	79.41312	552.0442	275.245	395.8889	1000.0	47999	1782.9829	213.64075	6003.0884	-31.608442	1782.986	213.57332	5951.028	3.5316849	18.978676	6.6810465	145.95741	-4.8557076	-1805.5524	4725.096	4725.096	1484.5487864017487
13	332.657	122.07975	456.44217	113.00186	414.21387	88.10251	511.11142	253.7464	870.8	993.4	51999	1871.9218	229.64479	5813.3633	-108.53429	1871.9216	229.55095	5791.499	-107.05607	19.104656	6.7711043	113.30089	-5.340994	-1896.9208	5233.5073	5233.5073	1617.5280590057373
14	113.35401	172.7576	505.6863	-0.09231206	419.70428	98.11608	621.0761	292.019	300.5	1000.0	55999	1968.8419	254.36435	5797.7236	-201.77916	1968.8387	254.2862	5817.0645	-124.955315	19.68863	6.994282	121.61719	-3.3206468	-1995.9788	5694.004	5694.004	1752.2221674919128
15	377.7436	194.20424	563.48285	7.8192763	404.98328	86.9502	554.12604	286.02206	807.2	951.6	59999	2136.9502	271.9026	6267.9756	-130.57684	2136.953	271.84323	6300.347	-117.6496	21.25297	7.0677505	157.16817	-7.622531	-2169.0015	5851.452	5851.452	1887.2109549045563
16	312.9726	137.54202	453.83554	109.24026	453.83575	106.25569	592.43726	284.7711	854.6	1000.0	63999	2331.0198	269.09943	6803.3247	-147.07487	2331.02	269.04822	6836.1445	-139.21481	21.766857	7.056569	110.47525	-3.6968021	-2364.8674	6638.409	6638.409	2026.4460034370422
17	377.21295	155.97662	548.5635	92.563286	446.5075	130.07469	703.2821	222.20638	825.0	1000.0	67999	2481.813	264.29047	7002.9307	-566.54144	2481.8184	264.15884	7060.3833	-258.58722	21.788458	7.0360527	141.6233	-7.376053	-2515.0154	7782.04	7782.04	2167.5312633514404
18	530.1958	67.30541	619.2125	440.00418	406.68146	132.72098	524.02014	59.239365	1000.0	862.4	71999	2606.8867	283.5724	7869.927	-86.48219	2606.887	283.45096	7848.472	-11.898058	22.42313	7.175739	178.74594	-4.5702343	-2640.5735	7517.052	7517.052	2310.4859566688538
19	486.474	63.17577	560.7149	393.51514	457.7647	60.31295	543.96094	346.87186	939.75	1000.0	75999	2713.544	324.96616	8233.059	-63.29671	2713.549	324.77042	8291.612	9.362443	22.01752	7.014572	135.74869	-1.3819158	-2746.7007	8137.4487	8137.4487	2459.2835841178894
20	464.66534	156.07195	673.2758	286.62387	511.45883	153.2314	724.08405	293.69748	1000.0	1000.0	79999	2780.7383	335.3795	9188.167	-108.599525	2780.7427	335.1447	9231.615	45.01345	21.725798	7.0607777	143.10065	-13.124065	-2812.5464	8247.392	8247.392	2609.745796442032
21	349.19806	52.46021	413.91284	277.79843	389.67313	176.61687	616.4311	79.05961	1000.0	832.1	83999	2843.8066	344.9977	10492.882	-462.15497	2843.8115	344.7616	10482.446	-178.22473	22.344975	7.1785665	135.31927	-3.4517379	-2875.8472	8142.93	8142.93	2756.829372406006
22	449.5669	79.434814	550.6944	328.341	422.3604	102.10187	550.28577	268.20325	1000.0	1000.0	87999	2882.3674	348.06778	11378.502	-294.34476	2882.3762	347.72906	11483.242	-7.1120796	22.32395	7.2111793	140.46875	-2.973899	-2913.7234	7776.0024	7776.0024	2911.4100465774536
23	324.6383	66.218475	439.01385	280.8005	388.4379	106.565315	596.98224	186.41733	1000.0	966.5	91999	2923.126	381.00305	12207.671	-157.91702	2923.1353	380.7437	12255.852	130.56487	22.264887	7.3120956	149.1948	-3.6520426	-2956.845	8486.294	8486.294	3065.1419463157654
24	400.4461	109.95272	514.48193	219.98328	295.63748	140.47885	465.56934	90.39738	906.5	753.9	95999	2986.721	386.8101	13012.133	-424.79108	2986.7295	386.50235	12921.024	-124.77038	22.159506	7.4842734	165.0099	-3.3332047	-3019.495	7882.33	7882.33	3215.983731031418
25	363.982	161.88371	551.12604	86.64721	139.40665	209.4104	535.9459	3.3003538	797.8	273.5	99999	3033.419	369.15442	12344.835	-303.6171	3033.4202	368.91357	12159.922	-253.39008	22.101706	7.6083436	200.52536	-2.8736172	-3067.5916	8281.079	8281.079	3355.0469868183136
26	60.986008	141.12994	442.307	-0.8477636	395.61215	113.99684	562.9281	98.7259	156.72	892.3	103999	3085.904	371.2196	12047.906	-277.3142	3085.9124	370.96887	12115.122	-251.04121	22.138033	7.513504	192.83061	-5.7222953	-3117.718	8270.67	8270.67	3509.131200313568
27	337.3596	173.83595	569.99567	0.9819673	278.35773	163.51889	515.14386	78.608734	758.3333	651.4	107999	3068.6	359.5003	11571.797	-491.19965	3068.6055	358.97723	11699.101	-36.084656	22.292992	7.870557	151.3689	-3.579205	-3100.2805	9273.94	9273.94	3657.4432742595673
28	456.0218	38.566162	508.8824	413.72314	447.48657	100.57997	663.99854	321.3349	1000.0	1000.0	111999	3035.8804	366.39606	11265.321	-599.8982	3035.888	365.86493	11368.197	-246.4146	22.30131	8.243457	288.1183	-1.5991158	-3065.4678	8843.245	8843.245	3813.6568582057953
29	287.45163	46.793907	366.55453	249.11266	314.97696	60.503716	387.77585	169.12148	1000.0	1000.0	115999	2967.6433	367.31293	11219.462	-633.80115	2967.653	366.90576	11248.307	-304.04947	21.071184	7.7028127	280.7898	-1.8755045	-2993.964	7399.34	7399.34	3970.6984627246857
30	440.6102	50.148235	487.17627	365.83313	389.3554	117.310974	579.19666	193.77267	1000.0	1000.0	119999	2886.0166	329.78223	10967.713	-609.8072	2886.0234	329.27045	10980.422	-389.78992	20.685764	7.3603296	201.62183	-4.3558245	-2912.815	6571.395	6571.395	4126.601468086243
