Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	-1278.1804	73.61549	-1195.9005	-1357.4742	-1458.8932	34.218365	-1385.39	-1485.908	1000.0	1000.0	3999	-2.1173544	3.6197946	32.003174	-11.798509	-2.1180696	3.6175742	32.282185	-11.580905	-2.0473223	2.2556455	13.653582	-11.920681	0.88709915	0.95636964	0.95636964	108.30894041061401
2	-1233.0839	116.305626	-1040.9038	-1351.9222	-1440.2529	81.807175	-1272.9088	-1548.374	1000.0	1000.0	7999	6.5998826	12.282945	108.121	-13.269499	6.599472	12.283314	109.999504	-12.817839	0.51655513	2.9194953	19.73592	-16.76855	-8.958589	2.9365175	2.9365175	240.62815260887146
3	-1153.8015	258.27298	-724.54083	-1370.6964	-1466.863	26.190485	-1418.209	-1510.142	1000.0	1000.0	11999	40.787064	24.988205	146.35846	-0.11009516	40.78689	24.988546	151.34656	-0.33523205	2.4432046	3.2414663	24.382359	-17.199276	-44.191563	5.1003356	5.1003356	369.3287138938904
4	-751.5735	141.70438	-552.6409	-912.12286	-1682.3259	22.930056	-1618.2233	-1700.4667	1000.0	1000.0	15999	73.46117	17.568632	134.66998	24.297812	73.460945	17.570158	136.0779	23.599712	1.8409283	4.0213385	55.21003	-12.940176	-76.02116	8.470282	8.470282	496.8203012943268
5	-1458.4191	67.4723	-1373.1724	-1549.2377	-1361.4998	50.37461	-1281.9845	-1446.7856	1000.0	1000.0	19999	83.55401	12.086486	151.44046	53.117195	83.55401	12.085947	148.47784	52.492462	0.85428596	3.371733	30.421745	-14.744397	-85.58579	7.900963	7.900963	626.2685379981995
6	-991.01245	191.98987	-769.32837	-1203.7688	-253.82748	933.0258	588.4385	-1566.4604	1000.0	1000.0	23999	82.59312	14.192059	163.11134	42.816074	82.59334	14.189111	161.70905	41.084034	0.28562245	2.9570284	21.27613	-14.34307	-84.26422	6.2397695	6.2397695	757.5282135009766
7	-1216.3685	309.5428	-686.9788	-1472.6997	-269.76944	891.6824	465.17258	-1377.4686	1000.0	1000.0	27999	74.70403	15.29015	138.64778	31.177286	74.7044	15.289326	139.47057	30.542768	-0.3350551	2.6137216	16.249043	-15.687733	-76.048615	4.342451	4.342451	884.6526575088501
8	-169.41382	144.22343	51.144676	-353.05487	-535.13806	618.8049	428.9785	-1135.4966	1000.0	1000.0	31999	71.302956	11.287252	120.29855	30.305326	71.302925	11.2884655	121.64668	30.235281	0.25181273	2.7231398	24.25845	-16.761728	-72.894936	4.2593064	4.2593064	1010.3296732902527
9	-258.2416	361.3713	228.86165	-671.1227	-353.54974	207.75003	-12.724479	-742.50525	1000.0	1000.0	35999	64.26241	11.603748	108.216545	27.124876	64.26244	11.604992	108.97232	26.496527	-0.63777554	2.421932	16.068554	-15.7030945	-65.33697	3.5026646	3.5026646	1138.3433895111084
10	114.30417	186.55568	408.74045	-104.48692	159.17477	214.76436	450.13156	-142.16125	1000.0	1000.0	39999	54.51697	15.567103	108.295944	19.890575	54.517334	15.568371	109.38326	20.211548	-0.82419544	2.3356771	17.210129	-13.629465	-55.54509	3.8650692	3.8650692	1264.5088539123535
11	645.66907	43.419224	694.228	591.8122	1.3094349	174.37863	442.24753	-177.95068	1000.0	1000.0	43999	50.99495	18.770893	120.64046	9.687113	50.995335	18.771303	121.5153	10.683191	-0.3521634	2.3468099	18.861988	-12.705346	-52.151474	3.7639532	3.7639532	1389.7886862754822
12	654.0679	51.716805	713.0015	571.542	552.98596	373.33112	763.2697	-548.80756	1000.0	1000.0	47999	53.280575	19.029133	108.80231	9.628032	53.28051	19.030127	109.844696	11.089521	-0.06392021	2.4259295	19.185226	-14.368543	-54.523525	3.4591944	3.4591944	1513.754970550537
13	524.1514	202.78178	741.6158	296.43774	-4.592804	356.792	505.22595	-635.87115	1000.0	1000.0	51999	55.571156	19.317867	118.75004	15.454924	55.571404	19.31849	117.83747	15.750006	-0.38409874	2.3986852	15.360525	-15.270726	-56.670914	3.124972	3.124972	1641.2317492961884
14	594.2756	101.36083	732.7766	467.87378	113.78284	435.04828	701.8884	-735.25946	1000.0	1000.0	55999	56.919964	20.515642	120.87639	14.393757	56.919933	20.516161	118.80881	13.298988	-0.4705048	2.4794705	15.371678	-14.58507	-57.99218	2.9783554	2.9783554	1768.8780879974365
15	557.1091	137.18486	718.9684	414.7058	-505.5938	387.25815	287.974	-864.06714	1000.0	1000.0	59999	59.38253	21.639711	119.09186	14.006874	59.38252	21.640236	119.31212	14.381329	-0.52605474	2.5169582	16.691832	-14.382451	-60.424667	2.775754	2.775754	1897.802710533142
16	534.98914	80.84213	663.1133	442.32898	219.19978	525.2039	787.2977	-466.30133	1000.0	1000.0	63999	61.82576	21.89681	123.14063	16.221212	61.825714	21.89753	122.08068	16.046045	-0.56016463	2.5671487	19.00095	-13.34601	-62.870483	2.7085543	2.7085543	2025.589453458786
17	628.1291	124.1047	721.9685	415.2364	-131.92282	530.77234	696.5211	-663.1734	1000.0	1000.0	67999	64.38622	22.434181	122.25636	15.356148	64.38627	22.434423	122.412094	16.184103	-0.7066506	2.5180233	17.117788	-14.136819	-65.373146	2.6883426	2.6883426	2155.7173829078674
18	675.1271	31.815388	698.73755	620.3388	555.4714	326.18475	702.0227	-420.1162	1000.0	1000.0	71999	67.82967	23.086191	129.19061	13.76036	67.82975	23.086733	126.88763	15.798274	-0.6844307	2.6224484	18.204287	-13.164104	-68.86301	2.567619	2.567619	2289.4931609630585
19	686.74115	18.287619	712.4716	661.71594	130.12273	586.107	778.491	-684.66315	1000.0	1000.0	75999	72.19652	23.112246	134.29034	14.630563	72.19656	23.112686	133.81184	14.975375	-0.7118918	2.6814225	19.953175	-15.171874	-73.23406	2.4807868	2.4807868	2427.5704443454742
20	696.73346	14.40592	721.5794	686.39514	340.84476	440.6133	700.2033	-555.44946	1000.0	1000.0	79999	75.9492	23.275824	135.68373	16.882338	75.94912	23.27608	133.57309	19.038069	-0.9016404	2.6168246	17.320343	-14.556414	-76.93642	2.2916284	2.2916284	2567.752408504486
