Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	-1215.5597	101.590256	-1067.1051	-1353.5795	-1136.5355	40.04379	-1066.8835	-1200.4904	1000.0	1000.0	3999	5.039847	8.562035	72.25992	-7.7877817	5.0393796	8.563906	71.39141	-7.9693313	-0.11866445	3.3526418	21.053564	-13.151693	-7.4434924	3.530692	9.084308	12.615	115.98740339279175
2	-1312.6682	133.25691	-1121.7712	-1446.099	-1612.6289	41.719803	-1571.3647	-1665.6177	1000.0	1000.0	7999	78.20265	41.15803	184.33096	-3.812255	78.19989	41.16118	186.17062	-2.7540758	6.4817867	4.303131	47.11264	-12.488813	-86.25702	16.587215	21.796375	38.383587	260.9689517021179
3	-1224.3373	38.75701	-1159.9878	-1262.1097	-1189.2971	209.37468	-630.76965	-1425.9038	1000.0	1000.0	11999	173.01634	16.014208	248.53607	112.04278	173.01472	16.013649	255.17838	110.84545	4.6202755	4.134055	40.117245	-13.90722	-177.52258	18.611433	23.337997	41.94943	408.74016857147217
4	-1129.3152	251.44708	-739.40796	-1440.0175	-845.56213	232.46063	-600.586	-1197.7523	1000.0	1000.0	15999	196.05351	7.942026	237.74355	161.51257	196.05028	7.9343085	235.6418	160.96683	1.1000267	3.6325707	23.024511	-13.494915	-198.46178	9.039341	16.348166	25.387505	555.3715751171112
5	-594.0042	100.07032	-489.572	-714.757	-1388.0212	47.308662	-1349.1067	-1494.4928	1000.0	1000.0	19999	175.41116	9.400756	212.33006	145.87428	175.41032	9.400929	212.90962	145.43605	-0.70268345	2.4337065	16.43033	-14.193835	-176.5525	5.9825177	13.400133	19.382652	700.2275021076202
6	-857.18604	365.153	-247.36768	-1199.0063	-320.29477	622.2697	468.73056	-1230.3461	1000.0	1000.0	23999	153.48386	9.877196	203.76411	126.97605	153.48341	9.876668	207.3199	126.79158	-0.8512983	2.3672075	16.996866	-14.982595	-154.52603	6.084914	13.202095	19.287008	844.0901651382446
7	377.08612	234.71938	557.19403	-23.49255	542.3228	65.53735	643.901	476.31018	1000.0	1000.0	27999	141.02391	11.209096	198.20287	110.12082	141.02386	11.212008	195.64743	109.62163	-0.25984323	2.4375513	19.40232	-14.663379	-142.22829	6.1009398	12.964325	19.065266	987.5222103595734
8	467.6674	78.85139	594.6826	380.16	573.0466	70.13232	686.7063	482.43005	1000.0	1000.0	31999	135.22446	13.334715	181.54262	102.267235	135.22316	13.337346	183.0731	101.65164	-0.11167654	2.5716164	23.906303	-14.098849	-136.48317	5.7369647	12.425222	18.162188	1129.1519396305084
9	547.4584	130.46297	671.05975	334.45474	689.3047	1.0979042	691.551	688.05524	1000.0	1000.0	35999	132.4962	13.477269	170.32463	99.21051	132.49568	13.480256	170.09695	99.473915	-0.32529283	2.620716	17.493366	-16.449986	-133.69612	5.034044	11.609157	16.6432	1273.3040816783905
10	626.86523	25.001316	654.7053	587.6376	644.67004	47.132328	689.5519	585.94275	1000.0	1000.0	39999	132.06534	13.874142	165.53087	99.66931	132.06412	13.875479	164.1764	99.17891	-0.5360573	2.7099602	19.37699	-12.9634285	-133.25797	4.2806463	10.690534	14.97118	1413.804904460907
11	605.4154	49.851627	644.4053	520.40826	657.3127	44.381416	687.7725	589.0983	1000.0	1000.0	43999	132.57089	13.943402	162.70723	98.38078	132.56711	13.945811	161.98318	99.00725	-0.74085206	2.720869	16.301678	-13.38785	-133.69508	3.9292924	10.128271	14.057565	1555.0565783977509
12	640.3871	28.145275	666.92017	593.0725	177.65718	630.8881	691.77264	-695.7529	1000.0	1000.0	47999	133.76466	14.074301	161.00336	97.94243	133.76253	14.077447	160.57874	98.03692	-0.89281446	2.7940578	17.545675	-13.766189	-134.875	3.5500078	9.542334	13.09234	1698.7586617469788
13	658.3528	15.551515	670.73303	631.6887	657.6664	35.836494	687.3657	599.3696	1000.0	1000.0	51999	135.69553	13.66846	159.83226	96.69575	135.68915	13.6685095	159.68597	96.25995	-1.0551164	2.8423674	17.82295	-13.553509	-136.7695	3.3793316	9.216814	12.596147	1841.9395048618317
14	667.64246	6.8468685	674.2633	657.5037	665.9708	33.35633	692.10736	597.72766	1000.0	1000.0	55999	137.2119	13.54036	160.79364	95.91727	137.21022	13.541907	160.1164	93.672905	-1.2164989	2.8573735	18.287258	-15.078392	-138.24745	3.2212086	8.923703	12.144912	1985.9990718364716
15	643.77844	12.246637	660.4117	631.3376	601.36206	56.666233	714.5031	506.30063	1000.0	1000.0	59999	138.90048	13.137141	160.5182	97.34964	138.89758	13.138706	159.84306	97.60771	-1.3628364	2.8223443	17.801456	-14.112944	-139.91493	3.0654783	8.59753	11.663009	2131.82115650177
16	666.6708	12.034647	682.4333	649.3291	581.7928	50.581448	683.6688	511.02924	1000.0	1000.0	63999	140.08205	12.893307	160.4873	98.76803	140.0789	12.893948	159.73686	98.93313	-1.5481111	2.7139227	17.489557	-16.4875	-141.02654	2.9020948	8.303992	11.206088	2276.737387895584
17	647.9091	12.126712	661.6505	629.2799	668.69696	42.10143	693.8746	575.3997	1000.0	1000.0	67999	140.78674	13.195467	160.15877	99.37406	140.78471	13.19636	160.25816	97.89188	-1.6554875	2.6702888	16.611572	-15.087384	-141.71762	2.6909995	7.9403777	10.631377	2431.1437454223633
18	654.409	22.382437	673.9711	618.10156	687.45886	9.490371	714.08966	677.6895	1000.0	1000.0	71999	141.78145	12.955523	159.98631	97.123856	141.77786	12.958271	160.43436	97.29408	-1.7369843	2.633661	18.375952	-14.565534	-142.69746	2.6916933	7.8675795	10.559273	2582.2575268745422
19	659.00195	19.856693	686.72394	630.9408	679.35394	48.066956	699.6474	535.34985	1000.0	1000.0	75999	142.75475	12.687884	160.52818	98.95901	142.75189	12.687856	161.09271	98.309586	-1.8203874	2.6285965	21.55256	-15.687144	-143.6504	2.5348074	7.6035323	10.13834	2738.38040971756
20	672.8466	13.505499	691.46155	657.16986	647.79626	43.041298	692.16205	588.416	1000.0	1000.0	79999	143.43533	12.737229	161.29611	98.6014	143.434	12.738611	160.58	98.06934	-1.9193118	2.5708206	17.436466	-13.473352	-144.30078	2.5440302	7.527119	10.07115	2895.793170928955
21	614.82074	63.158226	659.6101	505.7951	643.6796	138.3844	696.3008	228.62953	1000.0	1000.0	83999	144.11665	12.714556	161.51753	99.99351	144.1115	12.716387	161.73476	99.56433	-1.9645696	2.56707	18.344507	-17.353413	-144.97598	2.5243893	7.44719	9.97158	3054.4081225395203
22	679.2406	11.395821	697.59937	666.34393	768.4216	32.057373	794.17487	693.56415	1000.0	1000.0	87999	144.65434	12.584576	163.12714	98.06959	144.64967	12.585436	160.75111	98.059235	-2.0376756	2.5230067	18.367395	-14.468316	-145.49272	2.5054405	7.331694	9.837134	3212.2766461372375
