Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	19.988266	3.1035912	32.403233	11.614191	36.169685	2.8397822	40.993168	32.544823	11.895522	35.9	3999	11.800176	7.533875	29.244001	-3.5957212	11.80061	7.5338573	29.467142	-3.8394575	-0.5016036	1.254471	4.6398325	-10.408034	-12.904461	0.7699703	0.7699703	80.12502861022949
2	20.238615	3.4851327	48.66465	11.699899	50.39772	4.5264826	57.893208	44.763905	12.204268	35.7	7999	24.30794	13.092139	52.60051	-3.0808964	24.307566	13.093659	52.560474	-4.8699746	0.32475936	1.7185037	10.247359	-11.935973	-26.652584	0.9462986	0.9462986	185.70015335083008
3	26.621107	13.887155	79.30745	8.146877	66.95781	6.4505424	78.80255	55.58259	18.574766	49.9	11999	44.13691	22.094835	102.77643	-9.251591	44.136604	22.095016	97.329185	-12.161442	1.5086815	2.137612	15.199198	-11.813091	-48.929703	8.601791	8.601791	290.88813281059265
4	100.315636	24.499859	153.48918	56.878086	1009.66327	2.7528138	1012.9395	1004.1925	76.80769	1000.0	15999	59.31069	26.308367	87.82605	-9.667404	59.31045	26.310822	88.05946	-16.574451	0.9838742	2.3327115	19.658585	-12.306826	-63.84499	6.24137	6.24137	415.39063143730164
5	209.64514	141.14381	716.69147	101.72262	969.2733	53.338932	1016.47	901.59546	193.45	1000.0	19999	61.25037	26.297606	90.41624	-12.622047	61.249744	26.29908	90.361275	-15.403508	0.6472717	2.3767087	20.625399	-14.668852	-64.791626	5.438663	5.438663	539.4683640003204
6	222.56519	152.33054	719.2308	100.972046	195.37904	58.60753	366.02182	161.21562	203.0	139.9	23999	62.937794	25.646952	92.03712	-15.319443	62.937984	25.649727	91.77092	-20.052965	0.4206579	2.266	20.011253	-12.010859	-65.955956	5.0597258	5.0597258	644.4187233448029
7	181.88396	71.29563	465.55972	119.64347	707.7848	323.83694	924.165	186.18115	140.75862	747.1	27999	63.574844	25.23966	94.32454	-19.66556	63.57464	25.24529	94.52843	-18.782764	0.3241473	2.1552641	20.717112	-11.572669	-66.13581	5.1040516	5.1040516	763.0075016021729
8	271.9141	116.179405	574.63043	161.5127	929.2324	8.765675	939.63635	906.2564	256.2	1000.0	31999	64.64291	24.70029	95.92929	-21.70558	64.643036	24.703152	96.01425	-34.457172	0.22960739	2.0790784	18.700932	-12.356137	-66.90979	4.5943985	4.5943985	886.2534754276276
9	349.4925	243.79309	844.9257	152.70384	929.4801	2.4864233	932.63934	925.17017	343.7	1000.0	35999	65.77986	24.089191	97.51827	-21.117647	65.77981	24.092175	97.22618	-23.576239	0.23329078	2.0308964	17.209097	-11.54579	-67.888336	3.6476398	3.6476398	1008.3462915420532
10	560.27246	247.23906	835.0469	257.199	834.1536	263.8428	925.02356	42.647552	608.4286	909.6	39999	67.73613	23.285887	98.402016	-20.915028	67.73599	23.289026	98.54185	-25.343401	0.12871455	1.9787749	17.115162	-11.18591	-69.63881	3.200641	3.200641	1128.8657085895538
11	805.39496	32.48859	848.6718	759.0676	924.1204	5.7795367	928.67694	907.635	939.25	1000.0	43999	69.525276	22.940033	99.7118	-21.905876	69.524994	22.94278	100.09758	-31.168911	0.034223977	1.9639239	18.16391	-11.703188	-71.28025	2.9784522	2.9784522	1252.1375424861908
12	622.2245	249.35391	945.51904	258.86765	924.6417	3.8239563	928.55756	916.0398	604.0	1000.0	47999	71.48543	22.474442	101.282974	-28.614588	71.48529	22.475574	101.21534	-28.996872	0.016026247	1.9697071	19.525393	-11.9042225	-73.16375	2.7944248	2.7944248	1376.176263809204
13	854.7976	23.737074	882.38434	817.90735	924.2404	1.8941327	927.333	920.60767	1000.0	1000.0	51999	73.85997	22.209784	104.011284	-24.767103	73.859436	22.21137	103.70945	-32.144012	0.03986473	1.9982876	20.419712	-11.039332	-75.46869	2.803002	2.803002	1500.834040403366
14	890.8091	26.62452	918.97125	847.0589	925.4368	1.5009043	927.05597	923.2786	1000.0	1000.0	55999	76.4416	21.715624	105.54537	-31.258629	76.44144	21.717733	105.85847	-25.289438	-0.055681393	1.9814607	21.910122	-11.4028225	-77.96889	2.993318	2.993318	1626.8573660850525
15	919.5061	47.390438	993.99023	863.99384	924.2137	8.273331	947.5549	917.1061	1000.0	1000.0	59999	78.68289	21.497353	106.84756	-31.308983	78.68289	21.49779	107.11219	-27.420372	-0.10053739	1.9355389	22.918438	-13.559481	-80.16011	2.8179235	2.8179235	1755.1974725723267
16	721.708	344.18207	1032.591	60.010803	932.3514	4.775902	936.9937	919.6552	738.3333	1000.0	63999	80.77982	21.21367	108.43041	-36.65552	80.779594	21.214872	108.0437	-27.483204	-0.09309671	1.9210001	22.58897	-11.153276	-82.18844	3.4250026	3.4250026	1884.8632669448853
17	929.6765	215.98877	1122.0822	564.989	1430.2035	1.8934472	1434.3676	1427.6754	879.25	1000.0	67999	82.8717	20.9696	110.19226	-26.343086	82.87187	20.970556	109.862526	-32.263557	-0.048853137	1.8845953	26.980022	-10.136786	-84.21283	3.4775522	3.4775522	2019.7370862960815
18	1128.3926	402.3974	1450.2306	340.91977	1723.5168	10.304024	1742.5043	1711.7152	853.6	1000.0	71999	85.48314	21.236933	116.816185	-42.481968	85.48262	21.23998	116.37717	-36.93698	0.067437336	1.8789271	23.257828	-11.913049	-86.81638	3.862329	3.862329	2164.4864242076874
19	1265.1163	404.43427	1525.5552	565.8369	1589.0164	5.016695	1601.4957	1582.3701	843.25	1000.0	75999	89.19331	21.694527	120.27214	-45.779564	89.19324	21.696503	119.13421	-44.781136	0.18063827	1.8610647	28.810186	-11.610583	-90.53984	4.0404735	4.0404735	2318.773599624634
