Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	20.018452	2.9181168	30.841475	10.68298	42.153492	2.324285	48.629192	39.20054	12.087879	34.2	3999	14.149957	8.611754	33.753193	-1.8019345	14.156735	8.605276	33.829628	-1.7628356	-0.41771302	1.2941895	4.8420258	-10.493465	-15.396224	1.2446344	5.3016667	6.5463014	94.5156478881836
2	20.054537	3.079654	31.581957	10.38905	58.403633	6.70559	65.095276	41.284748	12.063253	56.0	7999	31.537575	16.347063	63.5419	-4.198884	31.54997	16.33358	63.93845	-3.92636	0.4526528	1.8513465	10.211912	-11.397014	-34.565845	2.2962718	6.4504933	8.746766	220.37932419776917
3	29.752975	66.88021	773.8543	11.91005	801.8257	2.6426415	806.1966	796.72534	24.617285	1000.0	11999	57.06518	25.300385	109.8592	-13.274603	57.074554	25.278107	111.657326	-9.618995	0.9162382	2.4490871	16.341322	-10.977324	-62.414505	9.622521	11.145165	20.767687	364.77519130706787
4	64.62354	19.951859	207.6061	40.24271	73.87216	7.0656433	84.435005	61.706654	51.192307	50.5	15999	78.41885	29.37496	114.73802	-18.099472	78.42083	29.341038	115.52214	-16.443407	0.9511361	2.4441075	17.365751	-11.639242	-83.691986	23.804821	15.055307	38.86013	492.5749521255493
5	91.77621	164.95525	832.2277	1.1455818	888.13153	4.095662	893.66785	879.67	106.916664	1000.0	19999	88.76995	36.588806	129.94511	-30.02525	88.77099	36.56143	129.34169	-25.86385	0.9986099	2.5279593	22.56905	-11.334375	-93.80036	17.77154	17.027168	34.79871	639.0163583755493
6	704.9288	9.267295	719.49664	693.74084	888.60925	4.939368	895.6995	879.6279	1000.0	1000.0	23999	94.65777	38.226734	134.18088	-39.113205	94.66498	38.209988	133.1983	-38.932354	0.89432025	2.5491977	19.152205	-11.356014	-99.12206	16.841137	16.553537	33.394672	785.5544745922089
7	432.00162	239.11919	767.8252	190.11292	898.26624	55.611507	942.35425	789.2436	546.5	1000.0	27999	99.06349	37.30017	137.77167	-42.32595	99.0755	37.289497	138.49359	-41.87141	0.5294297	2.5010478	20.016806	-11.524058	-102.8898	14.944932	15.294506	30.239437	927.816175699234
8	408.1879	264.2619	799.1982	117.34506	913.8333	3.3338432	919.369	908.746	480.9	1000.0	31999	102.56836	34.977047	141.61153	-44.331997	102.57878	34.965416	136.07455	-41.34255	0.4690012	2.4733856	22.526999	-11.964852	-105.93322	13.638176	14.172323	27.8105	1069.6476340293884
9	344.6107	209.50978	772.16736	151.90099	832.153	7.6276207	841.67896	816.00555	386.33334	1000.0	35999	105.06434	33.032974	139.95854	-63.44742	105.07114	33.015934	146.25308	-61.494328	0.15839654	2.344764	22.77004	-12.9298525	-108.07079	13.987877	13.716422	27.704296	1212.0404424667358
10	770.3274	3.2214024	774.48016	765.6012	808.605	2.5069826	811.1791	801.83496	1000.0	1000.0	39999	107.95257	31.833603	145.22507	-72.39157	107.95944	31.81658	153.24126	-77.14856	0.033980824	2.2815642	21.049221	-11.726228	-110.71923	12.970779	12.942023	25.912804	1354.4906616210938
11	639.6053	168.67542	791.6592	433.8434	963.90564	53.44529	1018.82434	906.6581	804.8	1000.0	43999	109.08405	31.857895	152.23833	-67.560005	109.09458	31.838749	145.32649	-54.026043	0.066038236	2.2501523	21.556135	-12.236933	-111.56672	12.378423	12.3293705	24.707792	1498.5411717891693
12	430.1218	237.6673	796.56024	172.0104	919.48474	1.9298822	924.06335	916.80786	471.25	1000.0	47999	109.71626	30.244667	146.57774	-53.19402	109.72347	30.227612	142.4863	-49.831944	-0.044602636	2.172254	24.282532	-10.270645	-111.99172	11.096864	11.364324	22.461187	1645.6475932598114
13	593.16144	312.32416	855.09216	119.07621	908.0895	30.87728	920.7654	815.5393	698.3333	1000.0	51999	109.97855	29.405878	143.84532	-53.00651	109.98518	29.393404	142.75304	-48.08235	-0.11744222	2.135238	28.322102	-11.661511	-112.12167	10.349963	10.830696	21.180658	1794.795624256134
14	493.80585	226.10341	821.5108	155.87692	923.3672	2.8499448	927.29474	917.2503	599.2857	1000.0	55999	110.6819	28.654049	142.9076	-56.86391	110.69125	28.638397	138.4206	-65.11416	-0.17675391	2.1046765	26.05296	-12.275581	-112.68023	9.32407	10.299062	19.623133	1942.3337819576263
15	329.36688	247.96114	861.86444	70.31885	909.4002	2.6710057	914.4214	904.2292	427.0	1000.0	59999	111.69836	28.670284	143.72879	-34.36336	111.71025	28.659607	139.11919	-34.989716	-0.078311674	2.1028311	46.898254	-9.847427	-113.58005	9.619281	10.861315	20.480598	2094.453276157379
16	300.83856	188.68942	885.09906	143.94032	203.31966	28.493828	266.87433	159.94713	287.2857	163.5	63999	113.63017	29.66028	150.39438	-41.57129	113.63769	29.642128	152.29085	-32.342056	0.14344528	2.017188	37.173958	-14.410591	-115.47279	10.148484	11.312169	21.460651	2234.4046626091003
17	394.64417	231.82224	977.65173	188.82684	957.6092	13.543489	980.6478	935.6713	377.0	1000.0	67999	114.84442	30.242365	146.57173	-53.583767	114.85435	30.227983	143.96434	-43.31897	0.0353541	2.056949	24.142416	-11.621195	-116.60281	10.346257	11.069433	21.415691	2399.139080286026
18	821.813	242.84001	1015.7379	350.83868	974.15204	56.53155	1091.5355	919.2457	827.0	1000.0	71999	115.44204	29.880472	148.45103	-70.832535	115.45067	29.870546	149.3016	-48.977436	-0.022722207	2.0001285	23.763887	-11.73307	-117.06873	10.139803	10.929175	21.068977	2582.818588733673
19	680.4374	295.6555	941.3419	129.54132	919.246	10.2024355	936.32196	903.2743	693.6	1000.0	75999	116.63764	29.268131	152.01189	-58.437836	116.64304	29.256884	149.12129	-47.47785	-0.019186158	2.00477	22.464718	-10.268547	-118.22724	9.877518	10.74457	20.622087	2770.3166320323944
20	739.40985	350.53934	1069.6255	150.17789	1144.3376	10.759362	1161.4187	1126.3323	719.1667	1000.0	79999	117.58302	28.73011	153.70003	-39.57253	117.58569	28.72166	151.403	-46.898396	-0.13881823	1.9150351	21.292679	-11.995429	-119.06522	9.944168	10.3887825	20.332949	2964.610234975815
