Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	-13.066624	13.29913	11.225126	-39.700573	-7.652169	11.414853	12.655369	-24.733019	150.0	150.0	3999	4.8445797	5.109873	42.086475	-8.696507	4.846675	5.1075864	41.74019	-8.771586	-0.35580206	1.4807658	9.337204	-10.378075	-5.420706	1.6088024	5.8969116	7.5057135	88.8857672214508
2	-13.013087	11.619312	7.6424947	-37.927483	3.0695577	7.6429477	17.794895	-8.570904	150.0	150.0	7999	22.106003	10.0823145	63.74834	-5.278628	22.102438	10.08872	65.53977	-5.2933083	0.49830392	1.7449235	9.071963	-11.139385	-23.0484	6.9370685	9.333724	16.270792	208.41093015670776
3	-4.8518867	11.86176	20.068333	-34.601055	-2.7041879	7.9760714	11.208471	-13.541992	150.0	150.0	11999	37.07609	9.518199	77.0616	3.155579	37.07165	9.51666	76.356384	2.8819191	0.27795446	1.6757413	9.852947	-11.116587	-37.733463	13.829812	11.776552	25.606365	330.878568649292
4	-4.858002	9.594564	14.044654	-23.71208	-2.2541852	10.942269	16.379477	-14.685866	150.0	150.0	15999	45.143856	8.833555	81.30291	11.774632	45.14371	8.83095	80.13992	8.19127	0.05872064	1.5494229	10.076099	-10.000625	-45.542522	19.906498	12.5982895	32.504784	455.3407726287842
5	-7.2588267	12.044877	18.945395	-28.386076	-5.9044676	11.045029	12.980539	-22.434368	150.0	150.0	19999	48.037846	7.949252	79.092804	7.0496054	48.033466	7.9433427	80.884224	4.0804467	-0.065235116	1.4783165	9.377736	-10.66769	-48.302547	22.799997	12.75259	35.552586	574.2379515171051
6	-5.7956033	12.461046	27.405285	-22.808023	-5.140728	8.227046	6.4891005	-17.652296	150.0	150.0	23999	48.539173	8.006479	80.19655	3.2252598	48.539227	8.004373	81.953896	0.15504348	-0.11497552	1.4495643	10.541077	-10.047524	-48.76806	23.95717	12.967724	36.924896	692.0744340419769
7	-6.8088093	12.242912	20.375927	-39.231884	-1.3872375	8.6939745	14.583192	-15.393741	150.0	150.0	27999	48.21933	8.283134	81.71874	1.9302491	48.217224	8.277279	81.29078	-2.2482731	-0.15798847	1.416589	10.257622	-9.643022	-48.395905	23.257637	12.529584	35.78722	811.1949026584625
8	-0.3146298	11.880286	20.799515	-27.329481	7.0279045	10.735983	33.608704	-5.632511	150.0	150.0	31999	47.058777	8.266728	84.853294	1.0926206	47.05907	8.260166	82.761925	-4.68973	-0.19767766	1.3953489	12.729689	-11.892319	-47.207756	23.69468	12.408057	36.102734	928.2431938648224
9	-5.2836456	13.739691	16.119818	-39.452343	-0.8081064	9.639009	15.250181	-20.409248	150.0	150.0	35999	45.91001	8.305987	83.63582	0.22098234	45.911224	8.302325	82.272255	-5.790272	-0.23362379	1.3607652	11.081146	-11.402773	-46.039562	22.47855	12.115574	34.594124	1042.2024295330048
10	5.756219	11.161411	21.103304	-14.536981	2.0304432	15.87572	32.01005	-27.712044	150.0	150.0	39999	44.537624	8.389142	84.264046	-5.7065086	44.534515	8.386462	83.41698	-5.8576136	-0.29685733	1.3124342	14.800097	-9.71328	-44.64305	21.209797	11.670436	32.880234	1156.4179940223694
