Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	-8.408884	13.646074	16.94921	-34.759026	-27.156397	18.341352	0.7513524	-54.243782	150.0	150.0	3999	4.5814857	6.670878	50.101303	-18.764608	4.5814734	6.6690125	50.67886	-18.752174	0.19457172	1.8280956	9.464022	-11.292683	-5.638767	1.3605386	1.3605386	70.6854841709137
2	-7.771045	11.7869835	11.718007	-45.278744	-32.963753	51.19888	4.7864356	-135.94641	150.0	150.0	7999	21.50735	9.461485	66.9218	-19.948664	21.507393	9.458742	67.28136	-19.565678	0.82850397	1.8716196	12.480277	-10.682516	-22.795256	6.5037794	6.5037794	164.4224591255188
3	-11.684386	14.81954	18.51593	-42.60676	0.5408676	9.495924	12.610521	-21.291008	150.0	150.0	11999	35.34503	10.160671	88.3903	-11.576069	35.343784	10.161905	87.04716	-12.3633175	0.7927996	1.9925132	16.25299	-12.495057	-36.393593	13.51355	13.51355	259.43201422691345
4	-4.1516848	13.902982	24.652182	-27.466576	-6.796869	10.510667	16.66444	-24.336786	150.0	150.0	15999	38.434353	8.621158	77.31985	-5.1023374	38.434628	8.614661	78.41763	-3.8451428	0.2914464	1.6675029	12.951427	-11.512907	-38.95578	13.7326	13.7326	354.3821175098419
5	-5.659595	11.573959	19.140924	-30.969093	0.30643588	13.181362	13.113178	-26.52977	150.0	150.0	19999	35.14402	7.601437	71.888985	-5.2295938	35.143867	7.591675	71.98231	-5.984375	0.20833136	1.610201	16.422647	-9.974926	-35.515514	11.385773	11.385773	449.8296594619751
6	-3.903894	10.830824	12.958413	-31.767939	7.0621057	10.525542	27.037247	-7.9620547	150.0	150.0	23999	30.859028	7.995784	70.14311	-7.190603	30.85885	7.9890933	69.64251	-7.28511	0.12756805	1.518121	11.576286	-10.522737	-31.17319	9.254831	9.254831	545.3773610591888
7	-0.16923374	10.629059	18.552795	-26.934338	7.0905013	12.198213	28.254793	-11.452689	150.0	150.0	27999	26.466812	8.1913395	65.97372	-8.853448	26.467247	8.184578	63.8986	-9.103166	-0.06880558	1.3892083	11.10475	-10.142448	-26.69509	7.028869	7.028869	641.2954738140106
8	1.3618667	10.967509	18.47337	-20.520134	5.220126	10.201301	22.21931	-15.367317	150.0	150.0	31999	22.330898	7.859504	56.263855	-12.211529	22.331255	7.853737	56.485962	-10.886573	-0.16723128	1.333095	12.026182	-10.284728	-22.529325	5.4245887	5.4245887	737.2115633487701
9	8.307532	11.606751	25.996391	-15.231742	10.061944	12.244942	29.338408	-9.555901	150.0	150.0	35999	19.101343	7.4949045	52.72834	-13.470281	19.101507	7.489816	52.051785	-12.990105	-0.26803514	1.2896607	11.663362	-10.635986	-19.287796	4.1336827	4.1336827	832.7241468429565
10	-0.91734725	10.708362	19.154945	-24.32234	12.208352	8.951303	28.98075	-1.6665399	150.0	150.0	39999	16.591354	7.1932707	50.006893	-17.08084	16.59154	7.1888185	49.84256	-15.790705	-0.38470316	1.2212745	10.319366	-9.948275	-16.758402	3.2107728	3.2107728	928.5233376026154
