Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	-13.452908	13.281653	12.354044	-44.059006	-32.856422	39.996567	32.361996	-122.22684	150.0	150.0	3999	6.2975183	5.7836647	34.020287	-12.195675	6.302285	5.779996	33.611015	-11.982437	-0.009354657	1.6620901	8.9590435	-9.340092	-7.0977697	1.7678789	5.826551	7.5944295	82.51197457313538
2	-8.876302	13.1536665	12.74276	-32.473675	-4.6622906	13.069561	13.533405	-26.796366	150.0	150.0	7999	23.193668	7.3261695	57.148117	-5.398427	23.195786	7.3241663	57.226547	-6.4151034	0.41689754	1.71879	11.276179	-11.971406	-24.071676	6.6317167	9.513571	16.145287	193.48303771018982
3	-9.36178	11.0491295	9.821838	-28.252743	-9.458039	10.079105	4.712713	-28.681808	150.0	150.0	11999	40.921703	8.004843	78.38929	-0.6788602	40.925533	7.997417	77.0583	0.16749024	0.55580056	1.7868636	11.601155	-14.059245	-41.823338	16.928072	13.148945	30.077017	305.0918312072754
4	-6.5345798	10.217871	13.650363	-27.367456	-2.0314584	11.675572	16.316061	-26.085651	150.0	150.0	15999	51.23639	7.3640413	88.54512	1.9849923	51.23892	7.3514433	88.50092	3.561772	0.30683804	1.7081718	13.464249	-12.04357	-51.811584	25.636992	15.098823	40.735813	417.0474479198456
5	-3.0454237	10.609331	18.658577	-22.796785	3.3642974	11.991584	22.136887	-14.003515	150.0	150.0	19999	56.272785	8.275847	103.5558	-5.811124	56.275646	8.271266	104.4667	-3.400069	0.38235074	1.7240084	14.543752	-9.963966	-56.7609	31.296148	16.490562	47.786713	529.1567850112915
6	-6.195175	12.140068	15.6477165	-36.83565	-3.219216	11.531028	18.371637	-21.566332	150.0	150.0	23999	59.11406	9.277508	104.55086	-4.1771917	59.121037	9.265779	103.959625	-0.691057	0.33246067	1.6510037	11.646109	-10.244934	-59.496647	33.988655	16.842924	50.831577	641.7012264728546
7	-4.435337	10.172384	21.933947	-24.543238	-3.0324616	13.915817	27.299723	-23.38366	150.0	150.0	27999	59.5413	9.428689	102.06877	-4.574458	59.54287	9.418257	102.52028	-9.508788	0.22728851	1.5512574	14.231442	-9.934882	-59.82038	35.01336	16.928148	51.94151	753.8691036701202
8	-4.274056	12.166948	24.65198	-27.3475	-1.8637397	6.959986	11.1558075	-15.766242	150.0	150.0	31999	58.221775	9.390125	100.71129	-13.955385	58.22602	9.381867	99.133125	2.5157306	0.18176416	1.5250089	10.8613	-10.4377	-58.462196	33.632362	16.542633	50.175	866.4227261543274
9	0.4043443	15.789579	30.30175	-29.320063	-0.3128016	13.473385	14.987017	-21.726358	150.0	150.0	35999	56.81574	9.330442	96.0691	-8.015609	56.818676	9.32175	95.96343	-5.60105	0.15557265	1.4976735	12.455282	-10.303141	-57.021873	32.114563	15.826491	47.941055	978.5935554504395
10	-3.7632065	15.293864	29.42211	-38.131	-2.123249	16.63746	28.047426	-29.675508	150.0	150.0	39999	54.819817	9.213928	93.05578	-11.796534	54.823856	9.207933	91.389084	-6.4326324	0.06696144	1.4556124	11.394242	-11.43288	-54.968945	30.624798	15.039152	45.663944	1090.883504152298
