Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	16.85181	3.502908	34.293	10.863185	56.87387	19.595518	86.84417	18.435686	14.311828	60.6	3999	11.207191	7.1564713	26.690825	-2.2237406	11.207403	7.1551423	26.750227	-1.7841156	-2.750656	1.6870587	9.544771	-12.42596	-12.475768	0.4663134	0.4663134	79.77618598937988
2	16.87565	3.1574833	28.85999	10.734428	60.288776	10.014842	81.01154	43.516735	14.303572	89.1	7999	26.242807	12.595287	48.320786	-4.2218056	26.24299	12.5943985	48.041214	-4.301467	-1.7994674	2.7728732	15.259224	-13.05895	-28.528847	0.92268884	0.92268884	184.3880295753479
3	23.249598	16.437565	86.40993	10.126543	90.331276	17.647821	116.174866	67.698875	22.842106	84.2	11999	39.353794	18.359238	74.92826	-8.776504	39.353283	18.360435	73.49553	-8.680234	-0.7492829	3.3994694	20.487024	-17.085125	-42.839443	3.5592978	3.5592978	290.92310333251953
4	67.79338	17.593363	103.64426	21.266039	90.01075	20.034554	105.28805	33.10669	76.830185	74.2	15999	50.716614	22.039387	76.7935	-11.108444	50.71601	22.040358	76.202736	-12.7438755	-0.7763622	3.5222096	23.440418	-13.890209	-53.969814	4.3629465	4.3629465	398.6244623661041
5	71.567825	16.119484	120.39626	26.404984	130.63535	146.97023	569.6718	66.65356	78.39216	162.1	19999	55.264996	26.504541	84.06525	-12.54057	55.26491	26.503107	84.189835	-12.884667	-1.153478	3.4347987	22.312262	-12.573538	-58.288334	4.7803597	4.7803597	505.9931426048279
6	85.31241	25.445063	176.1239	20.66707	344.48618	291.96732	702.4422	83.62554	89.4	453.5	23999	57.352386	28.678864	89.06499	-16.402845	57.35275	28.677748	90.35625	-13.358682	-1.3387825	3.2904649	23.084063	-11.963154	-60.150238	5.2030306	5.2030306	621.981226682663
7	142.71303	80.37596	413.00052	27.264301	406.95297	291.08316	767.71405	97.4198	181.22728	519.2	27999	59.66644	29.258612	93.41431	-13.931671	59.666676	29.257698	92.50578	-13.470553	-1.3173424	3.2357194	22.112795	-14.158577	-62.25161	5.699481	5.699481	737.9458515644073
8	222.98955	228.75876	688.5159	31.00048	275.57843	284.76572	720.126	35.760715	331.3	380.6	31999	62.69846	29.289495	94.30793	-12.723238	62.69894	29.287918	100.80603	-12.704136	-1.4167434	3.1771162	21.437778	-14.6543	-65.065155	6.5555744	6.5555744	850.9754099845886
9	137.20912	144.8835	668.75415	42.799103	261.96912	266.45636	843.3137	41.09083	197.95238	321.1	35999	65.80586	29.77804	106.53023	-12.1765175	65.80596	29.77663	98.84682	-12.174392	-1.5125672	3.1411018	21.270018	-13.374826	-68.01457	6.6451445	6.6451445	962.0290913581848
10	241.9037	205.8542	669.77374	77.163155	225.73833	244.3104	705.613	33.867554	347.92307	305.9	39999	68.420715	30.336765	104.30538	-13.563168	68.420525	30.336447	107.070496	-15.642422	-1.5549345	3.1099434	27.422844	-13.522295	-70.473434	7.448428	7.448428	1073.8136324882507
