Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	17.086473	3.5510852	29.35492	10.806382	84.45123	11.35095	117.17594	77.132484	14.803703	65.5	3999	13.520792	8.123333	30.74139	-0.018285021	13.512188	8.131608	30.72083	-2.111692	-2.61822	1.8911332	12.145693	-12.760288	-14.893771	1.0113394	4.677851	5.6891913	92.82453107833862
2	16.861187	3.323914	31.072872	10.823262	40.15813	13.19881	58.489334	24.431211	14.712177	35.6	7999	33.8868	14.854306	64.921646	-0.9900193	33.887844	14.846873	64.0328	-3.7852442	-1.6636621	3.4332926	21.672138	-13.323271	-36.74408	2.6227696	6.9153533	9.538123	213.72987151145935
3	20.071157	14.934477	99.470604	4.163399	41.08308	27.91894	79.750496	4.7301717	19.944445	76.6	11999	65.36224	30.418253	184.1977	-1.7275542	65.36884	30.391283	179.92705	-5.839121	1.5952451	4.2713428	33.670116	-13.075136	-71.52702	24.686153	16.638542	41.3247	338.65219140052795
4	71.583595	88.46642	623.1017	-3.0039682	77.55684	20.56078	114.14207	43.749744	91.5	91.2	15999	100.07098	45.547085	225.35683	-8.185728	100.07969	45.514774	223.46837	-19.47021	2.8718789	4.0486207	31.948149	-13.322666	-107.1938	45.09205	25.935188	71.02724	464.5010919570923
5	92.35858	92.60533	477.15207	18.635992	409.4861	201.23535	662.25305	97.28313	165.83333	734.1	19999	107.69496	50.266468	249.4797	-18.245724	107.70782	50.233627	252.44788	-21.07258	1.7514527	4.4215484	27.876646	-14.890131	-113.785126	45.691647	26.797289	72.48894	604.7819216251373
6	108.24499	99.65506	517.3594	12.536418	67.65153	14.9078865	86.21303	37.104355	143.75	73.9	23999	116.31313	52.5476	267.26736	-15.906063	116.32833	52.507923	277.70795	-21.349802	2.5914445	4.3507605	36.03817	-15.640521	-122.14871	52.743477	29.400768	82.14425	727.9880082607269
7	99.18737	121.63776	632.04724	17.279726	615.09485	182.71512	681.09534	67.07379	141.96428	910.1	27999	121.0745	54.950798	225.51566	-10.900634	121.09105	54.927395	210.3809	-16.321386	1.6756572	4.1900077	30.585289	-14.288579	-125.95727	46.23129	28.149815	74.381096	871.2811126708984
8	153.70062	164.86896	623.0384	32.01265	515.65283	270.1547	695.86664	16.813097	230.35294	766.0	31999	122.69243	52.07311	191.9537	-9.972716	122.70323	52.049965	206.06764	-14.469155	0.62430704	4.225314	32.52431	-12.377624	-126.97493	37.078705	24.429543	61.50825	1010.7438626289368
9	90.73252	42.248745	196.86366	36.602295	276.66034	312.67044	793.8644	39.929817	146.42857	366.0	35999	121.90518	49.942013	228.31204	-14.842658	121.90784	49.91545	216.04294	-19.117258	0.35895637	4.271674	40.309376	-13.818801	-125.44644	44.222717	26.5012	70.72392	1140.994155883789
10	75.56129	116.29763	527.464	-11.573306	285.68842	243.96605	665.6434	50.373306	145.2963	455.0	39999	121.69396	49.659027	233.21422	-15.033229	121.70387	49.63264	232.66756	-17.27157	1.2560498	4.0838437	37.921654	-13.4125595	-125.044945	55.04408	29.855507	84.89958	1273.9462921619415
11	177.52798	168.24095	685.3063	57.322174	617.45245	347.83618	887.02216	76.0702	216.36842	721.2	43999	119.98821	48.988873	203.06778	-13.567458	119.99441	48.973637	211.51059	-15.178644	0.4578668	3.9228518	32.86201	-14.350278	-122.88602	46.026726	27.055914	73.08264	1413.3375101089478
12	141.12175	130.54753	623.16736	16.915712	209.53938	181.04326	682.467	86.90436	194.75	264.3	47999	118.68164	48.43749	178.36035	-22.098812	118.68237	48.43099	177.00375	-20.586668	0.12728256	3.935379	35.53202	-12.489987	-121.43273	36.23565	24.937492	61.17314	1542.65398812294
13	154.40918	141.87537	645.36804	29.944996	211.13379	197.0168	595.64514	50.14845	241.52942	306.5	51999	119.42146	47.55879	199.61377	-21.070105	119.42146	47.55097	203.04964	-21.731411	-0.103358865	3.8788009	32.163017	-18.894028	-122.02629	34.653225	24.788918	59.442146	1675.746857881546
14	178.55867	178.78108	605.2632	39.77143	437.5275	280.85892	673.89026	72.99495	283.2143	637.5	55999	120.40918	47.4459	210.41214	-21.63932	120.40919	47.433857	201.27649	-19.45931	-0.18479848	3.6970983	27.303635	-14.632704	-122.649704	34.469543	24.517868	58.987415	1818.0049691200256
15	346.22647	263.4791	618.0934	45.301105	588.3325	257.3716	866.1162	88.03189	559.5	820.4	59999	118.86015	47.677994	198.4903	-22.402748	118.86075	47.669193	203.28738	-22.835945	-0.2552461	3.6915045	28.847715	-13.7925005	-120.9215	33.42409	24.289223	57.713314	1968.3009719848633
16	447.6891	251.58173	633.4991	55.158993	640.76855	248.04361	820.9857	98.44324	702.0	831.0	63999	119.86849	46.15301	202.05339	-17.599276	119.87384	46.14884	200.27489	-20.70306	-0.36037114	3.7166936	32.297173	-15.165065	-121.92852	31.846056	23.447313	55.293365	2118.1728422641754
17	340.60294	264.61462	668.0573	19.596956	734.1272	191.18338	804.17316	160.6393	497.1111	916.7	67999	121.31425	45.11841	192.24042	-17.948372	121.31731	45.11531	191.1218	-19.485731	-0.5646502	3.6563213	35.37719	-13.013646	-123.24731	29.319975	21.716707	51.03668	2277.2769269943237
18	353.7475	253.3497	652.3699	111.87528	808.11304	219.289	902.3922	156.06151	521.0	915.0	71999	122.66105	44.74382	194.10144	-18.15833	122.66602	44.74704	189.01761	-17.765453	-0.8036744	3.596527	38.85333	-13.148294	-124.488976	26.24694	20.279444	46.526386	2442.1196253299713
19	548.629	219.94478	671.373	109.09829	536.92126	325.5063	808.2566	85.63592	822.2	670.4	75999	124.04367	44.666225	187.86682	-26.469896	124.04321	44.6696	187.30605	-21.501	-0.9163981	3.572509	31.04117	-11.958471	-125.81547	26.451998	20.115053	46.567047	2612.0016701221466
20	444.0727	244.66124	648.33795	124.13428	555.21985	325.98672	900.40485	135.86974	663.8	602.8	79999	126.15149	44.166794	208.40276	-25.402346	126.15399	44.169994	203.2778	-18.143856	-0.9797743	3.645581	42.218987	-14.024199	-127.92108	26.64715	19.645235	46.29238	2785.3098068237305
21	398.22388	264.5103	667.43933	88.386536	764.9894	222.50174	896.8031	107.917274	596.625	909.6	83999	127.95029	43.6356	208.74297	-30.298231	127.95868	43.63613	200.54846	-24.353973	-1.1313651	3.5456426	30.21722	-14.232422	-129.59433	23.075342	18.418478	41.49382	2968.2981567382812
22	553.20557	203.98642	668.1913	146.11043	632.03345	318.01285	898.7369	194.8905	828.2	720.0	87999	129.0354	43.48369	217.75636	-28.60511	129.0422	43.486042	198.4707	-35.163025	-1.2785373	3.543682	40.63347	-13.897304	-130.67471	23.07902	17.987995	41.067017	3147.879806280136
23	228.14032	241.17526	673.4669	22.147993	313.4499	316.01248	799.8996	69.13537	344.66666	408.9	91999	130.71262	42.839046	214.30437	-25.741156	130.71822	42.84102	213.05869	-28.019093	-1.3312414	3.5650947	33.27176	-13.160557	-132.34482	24.200605	17.93316	42.133766	3322.061500310898
24	386.85678	284.45706	684.25116	-11.604065	622.736	316.89133	896.8071	107.19225	600.5	745.6	95999	132.3961	42.793682	234.81534	-24.334726	132.40297	42.794228	218.56168	-21.32035	-1.4401456	3.519346	31.316204	-12.427766	-133.95753	21.73045	17.110954	38.841408	3504.3422939777374
25	209.60222	178.44977	593.0366	74.82419	454.5205	297.31378	792.52686	94.9852	334.75	603.4	99999	133.08214	43.14316	218.69484	-21.603363	133.08836	43.14683	219.83803	-35.194416	-1.4484805	3.5419214	31.174358	-13.5197735	-134.58176	22.844664	17.442965	40.28763	3682.7845344543457
26	284.71667	239.07085	701.0443	74.87358	727.4896	284.3357	903.2922	113.46278	473.0	795.6	103999	133.09543	43.408348	207.87898	-33.26172	133.10301	43.41759	205.9448	-41.157642	-1.493306	3.3655193	31.267338	-13.179713	-134.51894	23.684988	17.384008	41.068993	3869.045194864273
27	685.0073	8.08372	696.4469	676.27673	476.78174	345.97586	898.87946	147.82251	1000.0	568.6	107999	132.68185	43.01164	181.92818	-35.19513	132.68375	43.017937	173.7081	-29.10431	-1.6423578	3.2975998	28.898973	-12.283894	-134.06566	21.123955	16.479435	37.60339	4047.8532552719116
28	692.538	30.871904	739.77203	654.3383	727.3619	268.92038	900.7567	142.94702	1000.0	796.5	111999	133.39928	42.228535	180.0631	-25.6704	133.40572	42.23431	166.0423	-28.254013	-1.6888883	3.2599716	36.342636	-13.286759	-134.74524	20.777105	16.11308	36.890186	4235.238927125931
29	449.46317	274.81097	736.6003	113.34762	899.1647	3.1565242	902.41016	893.0915	642.3333	1000.0	115999	134.22076	41.534195	173.8119	-27.52407	134.22342	41.544636	188.31847	-21.134113	-1.7706043	3.2007377	41.01294	-12.348092	-135.57893	18.406757	15.083152	33.48991	4426.365385055542
30	552.0029	149.56909	741.724	408.8218	895.8602	8.543765	903.9894	879.5516	725.2	1000.0	119999	134.85178	41.255684	186.20923	-21.042757	134.85371	41.261654	171.50246	-20.816463	-1.7988534	3.17312	34.3069	-12.924347	-136.21585	18.431389	14.8319845	33.263374	4618.857555389404
31	611.0137	179.45564	759.23016	243.13348	963.9767	37.31584	993.0691	887.9762	797.3333	1000.0	123999	135.69733	40.97402	183.362	-24.332937	135.69904	40.98247	173.51196	-25.813282	-1.8377173	3.1418045	30.354216	-12.975004	-137.01584	17.934313	14.528173	32.462486	4811.325583219528
32	376.55225	278.87094	743.2008	57.926876	896.1162	6.9107256	906.41406	885.52686	530.2857	1000.0	127999	136.44772	40.62411	184.96175	-26.078268	136.45187	40.62778	174.64995	-25.026312	-1.8479674	3.171631	33.0159	-12.725566	-137.76028	16.534761	14.167311	30.702072	5008.31005692482
33	443.61545	137.44208	722.1617	292.5791	347.5088	360.8308	896.72797	62.789677	608.5714	408.5	131999	137.37405	40.310966	180.56085	-27.47213	137.37547	40.31513	176.65674	-20.461512	-1.8492769	3.1679204	32.714054	-13.389224	-138.667	16.931738	13.918957	30.850695	5188.049452543259
34	387.41388	247.79445	760.29474	62.764057	896.0954	10.423344	904.77997	870.5119	522.2857	1000.0	135999	137.68251	40.3023	176.55508	-20.213451	137.68307	40.307667	184.40822	-16.319752	-1.8557243	3.1672559	37.197197	-12.09322	-138.96603	16.928024	14.067389	30.995413	5381.881222486496
