Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	3.0250044	1.5737348	4.62022	1.3697661	0.43394142	0.16147594	0.6581278	0.1795898	1000.0	1000.0	3999	0.820461	0.29739195	1.5331895	-0.3015434	-0.90092856	0.0006878119	46.214067220687866
2	3.7942524	1.0798535	5.415233	2.5482285	7.174844	0.92368263	8.426568	5.3072095	1000.0	1000.0	7999	1.8351265	0.47191986	3.5077972	0.8973112	-1.9271997	0.0010054875	105.54584455490112
3	2.9848108	0.7825325	4.2944803	2.3453925	1.0305974	0.16508365	1.3773612	0.8600611	1000.0	1000.0	11999	2.860067	0.2779814	4.2977366	1.8014013	-2.9018276	0.0014831289	165.85316920280457
4	1.9630737	0.15009145	2.2040334	1.8059841	1.0643909	0.1836935	1.3505814	0.801606	1000.0	1000.0	15999	2.2515364	0.39286608	4.1716275	1.3816755	-2.2371974	0.0011233478	226.79522013664246
5	1.9753804	0.13911314	2.11528	1.7453749	0.8979949	0.081607096	1.0932393	0.76892936	1000.0	1000.0	19999	1.8889302	0.30249375	3.133906	1.3544186	-1.8954641	0.00034831994	287.53775000572205
6	1.879451	0.047405228	1.9437697	1.8113515	0.98209304	0.14030766	1.2549708	0.83900046	1000.0	1000.0	23999	1.5839003	0.3290613	2.6655464	1.122344	-1.5856106	0.00016170183	348.0096683502197
7	2.1091857	0.09384866	2.2254708	1.9633399	0.9424761	0.10329571	1.1093074	0.7852152	1000.0	1000.0	27999	1.3085008	0.31526077	2.5024836	0.91876227	-1.3098696	9.313338e-05	408.56195855140686
8	2.0390608	0.17607751	2.3415494	1.9118079	1.0027102	0.13895546	1.2262595	0.83247477	1000.0	1000.0	31999	1.0894966	0.29017976	2.192867	0.7590929	-1.0903322	7.20063e-05	469.4216227531433
9	2.072305	0.22464804	2.3413022	1.7258472	0.96899444	0.12949185	1.1211295	0.76273024	1000.0	1000.0	35999	0.9210983	0.27083114	2.1913652	0.63407904	-0.9221415	7.726863e-05	531.3156242370605
10	1.6339761	0.43247208	2.3757546	1.3024755	0.34233457	0.07273188	0.50155133	0.23862295	1000.0	1000.0	39999	0.959877	0.23749474	2.6573763	0.59319234	-0.97153586	0.00027366466	594.2586536407471
11	1.3725069	0.047886483	1.4285607	1.2976422	0.36819702	0.078060865	0.50665337	0.24422367	1000.0	1000.0	43999	0.75558186	0.12027692	2.3571944	0.38669905	-0.7485353	0.0003242602	657.7755262851715
12	1.417623	0.09284788	1.5530816	1.3101507	0.36182418	0.07441177	0.50493664	0.28335398	1000.0	1000.0	47999	0.58641464	0.09555257	2.3395004	0.22463007	-0.58356154	0.00022706353	720.5327708721161
13	1.4194598	0.04767431	1.4657485	1.3395826	0.3333197	0.05771769	0.42642012	0.25585407	1000.0	1000.0	51999	0.45626906	0.10900279	1.994558	0.046386212	-0.45445573	0.00024717077	783.3670506477356
14	1.434602	0.10735412	1.506059	1.2489952	0.36427888	0.0737451	0.48084456	0.2809833	1000.0	1000.0	55999	0.42768374	0.12276371	2.3428926	-0.06257287	-0.42717165	0.0004548803	846.2715470790863
15	1.3890418	0.056935474	1.4755809	1.3214285	0.30393088	0.06200682	0.3738946	0.15230684	1000.0	1000.0	59999	0.40134963	0.11799141	2.1629105	-0.17402893	-0.40268397	0.00033679235	909.4183111190796
16	1.404391	0.0455197	1.4501216	1.3292987	0.35311458	0.055720914	0.43000627	0.27756804	1000.0	1000.0	63999	0.35161683	0.060170297	1.1769327	-0.20512006	-0.35350642	6.221784e-05	974.2554314136505
17	1.4341631	0.05259904	1.4818674	1.3451576	0.33561552	0.089822926	0.5386286	0.2615212	1000.0	1000.0	67999	0.3407357	0.058153972	1.1496174	0.12798396	-0.34093362	5.144941e-05	1042.5465347766876
18	1.4563255	0.08031662	1.5499897	1.3632733	0.31842506	0.059189577	0.41987622	0.23283733	1000.0	1000.0	71999	0.2931409	0.066143125	1.0290097	-0.14772063	-0.29205218	3.4919805e-05	1114.7922015190125
19	1.4580363	0.08846831	1.5542172	1.3494028	0.3521644	0.089120634	0.51740855	0.23150606	1000.0	1000.0	75999	0.26543614	0.0552202	0.96188426	-0.04928443	-0.26418996	3.3815122e-05	1189.975185394287
20	1.4470847	0.026960831	1.478668	1.4147816	0.34974208	0.07405047	0.53320515	0.2628557	1000.0	1000.0	79999	0.22991703	0.061804336	0.9702517	-0.03769383	-0.23077817	3.683113e-05	1265.963135957718
21	1.2992737	0.16224675	1.4642613	1.0560553	0.33150738	0.079436004	0.55543983	0.23823915	1000.0	1000.0	83999	0.21926236	0.06039135	1.1146445	-0.033477128	-0.21705537	4.5401903e-05	1342.5533742904663
22	1.4073114	0.13404569	1.5600421	1.209955	0.38271588	0.07335793	0.48901668	0.25225085	1000.0	1000.0	87999	0.18249987	0.050189078	1.0876232	-0.10504091	-0.18098839	4.7619604e-05	1420.0281269550323
23	1.4664247	0.058752976	1.5420268	1.4072666	0.32701063	0.06388322	0.43709984	0.22304231	1000.0	1000.0	91999	0.16669498	0.046895307	1.078371	-0.09250516	-0.16656995	4.3112363e-05	1498.375328540802
24	1.3891425	0.09435717	1.5059189	1.2737279	0.3120222	0.05571112	0.39865175	0.21219829	1000.0	1000.0	95999	0.12834823	0.070307605	1.2407117	-0.578308	-0.12597679	0.0001195383	1578.6332461833954
25	1.381367	0.094877504	1.4751352	1.245225	0.3415284	0.07722416	0.45005685	0.19559993	1000.0	1000.0	99999	0.100758895	0.09601652	1.8340847	-1.1558213	-0.09845332	0.00022995361	1659.3953306674957
26	1.4493914	0.11506595	1.599397	1.2794824	0.38282248	0.09762383	0.51075363	0.20650844	1000.0	1000.0	103999	0.09493032	0.089104675	1.5351713	-0.9259148	-0.0951908	0.0001624907	1740.3064103126526
27	1.4450032	0.11321552	1.5718479	1.2786962	0.2944297	0.070770845	0.43850183	0.17951629	1000.0	1000.0	107999	0.08583862	0.086683236	0.94206935	-0.7840065	-0.08477395	0.00010940838	1820.9953093528748
28	1.4093997	0.07135349	1.5074596	1.3106638	0.3126656	0.049370077	0.3891427	0.21081446	1000.0	1000.0	111999	0.08996193	0.06697915	1.449482	-0.69462097	-0.08899179	0.00011754674	1902.3408012390137
29	1.3982179	0.09717712	1.5340984	1.2868006	0.29936594	0.049508184	0.3730529	0.21914612	1000.0	1000.0	115999	0.06643395	0.078569844	1.3609303	-0.63559145	-0.06437933	0.00010033425	1983.923502445221
30	1.4745939	0.09705358	1.6253028	1.3542886	0.318641	0.07779039	0.4812281	0.23892654	1000.0	1000.0	119999	0.051844332	0.093698114	1.1771971	-0.72533923	-0.050916854	0.00010772257	2065.600694656372
31	1.3369156	0.041143704	1.3788466	1.2870376	0.32323056	0.049964443	0.4439143	0.27437055	1000.0	1000.0	123999	0.064221434	0.07958662	1.1993093	-0.6278425	-0.06327034	9.974113e-05	2147.26323223114
32	1.4679731	0.09754517	1.5654083	1.3113811	0.3319909	0.046903454	0.4134704	0.25901562	1000.0	1000.0	127999	0.041292027	0.10657874	1.1032625	-0.92477876	-0.03923415	0.00014065894	2229.69824552536
33	1.3996732	0.05765646	1.4415382	1.3005898	0.34868735	0.064268224	0.43488184	0.23358403	1000.0	1000.0	131999	0.040207863	0.10421884	1.2574803	-0.8821069	-0.037797667	0.00012880117	2311.774697780609
34	1.4072833	0.10520551	1.5864114	1.3264613	0.35651308	0.07688567	0.53315383	0.23964441	1000.0	1000.0	135999	0.02394017	0.12737092	1.0572295	-1.2128856	-0.025724947	0.00016807063	2393.916489839554
35	1.5139271	0.093587235	1.6129408	1.3770212	0.34339285	0.06971694	0.46390298	0.20215064	1000.0	1000.0	139999	0.03778435	0.11973232	1.2175525	-1.3035443	-0.031837054	0.00020763779	2476.2252509593964
36	1.3460242	0.055756122	1.4013442	1.2656518	0.3207913	0.07416589	0.5099587	0.2505201	1000.0	1000.0	143999	0.027606277	0.14913332	1.4368619	-1.5703759	-0.03138209	0.00017663359	2558.8799996376038
37	1.4047612	0.029842641	1.4472572	1.3632956	0.33845356	0.045780692	0.40218958	0.27100334	1000.0	1000.0	147999	0.06303998	0.05909489	1.0077664	-0.8380167	-0.059631143	8.2227925e-05	2641.4916410446167
38	1.4394894	0.072938465	1.5566219	1.3681988	0.2923039	0.10437697	0.43631303	0.14499258	1000.0	1000.0	151999	0.020873081	0.13422388	0.72985446	-1.3315285	-0.020059917	0.00015990005	2723.824592590332
39	1.4620888	0.0751502	1.564768	1.3588026	0.35852045	0.08898305	0.53638184	0.22833078	1000.0	1000.0	155999	0.094643876	0.054470915	0.8490746	-0.9491749	-0.09525762	4.715869e-05	2806.3999123573303
40	1.463506	0.039634038	1.5062697	1.4060731	0.3341617	0.08261075	0.51675946	0.22131392	1000.0	1000.0	159999	0.077187434	0.055607684	1.0244409	-0.6568029	-0.07611532	7.171361e-05	2888.9627299308777
41	1.413791	0.096606605	1.5554731	1.2964567	0.3473311	0.0911887	0.48613992	0.18994191	1000.0	1000.0	163999	0.07862555	0.060535472	0.8701754	-0.56468236	-0.07742568	5.422752e-05	2971.839638233185
42	1.387733	0.11008676	1.5743345	1.2900115	0.346879	0.063940085	0.4563027	0.27768824	1000.0	1000.0	167999	0.07579727	0.06786545	1.3270047	-0.6576475	-0.07553865	7.283029e-05	3054.6679685115814
43	1.4340365	0.07925598	1.5178064	1.3038065	0.36068073	0.07597525	0.4594308	0.25483862	1000.0	1000.0	171999	0.08176024	0.058117583	1.4331505	-0.7476376	-0.08050208	8.011042e-05	3137.233482837677
44	1.4420277	0.06785447	1.5484716	1.3694924	0.33342317	0.03861819	0.41605967	0.2799475	1000.0	1000.0	175999	0.07022012	0.0699703	0.79462594	-0.92472136	-0.06997024	0.00010450393	3219.7730576992035
45	1.4639208	0.10362826	1.6045369	1.3624865	0.32636786	0.049596645	0.41949907	0.25766975	1000.0	1000.0	179999	0.08017964	0.094287634	1.3808336	-1.4485545	-0.08142548	0.00017657202	3302.217566013336
