Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.25	0.4330127	1.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	3999	0.20051701	0.06339891	0.7448631	-0.47717547	-0.21957353	0.0003151539	45.102805614471436
2	0.0	0.0	0.0	0.0	1.6	3.231099	9.0	0.0	1000.0	1000.0	7999	0.2929741	0.041283872	1.6854475	0.13292015	-0.2997146	0.000106123065	102.06861329078674
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	0.30993682	0.020524956	1.7436758	0.23578244	-0.3113363	3.155061e-05	160.09990215301514
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	0.26147017	0.017478164	1.882558	0.1941001	-0.2622395	8.080866e-05	218.96243047714233
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	0.21678925	0.014903843	1.6178064	0.1936586	-0.21658838	7.953195e-06	278.3885552883148
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	0.17843078	0.010559007	1.7345545	0.1586775	-0.17845227	4.688669e-05	337.83218359947205
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	0.14646257	0.008192481	0.1620859	0.13230498	-0.14645737	4.5301742e-05	397.89865350723267
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	0.12056121	0.006792701	0.13335976	0.108196706	-0.12055703	3.2753305e-05	458.6370930671692
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	0.099337555	0.0056236386	0.111615814	0.089075945	-0.099334694	2.7704782e-05	519.4902787208557
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	0.0819888	0.004498997	0.09292913	0.07441283	-0.081986524	4.0280043e-05	581.0754809379578
11	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	0.06794657	0.0035962516	0.07730381	0.06074004	-0.067945085	5.2826035e-05	642.7988393306732
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	0.057230536	0.0027477138	0.06429318	0.050970808	-0.057229172	0.00010288237	704.7266798019409
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	0.048555233	0.0023756311	0.054221194	0.04268819	-0.048554495	9.2919356e-05	766.6914706230164
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	0.041155014	0.0020731308	0.04668136	0.036929887	-0.041154284	6.281798e-05	829.214396238327
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	0.03502875	0.0015636858	0.03997998	0.03161404	-0.035028312	8.288233e-05	895.2125155925751
