Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	3.0	3.3166249	8.0	0.0	66.9	138.6286	430.0	0.0	1000.0	1000.0	3999	0.1668443	0.091765545	2.161588	-0.266076	-0.18392126	0.001691906	46.62357950210571
2	78.5	71.61878	195.0	0.0	102.2	159.6902	433.0	0.0	1000.0	1000.0	7999	0.982653	0.8856155	9.6975975	0.18106109	-1.027715	0.0060282755	105.79668688774109
3	1.0	1.7320508	4.0	0.0	80.4	124.95936	320.0	0.0	1000.0	1000.0	11999	2.8488874	2.5931253	26.31149	1.0260737	-2.9147515	0.008531015	165.92575001716614
4	106.25	184.0304	425.0	0.0	66.0	111.10086	343.0	0.0	1000.0	1000.0	15999	6.05293	5.308896	26.557196	1.9872485	-6.0937877	0.02441402	226.8489851951599
5	145.25	146.4537	317.0	0.0	83.4	161.84944	415.0	0.0	1000.0	1000.0	19999	7.873837	5.4624033	24.004599	0.83261436	-7.8867307	0.043340333	287.57799530029297
6	44.25	68.00873	162.0	2.0	48.3	134.35405	451.0	0.0	1000.0	1000.0	23999	8.796222	5.404045	26.773306	0.65455425	-8.862035	0.058035437	348.26997327804565
7	82.25	134.9581	316.0	3.0	30.6	71.97527	246.0	0.0	1000.0	1000.0	27999	11.590969	5.7832108	37.32392	1.5485674	-11.7832575	0.09609863	409.353542804718
8	119.5	132.41318	325.0	2.0	90.3	128.6655	381.0	0.0	1000.0	1000.0	31999	13.191773	5.9525933	34.27367	1.3053002	-13.285313	0.18407415	471.11112928390503
9	125.75	134.75232	326.0	0.0	79.7	155.5481	449.0	0.0	1000.0	1000.0	35999	16.523506	25.930838	490.8997	-0.00019177794	-16.795172	0.41748	532.9548468589783
10	3.75	3.7666297	8.0	0.0	91.6	144.6632	441.0	0.0	1000.0	1000.0	39999	41.748547	73.320694	517.0364	-0.48357645	-42.2728	0.48312435	594.3944699764252
11	0.25	0.4330127	1.0	0.0	83.6	146.1083	403.0	0.0	1000.0	1000.0	43999	55.268463	82.71001	443.12677	-0.36073154	-55.36738	0.6295008	655.8769421577454
12	199.25	193.39386	403.0	5.0	194.3	240.68115	677.0	0.0	1000.0	1000.0	47999	61.45992	79.50873	370.37595	-3.0364227	-61.829437	0.7512949	717.6462986469269
13	1.5	2.598076	6.0	0.0	124.6	164.59901	467.0	0.0	1000.0	1000.0	51999	66.57042	67.728645	314.4639	-1.8530433	-67.10857	0.7835846	779.9027936458588
14	224.25	387.83527	896.0	0.0	181.8	358.7065	917.0	0.0	1000.0	1000.0	55999	66.82279	55.958366	270.26532	-2.0451117	-67.15385	0.6444998	842.9823038578033
15	0.0	0.0	0.0	0.0	221.5	383.36047	979.0	0.0	1000.0	1000.0	59999	63.884754	44.21087	232.45297	-1.5901937	-64.3695	0.40491906	909.3422434329987
16	46.0	75.12656	176.0	0.0	150.4	297.40988	786.0	0.0	1000.0	1000.0	63999	61.13826	34.295334	201.74966	9.158496	-61.452045	0.35595343	980.161538362503
17	0.0	0.0	0.0	0.0	373.2	406.4138	972.0	0.0	1000.0	1000.0	67999	54.827	29.092894	176.10909	10.1931	-54.958187	0.3764302	1054.727058172226
