Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	5.7	14.156624	48.0	0.0	1000.0	1000.0	3999	0.075325094	0.04832404	0.28307343	-0.38606364	-0.08707937	5.7062785e-05	50.32362341880798
2	20.75	20.753012	42.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.36957493	0.28927174	5.6213017	0.011606544	-0.39071324	0.001743873	117.3617513179779
3	0.0	0.0	0.0	0.0	0.4	0.8	2.0	0.0	1000.0	1000.0	11999	0.7546915	0.68606585	7.036127	0.37542662	-0.7557978	0.0014187921	187.63300848007202
4	2.25	3.8971143	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	1.3749617	1.3755581	7.8169813	0.41565627	-1.3819182	0.001530564	257.83710527420044
5	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	19999	1.8468431	1.1808926	7.7442603	0.58727324	-1.8643616	0.0016718885	328.43031907081604
6	0.0	0.0	0.0	0.0	11.0	31.349642	105.0	0.0	1000.0	1000.0	23999	1.9855659	0.9190852	7.802707	0.74962425	-1.9935666	0.0010677443	394.55457377433777
7	0.0	0.0	0.0	0.0	0.6	0.9165151	2.0	0.0	1000.0	1000.0	27999	1.8395215	0.75466937	12.000431	0.5007474	-1.8466536	0.0013352471	466.44063925743103
8	0.75	1.299038	3.0	0.0	1.1	1.7578397	5.0	0.0	1000.0	1000.0	31999	2.161842	1.2512839	15.009907	0.57800394	-2.18738	0.0027006494	538.7166900634766
9	0.5	0.8660254	2.0	0.0	9.1	26.968315	90.0	0.0	1000.0	1000.0	35999	2.227133	1.3761758	10.027727	0.24962807	-2.2296236	0.0018165491	607.248566865921
10	0.5	0.8660254	2.0	0.0	9.5	24.872677	84.0	0.0	1000.0	1000.0	39999	1.9267325	1.0578543	6.976406	-0.091820896	-1.9177018	0.001497524	668.7308897972107
11	0.0	0.0	0.0	0.0	0.8	1.2489997	4.0	0.0	1000.0	1000.0	43999	1.6229049	0.87571555	5.800556	-0.14735192	-1.6208884	0.0009793635	732.1890120506287
12	0.5	0.8660254	2.0	0.0	21.0	42.194786	132.0	0.0	1000.0	1000.0	47999	1.4450594	0.7560442	5.608625	0.5780562	-1.4446323	0.00081970566	796.7929491996765
13	0.5	0.8660254	2.0	0.0	11.4	34.199997	114.0	0.0	1000.0	1000.0	51999	1.2952521	0.63719887	5.926665	0.5198243	-1.2963806	0.0008532296	867.4201755523682
14	28.0	48.49742	112.0	0.0	1.0	1.67332	5.0	0.0	1000.0	1000.0	55999	1.1639732	0.5367873	5.3468313	0.49763986	-1.1645654	0.0015402454	934.5163822174072
