Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	138.59966	6.8391232	145.56538	130.2235	282.5058	94.58983	527.07385	136.3145	1000.0	1000.0	3999	1.6672754	1.1570549	14.8575735	-2.7109008	-1.8160783	0.012048574	55.90441703796387
2	136.21103	6.3570986	144.33804	126.58536	279.1242	96.96032	373.27518	155.64319	1000.0	1000.0	7999	8.329614	3.43099	39.669487	1.2275069	-8.848262	0.077320404	122.29776549339294
3	175.68924	97.17874	342.3756	104.82373	148.02914	147.62854	368.95407	25.832605	1000.0	1000.0	11999	16.378374	2.7779148	36.10601	4.139407	-16.660574	0.121352494	193.2887692451477
4	112.29294	55.54466	202.91255	58.223354	94.148155	42.679703	216.44223	63.586338	1000.0	1000.0	15999	18.73841	2.5183668	31.210829	8.360731	-19.030682	0.07647734	263.7407581806183
5	119.18976	50.423027	181.98648	58.28041	145.21092	52.59197	218.41335	81.05874	1000.0	1000.0	19999	22.221445	2.3488562	35.163094	11.72351	-22.493835	0.06627791	331.780925989151
6	136.21501	39.620667	183.3208	76.70404	144.42027	68.49861	252.37387	33.983337	1000.0	1000.0	23999	25.288757	2.484254	39.76005	17.936954	-25.520645	0.08533373	400.667019367218
7	188.91554	51.46893	241.13791	123.22638	193.195	89.46151	378.356	78.84281	1000.0	1000.0	27999	26.72602	3.4865515	45.613464	19.24413	-27.002373	0.13264805	470.90980648994446
8	157.74648	22.297619	193.83627	132.89919	144.7128	17.571259	192.61252	128.03215	1000.0	1000.0	31999	29.731567	3.610524	47.117184	19.959038	-30.038088	0.19499995	547.8612153530121
9	216.784	81.83766	353.00406	134.42532	254.52693	117.778946	383.84256	60.853092	1000.0	1000.0	35999	31.368168	1.7393814	49.973667	23.394379	-31.600786	0.11350549	621.631739616394
10	322.61743	27.916306	351.22192	293.89536	375.62964	40.75057	474.2361	331.14273	1000.0	1000.0	39999	33.06835	2.3892562	55.298294	27.185574	-33.371124	0.15367557	693.4129168987274
11	461.76395	37.344776	512.7202	407.69016	452.33588	36.43978	538.29083	398.047	1000.0	1000.0	43999	37.03441	3.425776	60.85471	26.29757	-37.488377	0.28345007	765.867466211319
12	468.68292	32.092735	503.28094	416.63654	544.28186	26.684994	580.961	486.0678	1000.0	1000.0	47999	42.77014	3.9831672	64.841774	30.00883	-43.28754	0.38061583	842.2421703338623
13	446.14984	25.428284	488.2719	420.01648	472.73462	13.113642	495.41208	453.25488	1000.0	1000.0	51999	48.06532	4.805788	69.86934	33.095924	-48.55181	0.4160672	918.2038791179657
14	445.6219	183.1315	597.0073	135.15111	284.41327	161.98785	595.8793	128.84956	1000.0	1000.0	55999	52.079044	4.8199816	71.71857	35.93514	-52.529594	0.42095345	993.8346967697144
15	420.4619	167.53288	550.32996	134.29143	620.0978	34.60936	681.5229	568.59015	1000.0	1000.0	59999	54.70398	4.045386	73.546844	41.273193	-55.119118	0.41434032	1067.8523604869843
16	558.7551	22.014685	584.0381	529.91394	520.67737	43.22219	588.0152	454.22775	1000.0	1000.0	63999	57.869854	4.403322	75.15146	43.011986	-58.36037	0.51211506	1139.3898966312408
17	549.02924	29.963894	600.1381	523.9448	617.8001	33.861816	654.1782	552.00195	1000.0	1000.0	67999	60.881794	4.4660754	77.59975	45.107273	-61.316265	0.51508653	1219.3355758190155
18	600.53467	31.371347	644.6982	564.832	581.1769	39.576	667.36884	517.12604	1000.0	1000.0	71999	63.185505	4.3599825	78.93946	47.436043	-63.620567	0.5481283	1296.405347585678
19	649.55554	27.636786	681.66595	621.1489	602.0678	50.865078	665.9336	504.11874	1000.0	1000.0	75999	65.16414	4.15797	79.45948	49.12932	-65.58752	0.5042733	1369.6426029205322
20	656.9039	45.053005	729.5092	607.34576	649.91125	62.798363	737.4681	503.5543	1000.0	1000.0	79999	66.91604	4.0800734	81.223816	52.914032	-67.3157	0.48325953	1449.947120666504
21	638.1162	19.506472	666.75806	613.87134	623.922	37.55983	703.0627	582.8841	1000.0	1000.0	83999	68.325	4.3450675	83.55075	53.611595	-68.71852	0.49054214	1530.3838412761688
22	666.1914	31.985348	693.2839	613.9874	696.6449	19.491753	721.0576	656.7055	1000.0	1000.0	87999	69.68735	4.3384633	82.71397	55.122246	-70.0908	0.50995606	1618.2250683307648
23	680.27	54.86583	759.2707	605.30646	595.13434	183.36517	693.45374	58.582455	1000.0	1000.0	91999	70.96647	4.3807344	84.11084	56.954212	-71.346375	0.46725467	1699.2226240634918
24	687.26587	33.570538	727.7635	635.06116	485.34995	117.900635	704.2722	335.78705	1000.0	1000.0	95999	72.353226	4.2535167	85.41786	57.608433	-72.742905	0.4757357	1778.6156992912292
25	721.7897	26.564037	749.8825	678.6794	707.85187	33.55594	774.9295	658.0035	1000.0	1000.0	99999	73.54073	4.357258	86.84364	57.770203	-73.9195	0.449093	1859.0449478626251
26	695.56433	33.67568	722.1253	638.8468	708.9788	27.931181	743.67194	665.75024	1000.0	1000.0	103999	74.42635	4.438176	87.68471	56.466003	-74.78431	0.4603896	1941.897441625595
27	701.469	23.480835	739.85034	682.2499	706.4786	35.74042	756.50793	632.6882	1000.0	1000.0	107999	75.28179	4.697904	88.857925	59.3837	-75.66033	0.50225383	2024.8544569015503
28	714.6894	29.973133	757.1287	672.474	716.36804	23.495684	749.7435	686.33203	1000.0	1000.0	111999	76.412895	4.6664767	91.00157	58.463753	-76.7773	0.4963745	2104.708350419998
29	707.2924	35.328175	744.8361	661.64825	699.036	50.369972	743.9227	575.35754	1000.0	1000.0	115999	77.14577	4.70764	89.75952	58.820255	-77.50323	0.47670972	2182.9851660728455
30	715.2626	9.462698	724.69226	699.7523	751.48627	26.83889	806.06635	706.1048	1000.0	1000.0	119999	77.72607	4.692642	89.51209	60.265656	-78.06469	0.47673592	2268.165811061859
31	767.8766	17.789297	794.12744	744.915	768.6864	19.536407	802.907	734.4832	1000.0	1000.0	123999	78.205505	4.8981442	90.01742	60.81022	-78.54616	0.46944776	2354.543550014496
32	752.22034	21.901487	772.29645	716.6191	778.8707	22.013433	806.51776	737.04205	1000.0	1000.0	127999	78.96155	4.8921194	91.45055	60.403812	-79.31282	0.48870534	2434.1379058361053
33	775.9414	23.835215	814.3286	749.775	771.55023	22.4194	796.8652	732.4747	1000.0	1000.0	131999	79.717026	4.8157954	91.182365	62.825752	-80.051704	0.47402343	2511.217858314514
34	768.5154	24.037224	798.54663	737.77155	762.16626	29.603138	791.0639	705.88715	1000.0	1000.0	135999	80.31232	4.7125607	92.04878	61.98481	-80.64725	0.45801196	2588.6721742153168
