Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	32.797516	2.3695037	35.670982	30.160088	38.912888	12.287836	51.02801	9.411839	1000.0	1000.0	3999	0.514096	0.42142808	4.1063046	-2.4283633	-0.60628396	0.006105689	56.60474896430969
2	29.713457	1.1716001	31.072886	27.956268	36.368385	13.817324	54.1618	11.417096	1000.0	1000.0	7999	5.568602	3.2782547	19.40856	0.50869787	-6.1839333	0.048268992	123.33446526527405
3	41.205627	22.238323	78.96264	21.449394	12.997858	16.767923	60.542717	3.8503683	1000.0	1000.0	11999	22.818493	6.7305436	46.050808	1.717895	-24.11434	0.2754989	193.56414103507996
4	41.48235	10.333599	55.85995	27.926477	47.516068	18.021091	83.300545	30.315845	1000.0	1000.0	15999	31.874197	4.381036	50.580906	19.699844	-32.236683	0.3453122	262.5711200237274
5	64.280975	26.732454	103.50897	28.437664	35.340603	2.0676763	39.840935	31.461992	1000.0	1000.0	19999	34.60274	3.9059348	52.04481	22.425005	-35.00853	0.22721323	331.705100774765
6	35.77356	5.065549	43.537388	30.51468	25.133757	20.34272	46.23025	4.6043377	1000.0	1000.0	23999	34.297554	3.4999235	49.318436	25.198296	-34.548183	0.15026535	401.09105372428894
7	34.31348	7.2551537	44.90961	24.421057	66.73079	34.23879	135.76566	39.323414	1000.0	1000.0	27999	34.373646	3.2370975	56.175465	25.439772	-34.723892	0.19255108	469.0105490684509
8	48.29769	19.157389	75.98417	24.053432	62.68186	9.205177	81.53836	48.60412	1000.0	1000.0	31999	34.87013	2.4135993	58.11888	26.700191	-35.161728	0.19829556	539.0086724758148
9	68.10662	23.048826	101.43147	37.41782	49.888744	31.89728	104.20222	22.684776	1000.0	1000.0	35999	32.92356	2.3294017	49.252884	26.015108	-33.101467	0.15722989	609.8355505466461
10	100.159065	36.499065	154.0166	65.47727	188.12766	68.95554	252.46948	69.17306	1000.0	1000.0	39999	31.158733	2.9854457	44.786446	24.293713	-31.35993	0.13108286	679.666389465332
11	151.00774	55.309715	235.0563	81.5641	92.18202	29.945839	152.11127	44.26188	1000.0	1000.0	43999	29.555256	2.6189363	44.841274	23.052076	-29.76395	0.15546954	754.648885011673
12	98.47751	30.053377	130.24872	51.714504	86.74916	50.200485	171.00433	32.26876	1000.0	1000.0	47999	29.641222	1.8444408	46.89132	22.53527	-29.899357	0.2002078	824.6499705314636
13	139.96817	16.553528	156.03981	112.22914	159.45525	26.150934	200.35806	113.66019	1000.0	1000.0	51999	29.712067	1.9939123	53.306034	22.914825	-29.939583	0.18248203	894.0332942008972
14	192.58682	47.01013	225.87541	111.57184	231.63596	18.411043	261.79498	197.44618	1000.0	1000.0	55999	29.63627	2.4430249	57.73082	22.586948	-29.889946	0.26525807	962.7407312393188
15	207.82414	99.31135	322.583	105.97641	210.68477	86.74054	305.54294	13.046168	1000.0	1000.0	59999	31.101952	3.1626418	57.340157	22.472046	-31.441427	0.36125714	1035.929272890091
16	167.90495	39.21391	213.4129	109.41153	75.025444	62.69679	217.35843	22.644884	1000.0	1000.0	63999	33.112408	3.7822998	64.81845	23.809814	-33.428658	0.37196556	1106.5944647789001
17	288.0539	61.027702	340.6435	188.42766	298.5191	160.92229	523.9666	13.894323	1000.0	1000.0	67999	33.660385	3.3439083	61.01597	25.185455	-33.904663	0.3815696	1178.407858133316
18	348.40228	65.217896	429.13885	247.65369	310.61203	105.80034	442.37057	131.48334	1000.0	1000.0	71999	34.904026	3.8476834	61.957455	24.70562	-35.26552	0.55373394	1251.0779621601105
19	311.45966	118.005066	425.4478	120.88141	340.51215	70.029396	429.41452	237.30534	1000.0	1000.0	75999	37.83789	4.39607	63.019035	25.769966	-38.23131	0.6567085	1324.4363777637482
20	378.44574	55.242683	434.31918	286.70987	442.96198	96.97286	541.7638	181.23912	1000.0	1000.0	79999	40.443577	4.5676126	65.416214	26.882177	-40.859768	0.8240316	1397.5304567813873
21	443.7754	101.2318	541.64655	280.33832	275.78732	59.748066	348.98285	153.21312	1000.0	1000.0	83999	43.86836	4.9715595	69.802	28.262268	-44.319622	0.9720657	1470.7992579936981
22	495.8625	105.61046	586.1102	317.6939	493.35513	105.54922	591.46185	209.16275	1000.0	1000.0	87999	47.57779	5.498009	74.88366	31.283926	-48.083164	1.0920111	1545.1731419563293
23	587.7161	38.646687	646.1267	537.53326	512.8289	207.09695	706.27606	15.271865	1000.0	1000.0	91999	51.771435	5.9884305	78.326775	32.486202	-52.309032	1.2432736	1622.3284389972687
24	677.07263	48.25073	740.3348	613.8301	795.0443	54.213364	861.88934	672.483	1000.0	1000.0	95999	56.147434	6.8720694	85.79532	36.874725	-56.721428	1.3949285	1697.9001049995422
25	665.04224	75.57253	750.289	551.40533	793.5173	49.889027	876.10876	698.9891	1000.0	1000.0	99999	61.02559	7.479605	90.13455	40.357765	-61.637005	1.618285	1773.2361826896667
26	690.8822	125.1157	787.8209	476.6153	833.73663	58.432163	934.69403	731.26776	1000.0	1000.0	103999	65.71419	7.8409157	95.15466	40.18548	-66.32386	1.7556206	1849.141708612442
27	768.3174	26.655865	802.6536	739.1519	721.1051	30.412045	781.1431	672.42065	1000.0	1000.0	107999	69.60668	8.153019	97.5498	43.596252	-70.19825	1.761608	1925.1964993476868
