Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	3.0250044	1.5737348	4.62022	1.3697661	1.7582805	0.56197304	2.860696	1.1058253	1000.0	1000.0	3999	6.935857	3.4260292	13.623971	-0.101919204	6.935359	3.4255373	13.546418	-0.21316242	-4.042313	0.47869617	-0.65556145	-10.008221	-7.7092066	0.076175906	1.514656	1.5908319	84.81684637069702
2	3.7942524	1.0798535	5.415233	2.5482285	0.17190568	0.053752314	0.25164348	0.053686075	1000.0	1000.0	7999	20.127224	4.1181936	28.280436	12.056135	20.123909	4.118404	28.352465	12.121479	-4.060314	0.4287674	-0.8835392	-9.190136	-20.87277	0.11729532	1.9118166	2.0291119	195.4364995956421
3	4.983383	2.851493	9.623457	2.4252748	4.6359243	2.3214192	9.526668	2.7379398	1000.0	1000.0	11999	33.275005	3.4996674	42.074203	26.109337	33.270256	3.4968631	41.672752	26.281048	-4.0473876	0.4585242	0.10492802	-9.224056	-34.013046	0.14911841	2.1442919	2.2934105	314.33583879470825
4	6.5130386	1.2085439	7.9989576	4.8592424	15.048376	2.6321092	18.304468	10.701297	1000.0	1000.0	15999	44.236034	2.8695319	50.984947	38.09533	44.23263	2.8700457	51.044132	38.149776	-4.0681076	0.40010312	-0.15873718	-10.640907	-44.96493	0.14792462	2.1312172	2.279142	439.9085109233856
5	7.0014772	0.98552716	8.273295	5.5482564	20.047369	1.4517992	22.453613	17.75449	1000.0	1000.0	19999	53.24757	2.3928287	59.66258	47.630074	53.243515	2.392176	59.48107	47.960907	-4.070623	0.39213243	-0.7167187	-10.116122	-53.974995	0.13796513	2.0573792	2.1953442	563.8053920269012
6	11.853905	2.4309547	14.600973	8.832479	22.624615	0.83942413	24.776037	21.740229	1000.0	1000.0	23999	60.746704	2.004067	67.18439	55.968685	60.745796	2.0031285	67.049904	56.201828	-4.0683856	0.39617884	-1.1384869	-9.829901	-61.476322	0.13499942	2.0325437	2.167543	689.5294563770294
7	9.820001	1.4671671	11.517969	7.671104	20.291153	0.7981116	21.301702	19.153038	1000.0	1000.0	27999	66.963165	1.6809429	73.170265	63.029327	66.96024	1.6795673	73.36136	62.779137	-4.0633874	0.40968794	2.2048225	-10.046265	-67.690216	0.13569975	2.0413256	2.1770253	815.7657907009125
8	12.004505	1.36453	13.7574	10.669738	21.935276	0.56887066	22.831097	21.05367	1000.0	1000.0	31999	72.07184	1.4126834	77.78696	68.62254	72.06962	1.4119302	77.54672	68.62776	-4.0592875	0.41891363	0.2799282	-8.939138	-72.79994	0.13561176	2.0447168	2.1803286	942.4059796333313
9	20.189304	2.6137457	24.050692	17.249416	24.171688	0.5778931	25.014536	23.324146	1000.0	1000.0	35999	76.30208	1.2331246	82.37026	73.020325	76.30142	1.2318711	82.6896	73.28456	-4.050347	0.44466057	-0.7075343	-9.389281	-77.02932	0.14035647	2.082041	2.2223978	1071.4327025413513
10	21.075424	6.7551455	30.085234	11.210139	31.212564	1.6490344	34.475464	28.665031	1000.0	1000.0	39999	79.823906	1.1051701	86.63241	76.98945	79.8224	1.104698	86.49749	76.9159	-4.0360246	0.4755951	-0.23871708	-10.189822	-80.54819	0.14552805	2.1144898	2.260018	1200.6796762943268
11	22.840458	2.2214534	25.823496	20.685991	51.454388	7.680253	62.70391	36.18417	1000.0	1000.0	43999	82.78083	1.0356205	88.80513	79.95513	82.77991	1.0345995	88.950516	80.117386	-4.023768	0.50731707	0.61091137	-9.547817	-83.50441	0.1536566	2.1723921	2.3260486	1328.9375910758972
12	24.573954	6.393178	34.19633	16.20083	39.922665	1.8138195	43.342365	37.23676	1000.0	1000.0	47999	85.2178	0.943958	90.76102	82.69341	85.21564	0.94254005	90.88773	82.67773	-4.0166187	0.5189427	0.14696503	-9.598759	-85.93935	0.15103094	2.15325	2.3042808	1460.1737740039825
13	26.599064	2.524046	30.416683	24.270218	42.52481	7.025611	50.62176	25.255136	1000.0	1000.0	51999	87.21796	0.86879337	92.45833	84.87769	87.21722	0.8701878	92.24691	84.6989	-4.02031	0.5131158	-0.28902435	-10.102505	-87.93857	0.15181372	2.1613774	2.313191	1590.6956255435944
14	28.491365	8.414019	35.32884	14.141908	36.25993	2.9333138	39.56	30.904612	1000.0	1000.0	55999	88.84063	0.8364696	96.3319	86.57811	88.83966	0.8365943	95.70954	86.76051	-4.0219555	0.5053106	-0.1229229	-9.481756	-89.560936	0.15186779	2.1576674	2.3095353	1721.7742493152618
15	29.32465	4.6374273	36.628025	24.87812	43.750954	4.921109	49.91444	32.894104	1000.0	1000.0	59999	90.17117	0.8314164	97.93376	87.87351	90.16934	0.83021	97.15619	87.95543	-4.0152607	0.51760036	-0.28637648	-9.7593975	-90.89149	0.1491904	2.1347134	2.2839038	1853.1887693405151
16	26.980318	6.097528	36.60389	20.526691	38.229122	3.3573415	45.372	33.295338	1000.0	1000.0	63999	91.25951	0.8450561	98.381355	89.233986	91.2558	0.8431077	98.41883	89.12368	-4.010923	0.5253203	-0.03647518	-11.058298	-91.9771	0.1554114	2.1778755	2.333287	1986.5742456912994
17	35.026875	6.8684773	45.23358	27.29923	46.622364	4.703603	53.21696	39.620876	1000.0	1000.0	67999	92.18666	0.8552262	99.139824	90.17336	92.1843	0.8542636	99.15715	90.24716	-4.0023117	0.5458106	1.0363955	-10.0187025	-92.904686	0.15395413	2.163476	2.3174305	2121.7560153007507
18	38.49776	11.65773	52.315945	22.876583	50.32302	4.2255216	58.403137	43.62406	1000.0	1000.0	71999	92.94683	0.89752734	99.73813	90.95053	92.94652	0.89686346	100.04366	90.74564	-3.9990506	0.5534353	0.20010662	-9.804447	-93.666245	0.15824601	2.193554	2.3518	2261.0079810619354
19	38.433525	11.403455	54.890766	22.65466	57.58664	5.222933	68.48932	50.84079	1000.0	1000.0	75999	93.60646	0.9475727	100.55733	91.64675	93.6036	0.9462018	100.21951	91.34848	-3.9927366	0.56351554	-0.012184143	-9.8466215	-94.32412	0.15992296	2.1981845	2.3581073	2403.2869005203247
20	35.485786	5.6281877	43.567795	29.213575	75.7999	7.5172944	89.28916	64.52277	1000.0	1000.0	79999	94.16391	0.97358716	100.95637	91.90502	94.1585	0.97172683	101.36087	91.70931	-3.9940484	0.5624233	0.4606142	-10.098833	-94.87539	0.16609026	2.2406719	2.4067621	2551.3052911758423
21	41.76776	6.852899	49.417385	31.322418	22.689709	0.4387124	23.715233	22.029167	1000.0	1000.0	83999	94.63609	1.0134169	101.26384	92.468704	94.63813	1.0141288	101.23472	92.344215	-3.9802713	0.5860966	0.54368305	-9.704601	-95.35281	0.16791803	2.2457674	2.4136856	2701.8078944683075
22	43.47341	3.77263	47.94237	38.119553	83.4106	12.187747	104.96224	64.34914	1000.0	1000.0	87999	95.03379	1.042586	102.01736	92.82655	95.03186	1.0417938	101.8758	92.83375	-3.9763854	0.59435946	0.5533972	-10.929705	-95.75005	0.16817366	2.2398832	2.4080572	2852.7722239494324
23	50.51763	10.469533	67.14184	38.667244	114.748184	10.848849	131.35146	99.23633	1000.0	1000.0	91999	95.40605	1.0788833	101.96915	93.04102	95.40568	1.0787404	101.91916	93.06099	-3.961965	0.620897	1.2710104	-9.709774	-96.124374	0.17180279	2.2667794	2.4385824	3005.9508991241455
24	46.663727	7.875698	56.739227	36.305195	103.120384	11.517845	127.535675	84.934	1000.0	1000.0	95999	95.73655	1.1244637	102.31063	93.10548	95.7357	1.1239353	102.43493	93.2408	-3.9592187	0.6221762	0.37020874	-11.586433	-96.4545	0.17499319	2.2810006	2.4559937	3159.652573823929
25	63.73413	7.8399796	74.88221	52.7108	113.8501	9.5055275	127.82616	95.90121	1000.0	1000.0	99999	96.03818	1.1794119	104.22129	93.42942	96.03922	1.1802198	103.97809	93.53382	-3.9444997	0.645422	0.48689365	-9.528784	-96.7556	0.18189175	2.318213	2.5001047	3315.4066581726074
