Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	3.0250044	1.5737348	4.62022	1.3697661	0.2757129	0.08347928	0.3971115	0.13862129	1000.0	1000.0	3999	5.9210577	2.9988065	11.686065	-0.34030548	5.920305	3.0000908	11.7455015	-0.47302672	-4.0728993	0.39689368	0.22001839	-11.553447	-6.707372	0.032039143	0.032039143	100.95503664016724
2	3.7942524	1.0798535	5.415233	2.5482285	0.14958486	0.064451456	0.24526937	0.07415437	1000.0	1000.0	7999	17.11773	3.401024	23.679924	10.466094	17.117786	3.400799	23.716766	10.492562	-4.0875783	0.34632865	-0.88435936	-9.326082	-17.877974	0.055693716	0.055693716	244.0602993965149
3	3.9466467	1.4678128	6.1893196	2.4252748	0.21080196	0.10152428	0.3773992	0.045475908	1000.0	1000.0	11999	27.767502	2.791753	33.6487	22.158646	27.767553	2.7914436	34.2249	22.046812	-4.0902133	0.33086932	-1.4482002	-10.801955	-28.517027	0.07137338	0.07137338	389.27241253852844
4	5.3724303	1.665599	7.042556	3.5513415	0.24514575	0.108520806	0.44226828	0.108782925	1000.0	1000.0	15999	36.55256	2.3167484	41.699932	31.563375	36.552544	2.3163853	41.777008	31.630241	-4.091343	0.3181051	-0.9354267	-10.508949	-37.30079	0.07405632	0.07405632	536.1624479293823
5	3.050652	0.7680044	3.9383314	1.920471	0.12431916	0.024868092	0.1687773	0.08107997	1000.0	1000.0	19999	43.89509	1.9560962	48.22303	39.28281	43.89518	1.9555569	48.00606	39.5954	-4.0943584	0.3099593	-1.952157	-10.692459	-44.650486	0.06505542	0.06505542	683.308586359024
6	4.7453732	1.1814843	6.149894	2.9021888	0.23456652	0.050605346	0.32705292	0.15036888	1000.0	1000.0	23999	50.10698	1.6639962	53.874645	46.296654	50.10695	1.6638336	53.735783	46.440994	-4.0963726	0.30251947	-1.6324301	-10.678312	-50.870296	0.056063317	0.056063317	825.5302889347076
7	3.9941611	1.1652719	5.91267	2.763731	0.3733665	0.26706013	0.77692974	0.06577869	1000.0	1000.0	27999	55.39096	1.4153993	58.809723	52.22043	55.39099	1.4148105	58.70167	52.122944	-4.0966773	0.30154923	-2.5436668	-10.076774	-56.157978	0.04825499	0.04825499	971.3724448680878
8	5.334161	1.1077954	6.4961	3.5308166	0.52835584	0.20470153	0.9366378	0.2941226	1000.0	1000.0	31999	59.857185	1.1935676	63.054443	57.084633	59.8572	1.1928198	63.292664	57.155655	-4.0977135	0.29635432	-2.753796	-9.540076	-60.633087	0.044054214	0.044054214	1120.60733127594
9	4.6023126	1.5086504	6.7056365	2.520385	0.5038892	0.42304483	1.7338493	0.2125863	1000.0	1000.0	35999	63.592896	0.997932	66.40977	61.187687	63.5929	0.997456	66.10811	61.21066	-4.0992703	0.29700175	-2.6191778	-10.969901	-64.368774	0.041499123	0.041499123	1269.5525658130646
10	5.013984	1.7779975	6.589246	2.2428901	1.3222458	1.3298815	5.0828648	0.33083975	1000.0	1000.0	39999	66.69145	0.8280919	69.352905	64.54914	66.69147	0.827302	69.30838	64.62659	-4.098715	0.29345134	-2.4989896	-10.007525	-67.46733	0.038948786	0.038948786	1419.8378591537476
11	4.5864716	1.9159076	7.464183	2.0714025	0.2452614	0.13279282	0.5055146	0.09694753	1000.0	1000.0	43999	69.24328	0.68836194	71.33397	67.49966	69.2433	0.68776673	71.2772	67.30405	-4.1003017	0.29555824	-2.624711	-9.531719	-70.022575	0.038289916	0.038289916	1571.0946230888367
12	3.5460036	0.82771605	4.516168	2.2510576	0.45398983	0.5391809	2.0396779	0.16405027	1000.0	1000.0	47999	71.34652	0.5711792	73.23873	69.558754	71.34653	0.5700828	73.463524	69.60036	-4.0998015	0.2936343	-2.8518548	-9.779472	-72.13216	0.037213005	0.037213005	1723.3270361423492
13	3.9676294	0.8395119	5.288032	3.1905222	4.2998953	1.2318652	6.1763434	1.9129266	1000.0	1000.0	51999	73.077866	0.48149016	74.88773	71.23602	73.07787	0.48054832	74.80571	71.5171	-4.1000113	0.29176724	-2.839198	-9.685159	-73.85812	0.03502097	0.03502097	1876.17196726799
