Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	1.9949816	1.0013263	6.5449886	-0.34568062	1.9949269	1.0014256	6.5935287	-0.25242904	-1.3625265	0.19920327	1.677181	-5.5787745	-2.2562172	0.0063949237	0.0063949237	100.17465209960938
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	5.730205	1.1503913	8.679595	3.0827186	5.7302327	1.150318	8.658178	3.1246169	-1.3654537	0.17738846	0.7878008	-5.934007	-5.9877806	0.007746218	0.007746218	232.33883094787598
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	9.342639	0.9501637	11.563118	6.381701	9.342659	0.9500634	11.47849	6.673708	-1.3647585	0.17893994	1.1257141	-5.8470583	-9.5991125	0.008966726	0.008966726	368.3388559818268
4	1.75	3.0310888	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	12.330611	0.7997731	15.041843	9.543412	12.330616	0.7998076	15.02744	9.870465	-1.3649727	0.17942353	-0.056842327	-7.146182	-12.585903	0.010064354	0.010064354	505.23495650291443
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	14.825676	0.6713663	19.463331	11.78272	14.825672	0.67126215	19.861765	12.053483	-1.3633848	0.19003107	2.0743136	-6.86599	-15.082736	0.013551799	0.013551799	643.4559342861176
6	2.25	3.8971143	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	16.877234	0.5621788	22.640295	14.096563	16.877222	0.5623747	22.62074	13.706028	-1.3626324	0.19003133	2.9478793	-5.666794	-17.134594	0.016365953	0.016365953	783.0962047576904
7	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	18.57629	0.4719199	25.559841	16.11966	18.576305	0.47158965	25.342566	16.355474	-1.3624228	0.19445404	5.5048695	-5.569303	-18.833462	0.017706435	0.017706435	924.3247456550598
8	2.0	1.8708287	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	19.972961	0.3962634	30.172314	17.689741	19.972965	0.39670777	31.554993	17.793291	-1.3628079	0.19364895	4.4860716	-5.5233955	-20.229504	0.017658478	0.017658478	1065.5252420902252
9	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	21.12235	0.3328826	26.497025	17.600573	21.122362	0.33289286	26.410948	17.646927	-1.3643944	0.18309078	3.0176911	-6.153475	-21.380312	0.01499396	0.01499396	1205.892689704895
10	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	22.083025	0.28498352	27.405067	19.930405	22.08304	0.28482273	27.605045	19.77813	-1.3643875	0.17965356	2.9566648	-5.7352114	-22.341434	0.013643819	0.013643819	1346.6425776481628
11	1.75	2.4874685	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	22.878876	0.24668278	28.094627	20.73465	22.878868	0.24699648	29.028326	20.735422	-1.3646313	0.18254659	2.7403457	-6.102121	-23.13597	0.015058241	0.015058241	1488.1270887851715
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	23.540874	0.21745275	30.49395	21.813934	23.540882	0.21721219	30.842018	21.566511	-1.3647668	0.18067175	3.6498246	-6.348792	-23.799871	0.013197087	0.013197087	1628.8801996707916
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	24.095917	0.19126886	30.605762	21.965069	24.095945	0.19108419	31.398352	22.101128	-1.36426	0.18091081	2.628602	-6.413625	-24.354885	0.013095314	0.013095314	1769.1644682884216
14	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	24.556828	0.16533247	29.99142	22.138294	24.556837	0.16486198	30.189411	22.506475	-1.3647422	0.18022819	3.4108148	-7.479985	-24.81522	0.011570154	0.011570154	1911.1800456047058
15	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	24.937738	0.15090917	31.664204	22.117397	24.93774	0.1507273	31.628286	22.39225	-1.3652259	0.17925234	5.2055526	-8.6489	-25.196815	0.01262373	0.01262373	2053.655556678772
16	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	25.251707	0.13566847	31.746918	23.297659	25.251713	0.13579454	31.743628	23.495005	-1.3654183	0.17794196	5.610097	-7.207221	-25.51275	0.0118508395	0.0118508395	2198.3960983753204
17	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	25.51383	0.12625892	30.725382	23.863897	25.513836	0.12563117	30.504871	23.598803	-1.3657904	0.17431489	2.2127366	-7.0065784	-25.775093	0.011792747	0.011792747	2346.525773048401
18	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	25.733725	0.116725184	31.310081	24.185015	25.733725	0.11694563	31.025543	24.085562	-1.3652476	0.17552893	4.7007837	-6.5040636	-25.995861	0.011482662	0.011482662	2500.32767701149
19	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	25.92111	0.10818721	33.587097	24.376808	25.92113	0.108460195	33.569733	24.280653	-1.3656975	0.17587581	5.2112722	-6.4639373	-26.181664	0.011711028	0.011711028	2657.3209154605865
20	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	26.07444	0.10307357	32.937313	24.508286	26.074425	0.104838416	33.25195	24.423588	-1.366189	0.17273147	1.8907495	-6.513171	-26.336199	0.011903924	0.011903924	2815.7682456970215
21	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	26.201897	0.08981541	31.202162	24.153412	26.20191	0.09002129	32.17497	24.204983	-1.3658589	0.17082393	2.4535825	-5.664007	-26.464746	0.011234975	0.011234975	2976.428334236145
22	1.0	1.2247449	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	26.313536	0.08381421	31.419704	24.49212	26.313547	0.0830564	30.956976	24.813637	-1.3664749	0.17273837	2.822865	-5.5312204	-26.576555	0.009801408	0.009801408	3137.5187888145447
23	4.0	4.8989797	12.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	26.41097	0.08904395	31.346313	24.7771	26.410978	0.08901152	30.971516	24.801748	-1.3659619	0.1731078	2.1223114	-5.6313167	-26.674006	0.012176429	0.012176429	3299.843471765518
24	1.75	3.0310888	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	26.492945	0.08951978	31.402273	24.943733	26.492945	0.08964773	31.14116	25.050837	-1.3662205	0.17444961	2.9689214	-6.8865814	-26.755718	0.013162833	0.013162833	3462.7536222934723
25	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	26.558895	0.10066962	32.432026	24.797586	26.558903	0.10021439	31.985668	24.69364	-1.3658096	0.17755395	4.223161	-8.171339	-26.82262	0.014934841	0.014934841	3624.8344254493713
26	1.5	1.118034	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	26.616625	0.09503465	32.074604	25.11404	26.61663	0.095665395	32.080765	25.44726	-1.3656679	0.17269404	4.2551327	-5.5743437	-26.881277	0.014055411	0.014055411	3786.891594648361
27	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	26.665674	0.08619307	33.257698	25.075033	26.66568	0.087125264	33.03692	25.04691	-1.3661578	0.17618689	4.5148325	-6.241088	-26.930727	0.011991404	0.011991404	3950.320561170578
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	26.713007	0.082357004	32.147884	25.006952	26.713007	0.08306498	32.14649	25.104618	-1.3660258	0.17408644	5.1020775	-6.3343763	-26.977528	0.011568785	0.011568785	4114.044581890106
29	2.0	3.4641016	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	26.754282	0.08253304	31.978188	25.668709	26.754286	0.08132241	31.696262	25.680141	-1.3665453	0.1723032	3.3218021	-6.063499	-27.020288	0.010764221	0.010764221	4278.42679476738
30	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	26.79272	0.086283945	33.821587	25.528889	26.792728	0.08610591	32.930782	25.433624	-1.3661039	0.17090818	3.109474	-6.6209307	-27.059422	0.011308159	0.011308159	4442.622515201569
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	26.825388	0.08362998	32.51447	25.94995	26.825392	0.08391449	32.430187	25.880655	-1.3661783	0.17213558	3.7893918	-6.511526	-27.092058	0.011495751	0.011495751	4606.907822608948
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	26.847927	0.08460326	33.19497	25.273466	26.847925	0.08471808	33.54578	25.194334	-1.3664879	0.17491789	5.2961535	-8.3439245	-27.113754	0.011394005	0.011394005	4771.676753520966
33	4.75	3.8324275	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	26.874392	0.08593654	32.684464	25.828497	26.874388	0.08693597	32.90969	25.595398	-1.365962	0.17479688	6.1408997	-6.546585	-27.139847	0.013169616	0.013169616	4936.825555562973
34	1.75	2.046338	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	26.898342	0.0897933	32.717865	25.82172	26.898357	0.088844426	32.525013	25.795938	-1.3660836	0.17806204	4.9181695	-6.096702	-27.163433	0.012600313	0.012600313	5099.566806793213
35	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	26.914795	0.089782	32.49261	25.848265	26.914797	0.089173615	32.419827	25.606861	-1.3656527	0.17493129	7.3664207	-7.1354103	-27.181417	0.011864347	0.011864347	5263.8421313762665
36	1.5	2.598076	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	26.932507	0.089387044	33.932842	25.759098	26.9325	0.08896894	34.277294	25.70265	-1.3661616	0.17440893	5.477123	-6.893903	-27.197765	0.0144548835	0.0144548835	5428.406026363373
37	3.25	3.4186985	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	26.95017	0.10116087	34.138317	25.331799	26.95019	0.09973723	33.36328	25.528917	-1.3653202	0.17711776	3.6688182	-7.49104	-27.216309	0.015518356	0.015518356	5593.1925621032715
38	2.75	2.9474566	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	26.962877	0.098120674	33.378757	25.603468	26.96287	0.09773633	32.995853	25.765097	-1.3656964	0.17463104	4.9657345	-7.111652	-27.228794	0.014235244	0.014235244	5757.92542386055
39	0.75	0.8291562	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	26.974445	0.095842175	33.335808	25.48161	26.97445	0.094552204	32.88003	25.602201	-1.3660907	0.17528813	4.1354036	-5.5335083	-27.241016	0.013724219	0.013724219	5923.253974914551
40	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	26.985937	0.101041846	33.833267	25.96215	26.985933	0.1005523	33.323982	26.047792	-1.3660198	0.17530191	3.0413723	-5.4876747	-27.251554	0.014339239	0.014339239	6087.847193956375
41	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	26.99233	0.08715569	32.65757	25.831879	26.992334	0.086350664	32.21167	25.892288	-1.3664141	0.17681977	3.5645094	-6.3503366	-27.257399	0.012958713	0.012958713	6252.501308917999
42	2.75	2.9474566	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	27.002846	0.09349297	33.175278	26.074574	27.002834	0.09324574	34.21594	25.970743	-1.365965	0.17595807	4.401947	-6.002758	-27.268633	0.013237309	0.013237309	6416.946341514587
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	27.01031	0.093359135	34.244923	25.147385	27.01032	0.092738144	34.658775	25.343897	-1.3661158	0.1743608	2.4924052	-6.236449	-27.27529	0.013288496	0.013288496	6580.236529588699
44	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	27.019285	0.09454844	33.791004	25.488077	27.019287	0.09293707	33.428444	25.343056	-1.3660806	0.17535152	4.419909	-6.2182593	-27.28472	0.013877235	0.013877235	6744.334044933319
45	3.5	4.974937	12.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	179999	27.027052	0.09747702	33.497932	25.7108	27.027056	0.0962048	33.586056	25.662344	-1.366027	0.17539209	7.4583793	-6.3093243	-27.292212	0.014286092	0.014286092	6909.150539398193
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	183999	27.03108	0.098063596	34.02322	25.6967	27.031075	0.09762021	33.96976	25.855898	-1.3653944	0.17279671	3.0356288	-5.2845664	-27.296957	0.013517063	0.013517063	7073.003962516785
47	5.5	5.894913	14.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	187999	27.03609	0.09137238	33.674088	25.573763	27.036097	0.09065607	34.000813	25.649246	-1.3658522	0.17171505	2.6746042	-6.74896	-27.301754	0.013758402	0.013758402	7237.8325271606445
48	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	191999	27.03992	0.093176775	33.34237	25.939201	27.039938	0.09183967	33.661922	25.522625	-1.3661556	0.17314987	3.8094769	-6.5468373	-27.30602	0.014814409	0.014814409	7401.958766937256
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	195999	27.042475	0.08608351	32.93163	25.844606	27.042477	0.08510147	33.26104	25.703905	-1.3662188	0.1742272	3.9649918	-6.5943966	-27.30883	0.0132455295	0.0132455295	7567.19148516655
50	2.0	2.1213202	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	199999	27.046274	0.088481314	32.461975	25.527657	27.046278	0.08751668	32.900017	25.70245	-1.3657182	0.17691687	3.7452354	-6.045413	-27.313145	0.014480841	0.014480841	7731.187594652176
51	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	27.056223	0.0900316	33.838547	25.648117	27.056225	0.08973575	33.994778	25.83136	-1.365763	0.17652127	4.8541546	-6.859173	-27.32297	0.0131058	0.0131058	7895.648837327957
52	2.5	2.598076	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	207999	27.05827	0.08486966	34.14755	25.944904	27.058275	0.08453497	34.241615	26.038261	-1.3657738	0.17297445	3.9344325	-5.640828	-27.325146	0.013239431	0.013239431	8059.976098775864
53	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	211999	27.060036	0.09413225	34.110195	26.152056	27.060045	0.093312085	33.776047	26.158577	-1.3661528	0.17414942	4.0084734	-5.588625	-27.324785	0.015370613	0.015370613	8224.596027851105
54	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	27.064705	0.08445088	32.95693	26.200058	27.064714	0.08419815	33.657486	26.292437	-1.3663461	0.17259859	3.5441573	-5.9210105	-27.33019	0.013191595	0.013191595	8388.899182796478
55	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	219999	27.067995	0.08881814	33.25954	25.756721	27.06799	0.08721472	33.119755	25.781477	-1.3664242	0.17621	6.710822	-6.7551727	-27.334127	0.0143578015	0.0143578015	8553.63297533989
56	2.0	2.1213202	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	223999	27.06887	0.089096546	32.89385	26.10087	27.068888	0.08835028	33.341965	26.07933	-1.3664247	0.17568916	3.0911121	-5.9136276	-27.336285	0.013723741	0.013723741	8718.484038352966
57	2.25	3.8971143	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	227999	27.068977	0.0839469	33.714996	25.976814	27.068977	0.08355467	33.348316	26.172123	-1.3664131	0.17482668	3.6721492	-5.9611716	-27.334848	0.013829116	0.013829116	8882.738394498825
58	1.75	2.046338	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	231999	27.07036	0.08898728	33.706028	25.937342	27.070368	0.088050716	33.739822	25.78434	-1.366012	0.17548665	4.3738294	-6.4543586	-27.337734	0.014315733	0.014315733	9046.796756029129
59	6.0	6.0	16.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	235999	27.069658	0.07959533	32.760952	26.153759	27.06966	0.07856699	33.033226	26.230469	-1.3664392	0.1743068	3.362342	-9.430155	-27.337355	0.011917461	0.011917461	9210.140593767166
60	1.0	1.2247449	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	239999	27.072214	0.08427491	32.43435	26.066715	27.07223	0.083406255	33.976856	26.241743	-1.3657761	0.17672043	2.426949	-7.50705	-27.3394	0.015879417	0.015879417	9372.588590145111
61	4.75	5.3560715	13.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	243999	27.076256	0.093115434	34.070206	26.011745	27.076267	0.09249172	33.85218	26.237598	-1.365922	0.17729782	5.1299953	-6.128986	-27.344242	0.014744476	0.014744476	9535.7286195755
62	2.0	2.1213202	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	247999	27.08114	0.09776487	34.460598	26.296036	27.081135	0.098003	34.16033	26.001062	-1.3650964	0.17942107	3.5676384	-6.264966	-27.348553	0.015844354	0.015844354	9699.521477222443
