Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	2.448895	1.1816981	8.419246	-0.45707834	2.4492311	1.181898	8.226755	-0.19623369	-1.360801	0.21287307	2.8232012	-7.1102343	-2.703036	0.014689331	0.6210487	0.635738	165.5709753036499
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	7.0120835	1.4436449	12.06072	4.1174674	7.0117292	1.4442554	12.490684	4.2014527	-1.3614738	0.211066	0.7634444	-7.4497766	-7.2561417	0.026007477	0.80611867	0.8321262	383.093563079834
3	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	11.594419	1.2267905	16.906296	9.137834	11.594298	1.2266966	16.445543	9.174003	-1.3595872	0.21754855	1.7350016	-6.3951874	-11.832855	0.03236831	0.9055331	0.9379015	603.1884944438934
4	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	15.47945	1.046631	20.582214	13.27268	15.479967	1.0474914	20.454016	13.251398	-1.3589276	0.2218926	1.3265882	-6.741579	-15.713153	0.040777948	1.0060128	1.0467907	825.3494372367859
5	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	18.703583	0.86921483	23.658615	16.79161	18.70656	0.868901	23.888855	16.825985	-1.3593982	0.2225538	0.9294715	-5.298687	-18.936907	0.043140985	1.0182897	1.0614307	1048.1054763793945
6	3.5	4.974937	12.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	21.382633	0.7612531	34.31702	19.624683	21.384062	0.76022077	34.694016	19.226976	-1.356206	0.23608173	1.9132704	-7.2640467	-21.612835	0.056296013	1.0782095	1.1345056	1271.2187399864197
7	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	23.645145	0.6734055	35.39577	21.02786	23.646723	0.67180735	34.884407	22.007902	-1.3517857	0.2531252	2.5598323	-5.9030204	-23.873705	0.06634233	1.1404765	1.2068187	1494.2426450252533
8	3.75	3.344772	8.0	0.0	0.6	1.2806249	4.0	0.0	1000.0	1000.0	31999	25.526106	0.59171826	38.645092	24.085445	25.528463	0.5909167	37.273483	23.934711	-1.3494039	0.2617187	2.4651875	-7.6388226	-25.754457	0.06644736	1.1484612	1.2149085	1718.4135818481445
9	3.0	3.3166249	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	27.105286	0.53986025	41.266075	25.710844	27.1081	0.53996444	40.375572	25.760468	-1.3469547	0.27462468	1.9796138	-5.9445457	-27.331919	0.07392591	1.1956342	1.2695603	1942.8987464904785
10	1.5	1.5	3.0	0.0	0.9	1.9209373	6.0	0.0	1000.0	1000.0	39999	28.404425	0.49088445	43.72824	27.180576	28.404528	0.48841572	44.3151	27.1009	-1.3441008	0.28497002	2.6724699	-7.7849197	-28.630936	0.074426204	1.1898607	1.2642869	2167.1815514564514
