Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	3.0	3.3166249	8.0	0.0	116.3	143.49568	389.0	0.0	1000.0	1000.0	3999	2.5030808	1.2138836	5.126183	-0.2171315	2.502328	1.2143224	5.1075907	-0.037956662	-1.364044	0.19221541	0.2182107	-5.474012	-2.7624378	0.012530239	0.5217802	0.53431046	119.24768471717834
2	78.5	71.61878	195.0	0.0	36.2	87.261444	296.0	0.0	1000.0	1000.0	7999	7.8123856	3.0705347	34.919506	4.093517	7.8133125	3.0711067	35.3158	4.112076	-1.1619431	0.72004	4.959043	-7.036255	-8.129635	0.051612847	1.0322757	1.0838885	276.2364253997803
3	0.0	0.0	0.0	0.0	99.5	290.21277	970.0	0.0	1000.0	1000.0	11999	20.79819	15.442385	84.067154	8.237803	20.798885	15.442555	83.3242	8.225303	-0.27883437	1.5603908	5.965403	-9.555404	-21.628407	0.17087337	1.9905692	2.1614423	434.39162015914917
4	110.25	185.23009	431.0	0.0	68.1	111.858345	343.0	0.0	1000.0	1000.0	15999	45.289104	23.68439	107.7493	12.698121	45.29166	23.68647	108.83716	12.774536	0.12082606	1.5892006	5.257044	-13.239605	-46.2575	0.38231775	3.0786731	3.4609907	593.9513971805573
5	170.75	243.64665	589.0	0.0	98.4	288.56894	964.0	0.0	1000.0	1000.0	19999	65.64491	23.6894	141.59375	16.84894	65.64224	23.687876	143.60428	16.809984	-0.008113072	1.5166831	5.748945	-9.636242	-66.32174	0.3643173	3.259744	3.624061	753.1309580802917
6	97.75	169.30797	391.0	0.0	103.5	274.86298	923.0	0.0	1000.0	1000.0	23999	72.820656	16.484789	130.01862	21.473452	72.817604	16.483984	128.76427	21.691162	-0.3711268	1.3362073	4.79101	-9.016841	-73.27984	0.37833187	3.3646824	3.7430143	913.5721442699432
7	221.25	383.21625	885.0	0.0	198.4	389.64603	980.0	0.0	1000.0	1000.0	27999	75.79294	12.906064	115.97773	34.199062	75.79623	12.904255	115.58819	34.944202	-0.53504395	1.1991144	4.1591988	-11.850456	-76.15759	0.4286742	3.5665224	3.9951968	1074.7555394172668
8	204.5	345.56656	803.0	0.0	194.0	380.79523	957.0	0.0	1000.0	1000.0	31999	76.99845	11.860942	106.36529	30.812101	77.00582	11.857493	106.937546	28.56924	-0.5379355	1.172565	4.4920883	-8.554211	-77.34311	0.50088525	3.8201528	4.3210382	1234.1395254135132
9	237.75	407.18936	943.0	0.0	288.9	437.87747	985.0	0.0	1000.0	1000.0	35999	78.44665	12.7065735	108.08095	29.707485	78.457466	12.698152	108.439285	28.283895	-0.47544384	1.2238175	4.6266193	-9.782098	-78.816734	0.5639748	4.0929346	4.6569095	1394.9669661521912
10	21.25	31.822752	76.0	0.0	384.1	467.3657	980.0	0.0	1000.0	1000.0	39999	80.37734	15.004005	114.51848	34.499058	80.39086	14.99998	115.174324	34.798885	-0.50114405	1.2304096	4.9022703	-10.136935	-80.7202	0.62205493	4.2606444	4.8826985	1555.5771024227142
11	502.0	287.8793	762.0	45.0	477.0	477.77902	997.0	0.0	1000.0	1000.0	43999	81.84438	17.21564	119.69974	40.062675	81.853	17.210258	120.397545	40.387497	-0.48939383	1.2407578	6.1555247	-10.245937	-82.17909	0.67363334	4.4494576	5.1230907	1716.7549204826355
12	734.25	424.0969	990.0	0.0	743.1	373.66522	992.0	0.0	1000.0	1000.0	47999	84.18362	19.626133	124.50899	41.640396	84.18279	19.617666	125.06372	41.032116	-0.4680337	1.2421231	5.605649	-8.954442	-84.50303	0.7353614	4.636166	5.371527	1877.7583227157593
13	615.5	374.38916	937.0	11.0	759.5	379.33344	981.0	0.0	1000.0	1000.0	51999	86.74046	21.495996	127.99459	42.04706	86.74305	21.491901	129.12877	42.188957	-0.38648906	1.2939305	7.299548	-9.770602	-87.09689	0.7841341	4.785856	5.56999	2037.7387292385101
14	654.0	307.8839	903.0	140.0	677.3	437.1828	989.0	0.0	1000.0	1000.0	55999	90.34534	22.903763	132.10854	43.34086	90.35043	22.905125	132.60243	41.1147	-0.2972814	1.3426015	5.956806	-10.211113	-90.72914	0.8745781	5.0186677	5.893245	2197.662440776825
15	859.75	102.79683	974.0	693.0	755.5	374.58383	994.0	0.0	1000.0	1000.0	59999	95.36835	23.859882	134.19965	39.556248	95.3688	23.858635	134.75784	36.982212	-0.16382988	1.4308517	6.9532256	-9.2255535	-95.80397	0.91064215	5.087034	5.997677	2359.0475656986237
16	941.0	34.705906	978.0	888.0	870.1	282.5054	992.0	27.0	1000.0	1000.0	63999	100.69301	23.284689	136.80394	36.28924	100.69286	23.28501	136.638	38.330517	-0.16071068	1.4075431	6.1288733	-9.908394	-101.14016	0.89254785	5.030527	5.923075	2521.756842136383
17	708.75	410.60648	979.0	0.0	756.8	372.68396	999.0	0.0	1000.0	1000.0	67999	104.6434	22.830053	137.90625	37.00864	104.64536	22.83273	138.32088	35.9415	-0.234845	1.3687158	6.5855865	-9.273539	-105.04561	0.8718443	4.988652	5.860497	2689.3642103672028
18	904.25	109.41064	981.0	716.0	959.3	19.411594	993.0	934.0	1000.0	1000.0	71999	107.65472	22.594322	139.43513	35.185284	107.65834	22.599537	139.49315	34.63373	-0.25415075	1.3588543	8.105723	-10.35158	-108.04707	0.8554234	4.9618397	5.817263	2863.2448420524597
19	799.75	257.8162	972.0	354.0	863.5	289.23322	992.0	0.0	1000.0	1000.0	75999	110.86055	22.353378	140.12334	33.020924	110.86038	22.359512	140.78087	32.108685	-0.2713949	1.3585176	7.9223366	-11.837636	-111.25022	0.83562946	4.8990507	5.7346797	3039.7776091098785
20	812.25	186.00319	968.0	502.0	781.2	372.8326	1000.0	17.0	1000.0	1000.0	79999	113.04358	22.458681	142.93799	32.437996	113.04878	22.46491	142.84395	31.621326	-0.28840905	1.3485589	6.586771	-12.324497	-113.425316	0.82934105	4.870096	5.6994376	3217.5235347747803
21	972.5	21.523243	1000.0	942.0	952.1	29.33752	992.0	891.0	1000.0	1000.0	83999	115.62235	22.471474	141.49326	32.0149	115.62916	22.476793	142.11194	32.69496	-0.32856065	1.3429195	6.5043674	-8.905104	-115.98837	0.8399962	4.876472	5.7164683	3395.850966691971
22	905.75	41.60754	975.0	864.0	864.4	275.3838	978.0	40.0	1000.0	1000.0	87999	117.46501	22.013725	142.77084	32.7334	117.46905	22.01834	143.81052	32.66896	-0.3279206	1.3471411	5.8678513	-10.662262	-117.823784	0.8345845	4.840373	5.674957	3574.189432859421
