Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	3.0	3.3166249	8.0	0.0	68.7	128.44458	423.0	0.0	1000.0	1000.0	3999	2.1751878	1.0486361	5.133925	-0.30439067	2.1751902	1.0486386	5.1589437	-0.3109461	-1.3639493	0.18943505	1.6525669	-5.7854667	-2.440628	0.008933826	0.008933826	124.01778960227966
2	78.5	71.61878	195.0	0.0	66.0	128.79053	348.0	0.0	1000.0	1000.0	7999	6.398405	2.3131328	29.149343	3.5086854	6.3983684	2.3136573	29.519203	3.5254529	-1.2172621	0.64404887	5.5815725	-7.418832	-6.6992297	0.033765625	0.033765625	310.23164772987366
3	32.75	56.724663	131.0	0.0	99.0	292.36313	976.0	0.0	1000.0	1000.0	11999	15.488868	12.020613	71.13973	6.520819	15.488826	12.020846	71.58212	6.6163116	-0.47523633	1.4563982	6.2181654	-10.212889	-16.190168	0.098832324	0.098832324	498.538547039032
4	109.25	189.22655	437.0	0.0	24.9	44.4982	141.0	0.0	1000.0	1000.0	15999	29.568375	18.002651	103.09659	8.654914	29.568316	18.002792	102.90628	8.830858	-0.08920225	1.556769	5.5190096	-9.985334	-30.458426	0.16325067	0.16325067	687.6532781124115
5	238.0	375.21527	887.0	0.0	1.8	4.0199504	13.0	0.0	1000.0	1000.0	19999	45.64503	23.730864	102.823654	11.954888	45.64496	23.731287	102.659805	12.0662155	-0.22599654	1.4245356	4.7322307	-9.650824	-46.2808	0.20761755	0.20761755	875.7344784736633
6	0.0	0.0	0.0	0.0	97.0	282.43973	944.0	0.0	1000.0	1000.0	23999	54.141525	18.736288	89.349625	13.07998	54.141617	18.73644	89.088036	13.100048	-0.35729092	1.3107289	4.425241	-9.693973	-54.63839	0.24947491	0.24947491	1064.7272124290466
7	243.75	422.18738	975.0	0.0	96.8	288.07425	961.0	0.0	1000.0	1000.0	27999	56.477795	14.199191	81.48336	17.831528	56.477615	14.200912	81.44659	18.211365	-0.6144873	1.1317319	4.7443633	-9.019037	-56.83013	0.29968652	0.29968652	1254.7323153018951
8	316.0	317.8325	739.0	0.0	188.2	373.90848	938.0	0.0	1000.0	1000.0	31999	56.53961	13.081033	84.296616	17.386223	56.53938	13.08631	82.8795	16.920404	-0.6773734	1.0685443	5.655241	-9.832167	-56.847317	0.3588073	0.3588073	1445.1877977848053
9	216.5	374.989	866.0	0.0	296.0	452.1772	1000.0	0.0	1000.0	1000.0	35999	55.30793	14.2864485	91.4125	16.74045	55.30791	14.291753	90.67178	17.855413	-0.66435987	1.0957656	6.021593	-8.325567	-55.61252	0.41078565	0.41078565	1635.1748387813568
10	192.0	295.6789	702.0	0.0	195.6	388.21857	975.0	0.0	1000.0	1000.0	39999	56.183537	17.366056	96.120445	17.870861	56.18366	17.3683	96.33921	18.711802	-0.58722764	1.1513149	5.2761846	-9.051559	-56.49736	0.48709884	0.48709884	1824.3182437419891
11	93.0	151.98355	356.0	0.0	455.0	455.2463	996.0	0.0	1000.0	1000.0	43999	56.720783	19.077522	100.49334	14.727069	56.72122	19.07871	100.653404	17.200747	-0.5213757	1.2089688	5.6691275	-9.94593	-57.04144	0.58898115	0.58898115	2013.5598938465118
12	736.0	425.02176	990.0	0.0	485.0	476.9677	987.0	0.0	1000.0	1000.0	47999	58.078484	21.056053	104.4705	13.107084	58.078556	21.05679	104.279625	15.138829	-0.45537937	1.2498429	6.1668324	-11.2058525	-58.421234	0.604061	0.604061	2202.9365513324738
13	191.25	322.63245	750.0	0.0	298.7	434.14236	980.0	0.0	1000.0	1000.0	51999	58.923836	22.946922	110.77261	13.349284	58.924114	22.947319	111.361755	14.915995	-0.43826923	1.251092	5.8009605	-9.42569	-59.26178	0.66462845	0.66462845	2392.7277703285217
14	796.75	84.87454	906.0	695.0	768.0	384.19162	985.0	0.0	1000.0	1000.0	55999	60.090897	24.345547	117.981	11.072024	60.090965	24.348509	118.21845	12.595984	-0.312702	1.3103976	6.8060675	-12.298225	-60.468006	0.75753564	0.75753564	2583.3463423252106
15	493.75	359.4067	971.0	0.0	474.6	457.79498	994.0	0.0	1000.0	1000.0	59999	63.27998	26.172016	121.288734	10.109592	63.279884	26.173866	120.33952	12.216646	-0.18202138	1.3775022	6.2081985	-9.700801	-63.719406	0.7992069	0.7992069	2776.1246054172516
16	714.75	410.53952	986.0	7.0	673.3	441.94592	992.0	0.0	1000.0	1000.0	63999	67.22963	27.77772	118.62913	10.359402	67.22991	27.77774	117.470894	12.640758	-0.1641272	1.4054209	6.477544	-10.036438	-67.67256	0.8374111	0.8374111	2972.71249127388
