Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	2.1390393	1.0570238	4.375637	-0.06919433	2.1389961	1.0571142	4.4136066	-0.17937629	-1.3633772	0.18819274	0.69304657	-5.3994217	-2.4051163	0.004161231	0.004161231	83.4508707523346
2	20.75	20.753012	42.0	0.0	3.2	5.362835	14.0	0.0	1000.0	1000.0	7999	6.0010443	1.2406726	16.79623	3.6557386	6.001046	1.2407389	16.901386	3.6433842	-1.3502825	0.25274065	2.2934957	-6.7399855	-6.2623906	0.014314558	0.014314558	192.63774394989014
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	10.121305	3.2349322	46.802464	6.710135	10.121297	3.2351985	46.43763	6.5847397	-1.1736698	0.70388645	5.0582438	-8.825827	-10.432481	0.031544577	0.031544577	324.202228307724
4	4.75	5.7172985	14.0	0.0	5.8	16.110865	54.0	0.0	1000.0	1000.0	15999	16.208689	7.2459626	49.80505	9.3553	16.208683	7.245967	49.84845	9.320744	-0.88425875	1.041055	4.4397554	-9.187469	-16.627008	0.07232343	0.07232343	458.1808898448944
5	6.5	4.609772	13.0	0.0	7.6	22.468645	75.0	0.0	1000.0	1000.0	19999	23.818432	10.120487	49.37154	12.173847	23.818436	10.120496	48.981	12.203879	-0.8535668	1.0031248	3.2004251	-8.789459	-24.206758	0.06312621	0.06312621	593.7190697193146
6	0.0	0.0	0.0	0.0	2.4	7.2000003	24.0	0.0	1000.0	1000.0	23999	27.633347	9.192296	49.1129	14.322674	27.633358	9.1921425	49.486557	14.2437	-0.97610104	0.8911773	3.0890214	-10.94835	-27.955238	0.054671895	0.054671895	729.5119068622589
7	100.25	173.63809	401.0	0.0	0.7	2.1000001	7.0	0.0	1000.0	1000.0	27999	29.547815	7.566722	47.87725	15.653594	29.54783	7.5665708	48.162376	15.669285	-1.074492	0.77329	3.3477278	-8.952579	-29.833933	0.055512458	0.055512458	865.8224096298218
8	8.75	15.155444	35.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	31999	30.374485	6.595037	47.96352	16.910753	30.374512	6.594769	48.119965	16.796736	-1.1369643	0.68051636	2.6081603	-8.629862	-30.634804	0.078660265	0.078660265	1003.32488322258
9	0.0	0.0	0.0	0.0	12.8	29.02344	99.0	0.0	1000.0	1000.0	35999	30.530525	6.460974	58.179173	18.458902	30.530584	6.4604473	58.206074	18.32283	-1.1254022	0.69689316	3.3156972	-7.889778	-30.789633	0.093939684	0.093939684	1140.225106716156
10	5.75	3.4186985	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	30.73767	8.302362	71.69863	18.729246	30.737757	8.302014	71.47337	18.942133	-1.0893315	0.78449833	4.3351445	-15.810136	-31.006231	0.12145983	0.12145983	1277.3759577274323
11	33.5	58.0237	134.0	0.0	7.4	11.825397	31.0	0.0	1000.0	1000.0	43999	31.44056	10.316114	80.385345	18.782713	31.4406	10.316677	80.18702	18.944136	-1.0876333	0.79536873	4.0854607	-9.55853	-31.695969	0.17608562	0.17608562	1415.3538296222687
12	1.5	2.598076	6.0	0.0	96.2	284.9522	951.0	0.0	1000.0	1000.0	47999	32.29384	12.292372	85.642555	18.421572	32.293816	12.2922325	85.526535	18.407743	-1.0468789	0.83966225	4.6982775	-9.945337	-32.545303	0.23282807	0.23282807	1552.9252800941467
13	3.0	5.196152	12.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	32.789196	13.579621	85.39335	18.2884	32.789154	13.580003	86.442894	18.57306	-1.0243324	0.8526276	4.862657	-8.034452	-33.035477	0.25311452	0.25311452	1691.1785204410553
14	108.25	187.4945	433.0	0.0	14.4	35.91991	120.0	0.0	1000.0	1000.0	55999	32.00292	12.678085	86.36147	17.915956	32.002747	12.678497	85.13014	18.164097	-1.084989	0.767176	4.6195283	-8.376807	-32.21886	0.26957604	0.26957604	1828.9152913093567
15	1.75	3.0310888	7.0	0.0	94.2	281.6014	939.0	0.0	1000.0	1000.0	59999	31.379498	12.286823	91.02154	17.57785	31.37952	12.286745	90.47018	17.563047	-1.0750844	0.7760228	3.6873372	-10.934145	-31.599043	0.28303024	0.28303024	1968.1797289848328
16	283.5	298.46985	699.0	0.0	97.9	293.7	979.0	0.0	1000.0	1000.0	63999	31.295742	12.974245	96.46971	17.545055	31.29568	12.974036	96.6325	17.372967	-1.0153717	0.8635153	4.0890694	-9.654392	-31.536028	0.33881786	0.33881786	2110.7537002563477
17	0.0	0.0	0.0	0.0	99.7	296.4429	989.0	0.0	1000.0	1000.0	67999	32.26293	15.147492	101.33617	16.469795	32.263077	15.147153	101.209946	16.511211	-0.93304884	0.96785605	5.6548495	-8.238994	-32.534115	0.39039052	0.39039052	2257.3646717071533
18	222.75	382.9304	886.0	0.0	189.4	378.9056	967.0	0.0	1000.0	1000.0	71999	33.482548	16.83355	104.41717	16.705803	33.482605	16.833488	103.79524	16.419867	-0.87187344	1.0305939	5.326048	-11.149509	-33.755413	0.44456062	0.44456062	2409.670659303665
19	8.75	15.155444	35.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	34.4857	18.05684	107.91096	15.69425	34.485813	18.056732	108.34064	15.321845	-0.8389483	1.0484532	5.7401743	-9.145437	-34.758026	0.48346466	0.48346466	2563.189344406128
20	122.5	196.34344	462.0	0.0	0.5	1.024695	3.0	0.0	1000.0	1000.0	79999	35.532394	19.412998	111.72727	15.103047	35.532326	19.413391	112.57508	14.940941	-0.80568033	1.086236	6.128186	-12.255687	-35.812454	0.5065976	0.5065976	2718.1081371307373
21	292.25	185.82434	512.0	45.0	96.2	285.27383	952.0	0.0	1000.0	1000.0	83999	38.102596	21.837948	112.55807	15.212135	38.102474	21.837334	113.49727	14.841568	-0.7491257	1.129084	7.451744	-11.697631	-38.399548	0.5752706	0.5752706	2872.905654668808
22	113.0	172.85687	412.0	0.0	190.1	379.22092	957.0	0.0	1000.0	1000.0	87999	39.27593	22.723545	111.56823	14.286045	39.27596	22.723295	111.01869	14.63032	-0.73231155	1.1248392	6.2438426	-10.485155	-39.57219	0.62075704	0.62075704	3029.4636318683624
23	290.5	371.30615	911.0	0.0	95.5	284.17432	948.0	0.0	1000.0	1000.0	91999	40.126717	23.331907	110.077835	14.93231	40.126667	23.331436	110.37812	14.856639	-0.7214401	1.1303203	6.346621	-8.643099	-40.421585	0.60696816	0.60696816	3186.180733680725
