Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	0.0	0.0	0.0	0.0	11.8	35.4	118.0	0.0	1000.0	1000.0	3999	2.4598696	1.2006856	5.0171814	-0.27854383	2.4595697	1.2006555	5.031084	-0.27860317	-1.3642412	0.18769856	1.3415599	-5.446847	-2.7192419	0.008390019	0.49630326	0.50469327	165.02826476097107
2	20.75	20.753012	42.0	0.0	6.9	12.541532	38.0	0.0	1000.0	1000.0	7999	7.009195	1.4774235	12.611938	4.1846843	7.0073833	1.4736899	12.388882	4.174664	-1.3508399	0.25157583	1.1599345	-6.2223587	-7.261897	0.021121256	0.6920959	0.7132171	381.20095109939575
3	2.25	3.8971143	9.0	0.0	1.0	3.0	10.0	0.0	1000.0	1000.0	11999	12.206691	2.6792512	34.49079	8.780551	12.206364	2.6794567	35.04691	8.74979	-1.2847214	0.4498376	3.3944592	-7.5394125	-12.459281	0.044754915	1.0470327	1.0917876	599.8128042221069
4	5.25	9.0932665	21.0	0.0	2.8	6.20967	20.0	0.0	1000.0	1000.0	15999	18.150118	5.411777	44.471638	12.813776	18.151669	5.4134345	44.78005	12.806919	-1.0526787	0.83497065	3.7913759	-8.828953	-18.474277	0.08346449	1.4073906	1.4908552	821.0573592185974
5	8.5	14.150971	33.0	0.0	11.7	29.257648	98.0	0.0	1000.0	1000.0	19999	26.290874	8.648491	54.52103	16.22281	26.289513	8.647069	54.52301	16.22609	-0.90675193	0.9589758	3.1779041	-9.730411	-26.640497	0.10900727	1.7019047	1.810912	1042.7263185977936
6	0.0	0.0	0.0	0.0	11.7	35.1	117.0	0.0	1000.0	1000.0	23999	32.213543	8.236729	61.94787	19.391178	32.21219	8.236342	61.666718	19.296995	-0.9360175	0.93171537	2.7992992	-11.241726	-32.53697	0.09630127	1.655656	1.7519573	1264.3851885795593
7	57.75	93.13264	219.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	36.180996	6.873705	77.92904	22.010582	36.18033	6.872548	77.711235	22.01976	-1.0047827	0.8609572	2.6635256	-8.984581	-36.471767	0.09190563	1.6093694	1.7012749	1485.5435211658478
8	0.75	1.299038	3.0	0.0	4.5	10.984079	37.0	0.0	1000.0	1000.0	31999	39.643593	11.686866	228.99092	24.278454	39.6413	11.685683	230.51562	24.245504	-1.0603207	0.80036664	2.6791072	-9.585566	-39.902924	0.120166406	1.781327	1.9014934	1708.4020607471466
9	4.5	7.7942286	18.0	0.0	14.8	36.127	122.0	0.0	1000.0	1000.0	35999	49.524994	32.418205	271.2424	27.249327	49.52247	32.411976	270.49557	27.024557	-1.0050398	0.84757996	3.6287627	-8.418886	-49.735615	0.2184431	2.2183409	2.436784	1929.8940544128418
10	2.5	4.3301272	10.0	0.0	15.5	38.202747	129.0	0.0	1000.0	1000.0	39999	56.139275	37.690598	246.35095	28.645891	56.13104	37.679543	247.36165	28.51294	-1.0048068	0.8391309	2.5029154	-9.6193285	-56.32123	0.2571712	2.3725212	2.6296923	2150.5050415992737
11	0.0	0.0	0.0	0.0	10.8	32.399998	108.0	0.0	1000.0	1000.0	43999	59.371895	36.137554	223.61652	30.258072	59.362595	36.125736	223.11465	30.032074	-1.0115728	0.81795484	2.040989	-7.0916805	-59.537323	0.2511685	2.4064302	2.6575987	2372.56450009346
12	35.75	39.423183	95.0	0.0	62.8	183.45453	613.0	0.0	1000.0	1000.0	47999	59.78096	31.955208	195.64409	31.202127	59.7786	31.948221	195.46019	31.320866	-1.0254339	0.8033506	1.5464149	-7.5939097	-59.955944	0.22806858	2.3413522	2.5694208	2594.5072066783905
13	0.5	0.8660254	2.0	0.0	16.3	35.95289	123.0	0.0	1000.0	1000.0	51999	58.80871	27.014313	172.35744	32.281116	58.8067	27.010689	171.99498	32.005302	-1.059489	0.7677953	1.7100134	-9.463434	-58.97212	0.22424334	2.3948853	2.6191285	2816.347492456436
14	38.0	50.48267	123.0	0.0	21.2	27.956396	95.0	0.0	1000.0	1000.0	55999	57.108906	22.570265	153.99844	32.873837	57.1019	22.5635	153.63217	33.05111	-1.106064	0.71921855	3.089801	-7.7055616	-57.26343	0.22376217	2.4018307	2.6255927	3038.9942638874054
15	0.0	0.0	0.0	0.0	28.7	33.286785	96.0	0.0	1000.0	1000.0	59999	55.384064	18.668701	137.61891	33.634403	55.374645	18.657776	137.73775	33.156136	-1.1174084	0.72629046	3.8220153	-9.323141	-55.54043	0.25001863	2.5229325	2.7729511	3263.052078485489
16	9.75	8.84237	20.0	0.0	12.5	27.288277	92.0	0.0	1000.0	1000.0	63999	54.207714	15.7205925	124.34241	33.580845	54.200947	15.713381	123.80433	33.366764	-1.0990008	0.77452075	3.8621173	-8.05223	-54.38143	0.27561638	2.6248043	2.9004204	3489.017865419388
17	0.0	0.0	0.0	0.0	92.1	276.30002	921.0	0.0	1000.0	1000.0	67999	53.09413	13.610762	111.893906	33.150085	53.08374	13.60699	111.84592	33.129387	-1.1085764	0.76566666	5.366647	-8.38499	-53.259712	0.32242793	2.7809434	3.1033714	3721.336044073105
18	302.0	260.92432	679.0	0.0	95.2	282.60565	943.0	0.0	1000.0	1000.0	71999	52.70591	12.493005	103.8219	33.084045	52.695156	12.488717	102.053444	33.50154	-1.0099242	0.90259886	4.991877	-8.414844	-52.907066	0.41267645	3.1229112	3.5355873	3961.839643716812
19	220.25	208.72514	477.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	54.12057	13.460741	102.71027	32.505787	54.112213	13.460368	102.946556	32.48337	-0.8771822	1.0366381	5.2311153	-9.249016	-54.36818	0.4895882	3.4213717	3.9109597	4207.248340129852
20	116.75	202.21693	467.0	0.0	289.9	439.49435	1000.0	0.0	1000.0	1000.0	79999	56.337624	16.304792	111.23124	30.924458	56.327366	16.302618	111.08998	32.252575	-0.8080945	1.0789725	6.7937098	-9.702372	-56.606937	0.54768836	3.6716273	4.2193155	4453.289461135864
21	184.75	319.9964	739.0	0.0	95.9	284.3735	949.0	0.0	1000.0	1000.0	83999	59.61268	19.025448	116.792015	30.794088	59.60347	19.024714	116.21714	31.12179	-0.79295224	1.081927	6.3035417	-8.111063	-59.87188	0.5632014	3.7771523	4.340354	4700.335622310638
22	0.0	0.0	0.0	0.0	182.7	364.12744	939.0	0.0	1000.0	1000.0	87999	60.28453	19.642254	118.47647	31.545353	60.279484	19.64514	117.474915	30.70783	-0.85093826	1.0171778	5.1260357	-8.516002	-60.510147	0.5363158	3.7104032	4.2467194	4947.990497589111
23	64.75	75.800316	194.0	0.0	2.6	5.2763624	15.0	0.0	1000.0	1000.0	91999	59.782333	19.995325	119.86791	32.01331	59.76833	19.999973	119.43873	32.328815	-0.90848476	0.96989113	4.9679265	-10.219603	-59.98032	0.5373949	3.7252066	4.2626014	5196.277802705765
24	419.0	326.34106	906.0	0.0	277.7	422.12915	988.0	0.0	1000.0	1000.0	95999	60.080494	20.714434	122.92892	31.931427	60.06502	20.717634	121.437515	32.264816	-0.8887501	0.9867333	4.860406	-8.588991	-60.27782	0.56897676	3.852562	4.421539	5443.559091091156
25	150.5	181.36496	457.0	0.0	96.5	278.53302	932.0	0.0	1000.0	1000.0	99999	60.78569	21.55465	127.08543	32.54367	60.766907	21.553541	125.24821	32.483917	-0.82521194	1.0431807	6.294677	-8.603628	-60.993336	0.6517704	4.136629	4.788399	5691.22417807579
26	51.5	53.863255	142.0	0.0	375.8	460.59738	966.0	0.0	1000.0	1000.0	103999	62.499485	22.854362	130.01443	32.72468	62.489513	22.852173	129.74593	32.794724	-0.70630515	1.1634778	6.176238	-9.479013	-62.74725	0.7803304	4.5376105	5.3179407	5939.824094057083
27	545.0	314.1807	893.0	40.0	673.3	436.65778	979.0	0.0	1000.0	1000.0	107999	64.47352	23.922993	137.09349	32.717438	64.46059	23.92138	137.31418	32.67927	-0.6407402	1.1848472	5.826929	-9.029382	-64.72822	0.87805265	4.833611	5.7116637	6188.866587877274
28	33.75	26.36641	60.0	0.0	482.9	480.95892	977.0	0.0	1000.0	1000.0	111999	66.80283	25.448248	143.12225	32.802372	66.78927	25.44532	142.45412	32.787846	-0.5500617	1.2300812	4.953695	-9.968059	-67.084045	0.94123256	5.036867	5.9780993	6438.2998604774475
29	283.0	322.55386	834.0	20.0	464.2	460.40085	970.0	0.0	1000.0	1000.0	115999	69.063866	26.60821	146.62628	32.843098	69.05412	26.608578	146.37674	30.969408	-0.5361798	1.226534	5.45471	-9.972847	-69.34909	0.98411757	5.153761	6.137879	6688.00496506691
30	625.0	387.50418	985.0	0.0	640.4	419.81073	979.0	0.0	1000.0	1000.0	119999	71.55427	27.647734	149.67055	32.03406	71.541306	27.6491	149.82666	30.3351	-0.47977856	1.2648466	5.344157	-9.419519	-71.85668	1.0316067	5.3160195	6.347626	6937.579953670502
31	716.25	376.06274	970.0	67.0	584.2	475.3007	996.0	0.0	1000.0	1000.0	123999	75.46089	29.530993	151.3686	32.01604	75.45035	29.534437	151.79366	30.575895	-0.39729953	1.3087865	5.524304	-9.920773	-75.790016	1.0869498	5.4709077	6.557858	7187.757692813873
32	488.25	453.52362	957.0	19.0	470.4	465.8803	988.0	0.0	1000.0	1000.0	127999	79.64716	31.62797	152.10905	32.65746	79.63886	31.632187	151.73416	31.902264	-0.3965049	1.3122778	6.043392	-9.648771	-79.969986	1.1293726	5.5906353	6.720008	7437.140988349915
33	351.25	329.17044	833.0	39.0	484.2	482.47092	981.0	0.0	1000.0	1000.0	131999	82.37165	32.521873	152.24353	33.269592	82.36604	32.524494	152.0045	32.677185	-0.42038983	1.3002517	5.192813	-9.20726	-82.67495	1.1347278	5.6020937	6.7368217	7686.193196296692
34	782.5	224.26045	977.0	419.0	660.8	433.14612	988.0	0.0	1000.0	1000.0	135999	84.83561	33.749058	153.3732	33.558514	84.82961	33.753395	154.43353	32.448	-0.4269654	1.2895191	5.78195	-9.571862	-85.12941	1.1761574	5.710757	6.886914	7937.250050783157
