Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	138.59966	6.8391232	145.56538	130.2235	141.46245	73.16197	339.61084	55.49094	1000.0	1000.0	3999	6.7123947	3.4827127	21.018408	-0.5562945	6.7119756	3.4831867	20.967152	-0.91763175	-4.0572786	0.42223397	8.239251	-9.09937	-7.48675	0.064305805	0.064305805	111.97185015678406
2	136.21103	6.3570986	144.33804	126.58536	99.25041	66.34206	260.04694	28.825996	1000.0	1000.0	7999	19.687052	4.0336637	37.291573	7.411802	19.687132	4.0333886	37.239323	7.4479194	-3.9948819	0.56919754	1.3679914	-9.8023	-20.443243	0.13372956	0.13372956	257.75641894340515
3	119.93718	40.427814	166.47345	57.717606	238.61592	87.4449	349.2757	132.09142	1000.0	1000.0	11999	30.955404	4.433691	51.55471	8.027465	30.955242	4.4342394	51.619663	8.340548	-3.767603	1.0095632	5.4157953	-11.771192	-31.721172	0.26751924	0.26751924	405.71168327331543
4	160.73557	18.315899	190.3807	142.72687	234.86922	66.39894	352.69983	140.23067	1000.0	1000.0	15999	41.09369	3.589315	56.281334	23.470457	41.093464	3.5903046	56.865383	23.027151	-3.8579085	0.820299	5.3422403	-12.407396	-41.825954	0.26512334	0.26512334	553.0553419589996
5	161.3687	5.556848	169.00284	153.32367	148.00998	58.464336	255.72058	73.20571	1000.0	1000.0	19999	49.456356	2.8104756	63.081196	33.246185	49.456215	2.812172	63.114025	33.89093	-3.9414604	0.64827204	5.580564	-10.951841	-50.164234	0.25974494	0.25974494	702.2565538883209
6	162.05598	2.4855447	165.10149	158.62392	187.71373	72.749725	346.85617	116.49167	1000.0	1000.0	23999	56.102016	2.5783362	70.123	42.003162	56.101955	2.579206	69.737366	42.10128	-3.9483693	0.63526833	3.607751	-10.098202	-56.80044	0.2648548	0.2648548	852.3185098171234
7	203.55435	48.723213	286.75302	167.58856	190.04005	74.173676	349.89	129.83766	1000.0	1000.0	27999	61.56886	2.6882052	77.025856	47.12209	61.568726	2.6889598	76.525246	46.905537	-3.9455206	0.6426059	3.352171	-9.702486	-62.264614	0.27857488	0.27857488	1002.5739755630493
8	159.52002	11.326746	175.73001	147.32584	190.50955	57.519176	280.29166	132.85806	1000.0	1000.0	31999	66.27906	2.8053663	81.54211	52.153217	66.27907	2.806146	81.00301	53.387657	-3.9499316	0.6325422	1.9585352	-10.172171	-66.97573	0.2802505	0.2802505	1151.76393532753
9	189.2715	34.154163	246.63417	162.09529	225.13863	123.98349	481.3059	132.7293	1000.0	1000.0	35999	70.27865	2.735312	85.894135	55.83551	70.27862	2.7356164	85.80693	56.83162	-3.948849	0.64568233	3.887846	-9.71083	-70.97655	0.29267395	0.29267395	1302.0946679115295
10	192.86694	54.73288	287.2306	154.9737	235.67317	118.856674	491.07977	131.45456	1000.0	1000.0	39999	73.64273	2.6777318	88.842636	61.010826	73.642654	2.679069	87.84658	61.176723	-3.9198759	0.7153372	6.574971	-11.866104	-74.3445	0.32051393	0.32051393	1452.501974105835
11	269.7302	104.348206	403.17545	166.99873	230.02629	103.75736	377.2749	132.5706	1000.0	1000.0	43999	76.63297	2.516823	91.31668	63.525196	76.63293	2.517893	91.00127	63.870453	-3.8908505	0.7666298	6.405765	-10.181444	-77.33497	0.34133807	0.34133807	1602.773289680481
12	274.3923	109.46388	390.8284	164.55911	224.63525	96.75382	395.34647	131.83542	1000.0	1000.0	47999	79.22869	2.6251981	93.44172	67.10266	79.22869	2.625408	92.87434	66.97725	-3.8863902	0.778425	8.285203	-10.744047	-79.91961	0.35159642	0.35159642	1752.3999218940735
13	206.84933	50.983932	285.5157	156.32835	242.3936	101.15353	380.03613	130.61453	1000.0	1000.0	51999	81.34738	2.9146407	96.45953	68.755035	81.34744	2.9142551	95.83668	68.976524	-3.8845825	0.77695185	9.120226	-10.982218	-82.0434	0.3481194	0.3481194	1902.398597240448
14	171.42326	2.0453181	173.91174	168.26031	232.09799	113.588554	382.69406	133.06819	1000.0	1000.0	55999	83.03847	3.1554205	98.078835	70.80054	83.038506	3.1553771	97.80486	70.15321	-3.8846502	0.78861135	7.243001	-9.529483	-83.73372	0.34270447	0.34270447	2052.607358932495
15	190.62894	14.7131195	215.23636	176.335	282.28036	91.36257	403.83954	134.34087	1000.0	1000.0	59999	84.43659	3.3145	101.31481	72.61244	84.43656	3.313809	99.8718	72.86473	-3.8968105	0.7646391	6.409242	-11.2712	-85.13075	0.34564862	0.34564862	2202.514966249466
16	370.0528	117.24897	447.37302	167.56781	344.78558	78.899635	390.90356	133.57881	1000.0	1000.0	63999	85.78729	3.7078588	102.92939	74.31367	85.7873	3.707987	102.02249	73.94896	-3.8734736	0.8134236	7.333618	-11.097308	-86.48443	0.3434065	0.3434065	2353.404931306839
17	249.0263	116.931465	451.43677	174.97269	275.67767	114.38992	495.83966	132.52866	1000.0	1000.0	67999	87.21131	4.3326335	102.9999	75.22102	87.21131	4.332092	102.89719	75.139915	-3.8706524	0.80419177	6.8182206	-10.838902	-87.90544	0.35141253	0.35141253	2503.721822977066
18	386.47345	107.93346	477.17065	209.65085	287.45996	70.31995	384.8383	144.07529	1000.0	1000.0	71999	88.39571	4.9020934	104.709625	75.67892	88.39578	4.9019046	104.46143	75.28352	-3.8630087	0.8138538	7.9207373	-11.9735985	-89.0891	0.35383973	0.35383973	2657.3421335220337
19	281.99493	109.6726	468.54758	192.41745	366.30737	146.38773	498.38077	132.88187	1000.0	1000.0	75999	89.5543	5.5599475	106.50633	75.60161	89.55425	5.559645	108.19439	72.692604	-3.837552	0.844909	7.748543	-11.984762	-90.24664	0.3808846	0.3808846	2817.8642041683197
20	431.70673	97.56649	501.55795	263.63974	363.31018	95.331436	500.5372	181.8541	1000.0	1000.0	79999	90.56483	6.1305294	109.160194	77.19091	90.56485	6.1301255	110.95645	77.02409	-3.811208	0.87461	6.7163806	-10.83984	-91.26245	0.38656312	0.38656312	2980.385285615921
21	425.8689	97.55272	490.1832	257.2991	321.44077	131.60887	500.86334	136.45113	1000.0	1000.0	83999	91.90256	7.0120053	110.42952	77.8656	91.9026	7.0121074	110.113075	78.59745	-3.7738225	0.9224686	7.1618323	-12.615694	-92.59643	0.40658906	0.40658906	3142.205743789673
22	319.75848	101.52304	495.55667	258.98102	317.6593	117.26769	493.24628	163.53326	1000.0	1000.0	87999	92.82462	7.4897943	112.358734	79.00838	92.82463	7.4893837	111.74912	79.50325	-3.7319188	0.9696105	7.0330048	-10.702007	-93.51944	0.42333898	0.42333898	3306.247119665146
23	323.71045	105.31757	506.10678	261.29257	423.66586	105.50028	496.71823	256.61176	1000.0	1000.0	91999	93.76582	7.9163394	113.07256	78.38604	93.76586	7.915947	114.724236	79.03789	-3.7045403	0.98540163	8.382807	-11.95601	-94.46519	0.41424567	0.41424567	3469.5596981048584
24	439.9145	104.9617	508.69897	258.33328	333.56027	103.20816	508.0095	259.23877	1000.0	1000.0	95999	94.74389	8.300734	113.805984	79.10507	94.74397	8.300399	114.87406	79.33264	-3.6641524	1.0243781	7.354394	-11.928395	-95.44726	0.4320818	0.4320818	3632.9404006004333
25	383.5274	118.64022	505.4373	262.59125	378.944	116.218025	502.07556	259.74716	1000.0	1000.0	99999	95.87463	8.71375	115.12921	79.99254	95.8746	8.713295	115.067986	79.38957	-3.6354756	1.0408564	13.413029	-11.130373	-96.58161	0.43460998	0.43460998	3796.57696890831
26	377.59897	116.236244	494.79755	260.30502	356.4643	112.81795	504.435	259.61346	1000.0	1000.0	103999	96.75629	8.883498	116.159615	80.43044	96.75641	8.8829975	116.25325	79.5293	-3.613403	1.065764	7.4045334	-12.027413	-97.46712	0.4140515	0.4140515	3960.343356370926
27	388.7381	117.94827	510.65894	264.94168	430.0542	106.79722	503.82138	262.45236	1000.0	1000.0	107999	97.71482	9.09743	116.83556	67.1687	97.71481	9.096959	116.65635	78.884445	-3.615728	1.0532386	7.2868576	-12.16193	-98.421234	0.40749356	0.40749356	4124.564114570618
