Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	138.59966	6.8391232	145.56538	130.2235	129.33096	23.748194	145.86057	59.478275	1000.0	1000.0	3999	8.047841	4.042212	23.876299	0.055775143	8.048497	4.0437593	24.213032	-0.3369421	-4.0472827	0.45762873	13.337943	-10.023822	-8.802096	0.14016286	2.0069456	2.1471088	128.93065452575684
2	136.21103	6.3570986	144.33804	126.58536	122.27995	97.63824	284.37613	55.993668	1000.0	1000.0	7999	23.88963	5.164657	45.057667	9.705887	23.8851	5.164496	45.130608	9.695089	-3.824314	0.851679	2.790164	-11.718309	-24.646446	0.29895428	2.9544976	3.2534516	296.30735206604004
3	151.3058	25.456553	175.23279	114.03564	161.53987	72.62606	247.90253	58.29188	1000.0	1000.0	11999	39.574306	5.6636376	66.60846	9.876045	39.57297	5.661428	66.97186	9.933601	-3.4644186	1.5693189	9.580292	-12.534378	-40.393536	0.61429554	4.0473557	4.661651	463.97117137908936
4	188.13397	63.333862	245.61984	80.96932	164.98117	44.371204	235.75941	116.09534	1000.0	1000.0	15999	54.842934	6.0034065	83.866714	41.187515	54.84097	6.0013294	83.79717	40.94682	-3.658848	1.2209812	9.367773	-11.247834	-55.541508	0.8982395	4.8334966	5.731736	634.1105072498322
5	219.93048	58.78814	277.379	121.720116	169.1891	107.65795	341.63663	78.65174	1000.0	1000.0	19999	66.977295	6.2045684	91.83658	52.479607	66.97222	6.206282	92.19537	54.042576	-3.6809819	1.028698	5.8705645	-11.53973	-67.624695	0.924378	5.070975	5.9953527	804.7562298774719
6	268.6112	108.8684	389.84613	132.05464	318.4706	40.737473	371.11826	248.07628	1000.0	1000.0	23999	76.91149	5.484771	100.66409	62.27774	76.90893	5.4823937	101.158966	62.368034	-3.63121	1.0781738	7.291588	-11.785202	-77.54303	0.98646253	5.3237195	6.310182	974.6113088130951
7	242.94577	52.94553	318.5813	185.38855	372.21133	13.705213	388.83765	345.80307	1000.0	1000.0	27999	85.5021	4.563755	109.4311	70.49552	85.50152	4.5651946	110.12899	71.23932	-3.5520658	1.1570777	6.6555843	-10.877886	-86.12756	1.1178346	5.6771	6.7949347	1144.2153000831604
8	399.63376	36.166035	453.12234	354.40106	457.01367	175.54512	975.9076	357.74445	1000.0	1000.0	31999	93.38028	4.6651945	117.35542	78.47583	93.37738	4.6659164	116.439255	79.07035	-3.3752663	1.3313093	9.342463	-14.099154	-94.01963	1.2942531	6.099837	7.3940897	1313.1715366840363
9	453.44888	18.62761	478.9452	426.31015	461.15485	34.53012	531.0885	383.67487	1000.0	1000.0	35999	101.04653	5.03346	125.24442	87.092575	101.04603	5.0337667	124.54535	86.79449	-3.1957488	1.4496089	7.2355566	-12.207725	-101.700294	1.4570813	6.5105433	7.967625	1482.0020973682404
10	435.45868	25.903805	471.12885	403.70367	413.14557	24.858404	455.53253	374.91562	1000.0	1000.0	39999	107.78907	5.002893	130.85796	91.78815	107.78824	5.0060387	131.15749	91.86638	-3.2448406	1.4221668	8.27537	-12.121494	-108.44044	1.3779956	6.347565	7.7255607	1652.4456083774567
