Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	32.797516	2.3695037	35.670982	30.160088	19.78397	4.9280305	22.977953	9.5697	1000.0	1000.0	3999	6.978519	3.5789058	15.5716715	-0.5562945	6.9797206	3.5798273	16.326288	-0.91763175	-4.0710206	0.39237833	8.239251	-9.143356	-7.741724	0.104279295	1.7321974	1.8364767	134.89620399475098
2	29.713457	1.1716001	31.072886	27.956268	20.100628	12.45904	44.92015	9.556934	1000.0	1000.0	7999	20.816563	4.350571	33.754017	8.908474	20.817099	4.3498163	34.26114	9.004868	-4.0385456	0.47595415	0.21135521	-10.136869	-21.550747	0.19500072	2.3949327	2.5899334	309.6338150501251
3	27.507812	8.116215	32.564106	13.45702	32.640636	17.874374	71.51532	9.99987	1000.0	1000.0	11999	33.627308	4.5294986	46.81773	10.027395	33.628986	4.531939	47.14322	10.039768	-3.8519042	0.898827	4.1469436	-11.428353	-34.361805	0.36857757	3.1728485	3.541426	486.8980166912079
4	50.661766	13.160069	63.570244	33.797234	23.615923	4.6813226	36.86648	18.314312	1000.0	1000.0	15999	45.35864	3.443749	57.03697	28.003756	45.359154	3.4438567	57.42636	27.728498	-3.9817	0.5995447	3.403665	-10.481927	-46.0453	0.43456885	3.487478	3.9220471	663.4027383327484
5	41.034393	7.22264	48.67358	31.24444	29.003342	10.623895	55.22525	21.536882	1000.0	1000.0	19999	55.003666	2.716483	65.1662	42.395355	55.00718	2.7210875	65.811844	42.078506	-3.9993205	0.56163484	4.201857	-9.883419	-55.664547	0.47076154	3.6735063	4.1442676	840.9333798885345
6	61.61595	17.105894	79.310165	35.9911	73.66137	57.892036	149.49739	22.764269	1000.0	1000.0	23999	63.10073	2.2906718	72.70447	50.231537	63.100246	2.2912998	72.89719	50.392662	-3.9912782	0.5760215	2.6688085	-9.693927	-63.749336	0.50777745	3.814732	4.32251	1018.1810448169708
7	80.72267	40.204445	137.15149	33.08632	38.00897	19.557575	68.8015	22.547497	1000.0	1000.0	27999	69.912704	2.0808342	81.22844	58.081528	69.91377	2.0795343	81.13303	58.137238	-3.9699118	0.6220375	3.6994753	-9.21744	-70.55863	0.52947056	3.891235	4.420706	1195.9222843647003
8	69.501205	17.226864	81.7869	39.926647	101.06628	77.879944	185.94505	22.749432	1000.0	1000.0	31999	75.763695	2.1989267	87.841225	63.23542	75.76282	2.1977165	87.547386	64.211006	-3.9440343	0.67112374	2.6896553	-10.935435	-76.40303	0.57799876	4.0516686	4.6296673	1373.5200519561768
9	42.42092	6.515964	48.909695	34.20835	29.133392	7.9697986	42.86479	22.406775	1000.0	1000.0	35999	80.547424	2.396863	92.99613	71.23549	80.54545	2.3964486	92.81566	71.41687	-3.9211185	0.7200966	3.4471984	-11.425264	-81.18696	0.5738099	4.043805	4.617615	1549.9201591014862
10	42.70642	11.548308	62.470257	34.34861	74.39848	60.22689	205.3881	22.707163	1000.0	1000.0	39999	84.3952	2.6911707	97.5221	75.33638	84.39347	2.6907427	97.146164	76.2158	-3.9241388	0.7191282	4.9164286	-10.234062	-85.03602	0.571879	4.024671	4.59655	1728.6370542049408
11	121.5453	48.96455	158.60536	37.35577	42.275185	23.245724	83.14204	22.592781	1000.0	1000.0	43999	87.72645	3.1818638	101.75054	78.64209	87.72258	3.1810393	102.28624	79.11926	-3.9204679	0.7187247	3.3316011	-9.844963	-88.3561	0.6034806	4.1096845	4.713165	1906.6420390605927
