Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	32.797516	2.3695037	35.670982	30.160088	21.362904	2.7994049	23.588396	13.753502	1000.0	1000.0	3999	6.0838914	3.0941765	13.38513	-1.8711457	6.083266	3.0951328	13.276957	-1.6631137	-4.0867248	0.35185865	8.945791	-9.310252	-6.8636613	0.052015092	0.052015092	143.68479084968567
2	29.713457	1.1716001	31.072886	27.956268	15.032901	6.3394294	23.267895	9.536149	1000.0	1000.0	7999	17.6199	3.5367272	27.656452	7.0771213	17.62	3.5364003	27.791195	7.572833	-4.068959	0.39638177	-0.40066814	-9.909945	-18.377316	0.098187745	0.098187745	330.98865365982056
3	31.859406	0.780211	32.564106	30.591904	25.684399	14.27322	42.750755	9.836794	1000.0	1000.0	11999	27.57386	4.284728	37.192196	6.9230537	27.573984	4.2841377	37.230076	6.6868896	-3.9285688	0.7498198	4.6150646	-11.808999	-28.337706	0.16987555	0.16987555	521.1685600280762
4	32.536995	6.7437816	40.797832	22.016306	23.359873	1.4027787	26.603655	21.600428	1000.0	1000.0	15999	36.426136	2.968974	44.556023	20.0698	36.42617	2.9685562	44.791054	20.185873	-4.0067387	0.55114365	1.9274883	-9.565873	-37.14802	0.19671328	0.19671328	713.9830884933472
5	34.952923	3.5776558	38.877163	30.813702	20.723766	6.686199	32.765343	10.062736	1000.0	1000.0	19999	43.22493	3.0995815	50.689587	29.652025	43.225025	3.098861	50.8597	28.937748	-4.0156307	0.5084365	1.3575516	-10.165423	-43.939114	0.1975477	0.1975477	906.9108362197876
6	35.97016	5.3440228	45.16528	32.395554	23.605442	1.997937	27.565641	22.19658	1000.0	1000.0	23999	48.99186	2.7907968	56.450645	36.38298	48.991886	2.7898052	56.02177	36.679813	-4.0260015	0.48731253	0.3417139	-11.587123	-49.69836	0.19392048	0.19392048	1099.1306369304657
7	36.829296	3.524374	41.733913	32.26514	19.477663	4.770091	24.175411	11.017144	1000.0	1000.0	27999	53.85397	2.4809136	60.939205	42.624268	53.854164	2.4792829	61.044243	42.862247	-4.024821	0.49110857	0.3248434	-9.888712	-54.564377	0.18830936	0.18830936	1290.8505713939667
8	38.184345	5.343335	47.292423	33.934807	21.97718	5.098221	32.909	12.35133	1000.0	1000.0	31999	57.880795	2.2753313	63.57296	47.372185	57.880863	2.2745442	63.210518	47.572376	-4.030777	0.46858266	-0.09750271	-9.927777	-58.59133	0.1754639	0.1754639	1483.6148030757904
9	33.577343	4.4220657	41.030067	29.44403	21.946358	1.7199774	24.409645	17.578556	1000.0	1000.0	35999	61.47119	1.9653459	66.71329	51.326977	61.47117	1.964942	66.33923	51.48158	-4.0367727	0.45678273	0.7319174	-10.0633955	-62.18326	0.16631278	0.16631278	1675.1766426563263
10	36.32008	4.9097605	44.601727	32.243042	21.713688	1.9279572	23.070696	16.479582	1000.0	1000.0	39999	64.53525	1.6652129	69.79767	54.116554	64.53529	1.6648778	69.855125	55.08965	-4.0442753	0.44250688	-0.09498787	-9.322906	-65.247604	0.15949814	0.15949814	1867.9350807666779
11	35.942364	4.8868423	44.346966	32.223705	25.96987	6.5930805	39.942005	21.833485	1000.0	1000.0	43999	66.98186	1.416599	71.43901	58.765793	66.98184	1.4158143	71.408936	58.60947	-4.048991	0.43205404	0.0507555	-12.372355	-67.69806	0.15165456	0.15165456	2060.7295668125153
12	36.58762	4.5643115	41.375164	30.070545	22.942839	1.0585693	25.882816	22.026636	1000.0	1000.0	47999	69.0427	1.2159886	73.266716	61.163853	69.042755	1.2154897	74.23224	61.164165	-4.0494804	0.42825314	-0.1225996	-11.830373	-69.761894	0.14572416	0.14572416	2253.307728767395
13	37.89505	6.365614	46.059967	30.606789	22.796497	0.2442066	23.229807	22.466791	1000.0	1000.0	51999	70.79679	1.0264926	75.989845	62.88736	70.79677	1.0259117	76.2659	62.44948	-4.049245	0.4298674	0.34125996	-10.148975	-71.51405	0.14587125	0.14587125	2447.227959871292
14	37.408745	7.3738856	48.928577	30.844786	26.586842	11.573379	61.26553	21.766802	1000.0	1000.0	55999	72.24275	0.8906515	77.14137	62.89037	72.2428	0.8905692	77.684074	64.85873	-4.0510774	0.42628562	-0.7515621	-10.225074	-72.96423	0.14244586	0.14244586	2639.8655500411987
15	34.992756	6.4349556	45.90049	29.25881	23.318897	0.8606752	24.741192	21.82472	1000.0	1000.0	59999	73.45721	0.7868168	79.74603	65.553055	73.45728	0.78453285	79.423485	65.52624	-4.054785	0.41524884	0.13382149	-9.357883	-74.18276	0.13451393	0.13451393	2832.3380155563354
16	43.991005	8.784571	54.7025	30.923216	26.03532	5.1595116	39.225014	21.77341	1000.0	1000.0	63999	74.46158	0.70170534	80.47063	67.38094	74.46152	0.7031516	80.650116	67.85752	-4.0559335	0.41527975	-0.0889492	-9.6984005	-75.183136	0.13456613	0.13456613	3026.7908079624176
17	35.976295	7.338217	48.291008	29.170908	30.533728	12.887643	56.613766	22.512733	1000.0	1000.0	67999	75.29051	0.6768071	81.20538	66.19544	75.290596	0.6736089	82.053406	66.81797	-4.0511727	0.42488304	1.6984835	-9.604472	-76.01267	0.13310343	0.13310343	3222.387272834778
18	43.729053	8.732791	53.901463	32.11085	24.768196	5.552411	41.34628	22.132463	1000.0	1000.0	71999	75.99807	0.6312032	81.350426	68.470955	75.99808	0.62889165	82.51418	67.87242	-4.052735	0.42029253	1.6521854	-8.962296	-76.72156	0.13210768	0.13210768	3423.714169025421
19	38.970833	13.225855	61.877403	31.176735	25.421907	4.091326	33.778606	22.05388	1000.0	1000.0	75999	76.57378	0.603622	82.631966	68.83202	76.57378	0.6021101	83.79933	68.806114	-4.055008	0.41547564	0.4813285	-9.437994	-77.29928	0.13015133	0.13015133	3631.4487249851227
