Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	3.0250044	1.5737348	4.62022	1.3697661	1.2461656	0.1523208	1.6617564	1.0979946	1000.0	1000.0	3999	0.061479155	0.06911959	0.4785377	-0.76994306	0.061616387	0.068701	0.48381215	-0.73194474	-0.094885044	0.00077425427	0.00077425427	54.353665351867676
2	3.7942524	1.0798535	5.415233	2.5482285	1.1985834	0.12297278	1.4178082	1.0572122	1000.0	1000.0	7999	0.2623128	0.13379203	1.1336969	-0.010644618	0.26232538	0.13375185	1.1273866	-0.0028197244	-0.31286564	0.0004900275	0.0004900275	119.94214081764221
3	4.0773387	1.9673795	7.4061537	2.4252748	2.532683	0.22044463	2.9691978	2.2703662	1000.0	1000.0	11999	0.72628164	0.205712	2.0735292	0.16484717	0.72628826	0.20572451	2.047813	0.15823968	-0.8083164	0.0010798947	0.0010798947	190.10681819915771
4	6.44424	4.9074297	14.406249	1.2726061	0.1173413	0.03089864	0.1680747	0.057661362	1000.0	1000.0	15999	1.2825538	0.39596003	3.6662624	0.34709144	1.2825558	0.39594427	3.7344873	0.33326876	-1.3804195	0.0017548382	0.0017548382	262.67434763908386
5	1.2764082	0.09942003	1.4080346	1.1370785	0.13045338	0.022535075	0.16660121	0.105446935	1000.0	1000.0	19999	1.954723	0.2641518	4.6864266	0.9566748	1.9547275	0.2641398	4.649819	0.96850216	-2.0057716	0.0013471167	0.0013471167	334.14818024635315
6	1.4182949	0.10754953	1.5415138	1.2972822	0.12809576	0.032840565	0.18062668	0.08133739	1000.0	1000.0	23999	1.882812	0.23221365	4.931626	1.1922293	1.8828217	0.23217575	4.9395747	1.188954	-1.8839799	0.00082962523	0.00082962523	409.24610805511475
7	1.2614006	0.07967149	1.3469982	1.1668792	0.123344004	0.021078587	0.15845227	0.09820737	1000.0	1000.0	27999	1.7521001	0.20712788	4.839137	1.2029889	1.7521081	0.20710762	4.752091	1.1917267	-1.7638413	0.00059045444	0.00059045444	484.9481167793274
8	1.2630408	0.12532231	1.4321654	1.1369743	0.11716318	0.028740559	0.17489786	0.07529002	1000.0	1000.0	31999	1.6686337	0.1820969	4.484571	1.225998	1.6686335	0.18209136	4.490823	1.2196255	-1.6776854	0.0004485005	0.0004485005	558.4198994636536
9	1.3104411	0.069442466	1.4247508	1.2412772	0.13074628	0.033748902	0.18974727	0.090463914	1000.0	1000.0	35999	1.5470928	0.17001753	4.4478793	1.1795856	1.5470979	0.17002171	4.465536	1.1284162	-1.5489968	0.00033456736	0.00033456736	635.6900472640991
10	1.3069618	0.082243435	1.4094396	1.1956962	0.09971948	0.020675674	0.12249385	0.05726713	1000.0	1000.0	39999	1.4200536	0.14943144	4.166579	1.1085291	1.420058	0.14941812	4.1154675	1.1153812	-1.4204854	0.00029293948	0.00029293948	713.4817276000977
11	1.2180729	0.055664357	1.2950165	1.1487577	0.12196581	0.031232782	0.17898715	0.07642095	1000.0	1000.0	43999	1.3075844	0.12197508	3.833103	1.0455375	1.3075913	0.12194644	4.059537	0.98607445	-1.3070723	0.00030754978	0.00030754978	789.7070317268372
12	1.2913202	0.21216598	1.6483606	1.1036527	0.09580822	0.022757655	0.121000975	0.054846667	1000.0	1000.0	47999	1.2106409	0.10436754	3.9084988	0.94911057	1.210645	0.10435152	4.21948	0.95992476	-1.2110924	0.0002938171	0.0002938171	869.1856818199158
13	1.2276511	0.092591204	1.3684214	1.1289527	0.10722705	0.035135116	0.17459881	0.027791036	1000.0	1000.0	51999	1.1287649	0.102923274	4.0204573	0.8706306	1.1287701	0.10291557	4.0905337	0.8853693	-1.1292046	0.00027884074	0.00027884074	949.9669969081879
14	1.2824745	0.13924018	1.4272103	1.0539175	0.11069498	0.027663726	0.14813854	0.056539435	1000.0	1000.0	55999	1.060425	0.10228009	3.9646897	0.83532524	1.0604303	0.102267735	3.780568	0.80041635	-1.0609435	0.00032069205	0.00032069205	1030.9394900798798
15	1.2365297	0.022416633	1.2695416	1.2066733	0.110051885	0.03423048	0.16063932	0.029892676	1000.0	1000.0	59999	0.99587	0.0962467	3.805929	0.75003874	0.99587494	0.0962135	3.7360983	0.7729025	-0.99627566	0.00032235112	0.00032235112	1109.7309482097626
16	1.3649545	0.05461747	1.4321401	1.280622	0.11352579	0.02984239	0.17021951	0.0627434	1000.0	1000.0	63999	0.93820906	0.097109415	3.5912764	0.6964967	0.9382151	0.097052984	3.6212528	0.6315353	-0.9393594	0.0004417755	0.0004417755	1191.7489051818848
17	1.3903924	0.08795176	1.4798493	1.24468	0.11682527	0.035727695	0.16808073	0.05428063	1000.0	1000.0	67999	0.8902514	0.10056495	3.3041782	0.52736366	0.8902571	0.10043532	3.2035947	0.5163547	-0.8895393	0.00062307477	0.00062307477	1275.8300693035126
18	1.2371298	0.069037266	1.309022	1.1422843	0.120091066	0.024781883	0.16122311	0.073507376	1000.0	1000.0	71999	0.8381499	0.087702565	3.1131892	0.5311029	0.8381539	0.08764479	3.235867	0.54504305	-0.83707356	0.00039672782	0.00039672782	1360.1030895709991
19	1.3227059	0.057012744	1.41033	1.2546254	0.106033884	0.03704818	0.18661131	0.047362145	1000.0	1000.0	75999	0.79554874	0.07524577	2.6767228	0.51090246	0.7955507	0.07523922	2.7246122	0.57089216	-0.7938382	0.0002167542	0.0002167542	1441.7432613372803
20	1.3640919	0.102054	1.4925979	1.207683	0.124100134	0.019598644	0.16728415	0.10549111	1000.0	1000.0	79999	0.756487	0.07015803	2.4609916	0.58598846	0.7564882	0.070164874	2.5335813	0.5568332	-0.7549896	0.00015547153	0.00015547153	1525.4668798446655
21	1.2614709	0.08112566	1.3775817	1.1725084	0.11773427	0.015534267	0.15823476	0.10279467	1000.0	1000.0	83999	0.72435904	0.06644505	2.687014	0.5210769	0.72435904	0.066458054	2.7193918	0.54077274	-0.72252065	0.00014417106	0.00014417106	1612.0899090766907
22	1.3396931	0.08214536	1.4650718	1.2624887	0.11032803	0.034723084	0.17839801	0.057569463	1000.0	1000.0	87999	0.69280267	0.061756995	2.6314893	0.5523807	0.692802	0.061761692	2.580588	0.48559552	-0.6908252	0.00011863804	0.00011863804	1699.8852014541626
23	1.2540195	0.13640177	1.4770672	1.1391377	0.11973715	0.024154622	0.16739716	0.08417298	1000.0	1000.0	91999	0.66377276	0.06158364	2.6431108	0.52787346	0.6637728	0.06157375	2.6690774	0.47145247	-0.6617626	0.00011816427	0.00011816427	1788.8269674777985
24	1.2782124	0.061212678	1.3676362	1.1948451	0.12802875	0.035963994	0.1845052	0.07690758	1000.0	1000.0	95999	0.6362406	0.059889257	3.014536	0.41514027	0.6362401	0.05988059	2.8800855	0.42140192	-0.6341942	0.0001064448	0.0001064448	1874.7353055477142
25	1.4470861	0.032783277	1.5025175	1.4205278	0.12325023	0.029190095	0.1722012	0.06367616	1000.0	1000.0	99999	0.6078856	0.05756291	2.9098902	0.44850886	0.6078854	0.057573102	2.82614	0.43866217	-0.6064667	9.2336166e-05	9.2336166e-05	1962.1159465312958
26	1.2885056	0.09376697	1.428752	1.1708686	0.11841124	0.030843439	0.16876124	0.062990166	1000.0	1000.0	103999	0.57823384	0.057380497	2.962054	0.45238107	0.57823354	0.057365485	2.9429874	0.4232641	-0.5764846	0.0001028672	0.0001028672	2052.5547325611115
27	1.2903322	0.056731712	1.3721538	1.2117716	0.1286423	0.020234082	0.1600007	0.08839428	1000.0	1000.0	107999	0.5540881	0.05693275	3.076873	0.38052288	0.55408794	0.056932062	3.0643258	0.396471	-0.5520742	9.703659e-05	9.703659e-05	2143.65296292305
28	1.1805583	0.072600864	1.299774	1.1069263	0.10861702	0.031757284	0.15056457	0.027272385	1000.0	1000.0	111999	0.5335013	0.05393405	2.7218885	0.30355865	0.5335018	0.05391699	2.8338542	0.39959702	-0.531511	8.6623564e-05	8.6623564e-05	2235.2633357048035
