Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.02861894	0.035874996	0.7737307	-0.71285516	0.028608251	0.035490345	0.93306947	-0.6208406	-0.04221322	0.0005549107	0.0005549107	55.103219747543335
2	0.0	0.0	0.0	0.0	1.8	3.7094474	12.0	0.0	1000.0	1000.0	7999	0.018247392	0.028839294	1.6124392	-0.18563174	0.018242816	0.02873139	1.5229435	-0.18471044	-0.015589522	0.00010533298	0.00010533298	132.16016030311584
3	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	11999	0.004621067	0.018635781	1.621104	-0.04451885	0.004620535	0.018677661	1.3333677	-0.048700258	-0.006270472	5.530234e-05	5.530234e-05	210.59580087661743
4	0.0	0.0	0.0	0.0	1.1	2.6999998	9.0	0.0	1000.0	1000.0	15999	0.01596841	0.011713231	1.4078215	-0.02347862	0.01596834	0.011146896	1.5994064	-0.14249207	-0.01659366	5.3866712e-05	5.3866712e-05	293.83970499038696
5	3.5	3.5707142	8.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	19999	0.022044914	0.0212626	1.7471368	-0.096441716	0.021880344	0.010076109	2.0608392	-0.13817902	-0.02286554	0.00101142	0.00101142	377.77479434013367
6	4.75	4.7631397	10.0	0.0	1.0	3.0	10.0	0.0	1000.0	1000.0	23999	0.032248095	0.07067679	5.3669906	-0.073759384	0.032059353	0.06531625	4.8661194	-0.25499374	-0.036447205	0.0022255979	0.0022255979	461.27578711509705
7	0.0	0.0	0.0	0.0	1.5	2.4186773	7.0	0.0	1000.0	1000.0	27999	0.08835344	0.211419	11.184966	-0.10550913	0.08866085	0.20882306	10.019321	-0.109114826	-0.10433	0.01548505	0.01548505	543.2433483600616
8	0.0	0.0	0.0	0.0	0.7	1.5524175	5.0	0.0	1000.0	1000.0	31999	0.20075856	0.4128914	11.332357	-0.6136761	0.2007284	0.41062963	12.044745	-0.55343854	-0.24110962	0.027628152	0.027628152	626.8576290607452
9	2.75	4.7631397	11.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	35999	0.25195497	0.63555926	9.856282	-0.98462284	0.2519153	0.6357933	9.809491	-0.97101164	-0.27685657	0.01818008	0.01818008	711.0842754840851
10	0.0	0.0	0.0	0.0	4.3	5.6577377	15.0	0.0	1000.0	1000.0	39999	0.22291091	0.76061994	10.838755	-1.1366758	0.2228002	0.7608205	9.85026	-1.1442561	-0.23772	0.018145142	0.018145142	792.244863986969
11	7.25	4.7631397	12.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	0.17668398	0.7818721	10.894626	-1.0614942	0.1767245	0.78194475	10.641595	-1.1747781	-0.18729517	0.017104305	0.017104305	874.0449347496033
12	5.25	5.8040934	14.0	0.0	2.4	4.431704	14.0	0.0	1000.0	1000.0	47999	0.08742914	0.65168923	9.564165	-1.1955259	0.08746567	0.6513471	9.415368	-1.1001368	-0.09653592	0.017121589	0.017121589	957.7449150085449
