Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	3.0	3.3166249	8.0	0.0	68.6	145.3005	457.0	0.0	1000.0	1000.0	3999	-0.0358189	0.06320103	1.921343	-0.36381957	-0.035916835	0.06300678	1.9745046	-0.5848708	0.023363793	0.0036596754	0.0036596754	40.360559940338135
2	78.5	71.61878	195.0	0.0	4.4	6.1188235	20.0	0.0	1000.0	1000.0	7999	0.18336232	0.7874782	10.762131	-0.27669862	0.18356824	0.7871758	10.418767	-0.293263	-0.21990524	0.0129720345	0.0129720345	92.4670922756195
3	0.0	0.0	0.0	0.0	99.6	295.8122	987.0	0.0	1000.0	1000.0	11999	2.6460412	5.7974114	29.08583	-0.54512686	2.6461904	5.7969966	28.324278	-0.51078373	-3.056873	0.051792204	0.051792204	145.72555685043335
4	131.0	209.60081	494.0	5.0	172.5	332.52737	945.0	0.0	1000.0	1000.0	15999	9.729853	10.058788	37.46074	-0.7263956	9.730584	10.056705	38.723713	-0.97444063	-10.316964	0.15614134	0.15614134	202.47650527954102
5	50.75	55.692795	142.0	0.0	2.0	3.4928498	11.0	0.0	1000.0	1000.0	19999	16.90041	10.777524	36.52275	-1.0906731	16.900862	10.774776	37.901752	-1.6191968	-17.45315	0.19755045	0.19755045	260.96573996543884
6	2.0	3.4641016	8.0	0.0	91.6	274.80002	916.0	0.0	1000.0	1000.0	23999	20.09393	8.680355	38.232704	-1.3994374	20.094252	8.67818	37.455544	-1.438993	-20.629461	0.19687147	0.19687147	319.3297472000122
7	0.0	0.0	0.0	0.0	0.7	2.1000001	7.0	0.0	1000.0	1000.0	27999	21.251635	7.5622354	40.422794	-1.1327306	21.2516	7.561303	40.781075	-1.3937405	-21.634098	0.17729935	0.17729935	377.57753467559814
8	40.25	62.977676	149.0	0.0	30.0	76.997406	259.0	0.0	1000.0	1000.0	31999	20.372593	7.362727	43.806435	-14.416222	20.37275	7.362333	44.24169	-11.154312	-20.566805	0.33254635	0.33254635	437.2366769313812
9	239.0	413.383	955.0	0.0	49.0	138.40376	464.0	0.0	1000.0	1000.0	35999	18.803274	7.0399275	51.975006	-18.08815	18.803144	7.040244	52.789722	-13.552548	-18.940105	0.2725557	0.2725557	497.7678692340851
10	3.25	2.58602	7.0	0.0	92.5	151.16432	456.0	0.0	1000.0	1000.0	39999	20.516363	13.599327	120.41642	-6.6312575	20.516544	13.602692	135.24332	-17.975893	-21.119007	0.63443565	0.63443565	561.0225164890289
