Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	0.0	0.0	0.0	0.0	3.1	9.299999	31.0	0.0	1000.0	1000.0	3999	-0.025938535	0.035623718	0.24250916	-0.5181671	-0.025950218	0.03540444	0.232732	-0.46112925	0.015020191	0.00015853178	0.00015853178	57.02533769607544
2	20.75	20.753012	42.0	0.0	0.7	1.4177446	4.0	0.0	1000.0	1000.0	7999	0.0102846	0.15405269	4.4453616	-0.2958745	0.010257701	0.15518844	4.2432714	-0.27790734	-0.011431362	0.0033987123	0.0033987123	130.3186182975769
3	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	11999	0.04244687	0.41690415	9.907519	-0.46237305	0.042356797	0.41645017	9.937486	-0.4515972	-0.04428357	0.006615068	0.006615068	209.20506811141968
4	1.25	2.1650636	5.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	15999	0.1109149	0.8526103	10.98487	-0.5252869	0.110922635	0.85239637	10.754563	-0.7825204	-0.14076212	0.008851946	0.008851946	283.9502286911011
5	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	0.36875015	1.2976575	11.735215	-0.5063988	0.36880997	1.297686	11.553253	-0.5324012	-0.41308475	0.013861711	0.013861711	361.92014265060425
6	1.0	1.7320508	4.0	0.0	11.2	33.600002	112.0	0.0	1000.0	1000.0	23999	0.5626729	1.5187845	11.470183	-0.49239096	0.56275624	1.5186454	12.019108	-0.6154172	-0.60952485	0.016325653	0.016325653	438.1139521598816
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	0.64549994	1.6784163	10.691786	-0.7899046	0.6455534	1.6783965	10.580989	-0.825825	-0.6797214	0.012000346	0.012000346	514.735954284668
8	0.0	0.0	0.0	0.0	0.8	1.2489996	3.0	0.0	1000.0	1000.0	31999	0.5643989	1.5598052	9.310703	-1.1295693	0.56440306	1.5595107	9.384956	-1.1956015	-0.5706567	0.008295395	0.008295395	584.6690051555634
9	1.0	1.7320508	4.0	0.0	9.5	26.87471	90.0	0.0	1000.0	1000.0	35999	0.3689548	1.1599193	8.052894	-1.1992269	0.3689489	1.1596072	7.755774	-1.2218261	-0.36284903	0.0056241862	0.0056241862	659.7580971717834
10	0.0	0.0	0.0	0.0	8.7	25.11593	84.0	0.0	1000.0	1000.0	39999	0.17465615	0.77617	6.931055	-1.1178522	0.17465045	0.77612567	6.7544217	-1.0815574	-0.16978279	0.0045209406	0.0045209406	739.0481083393097
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	0.07485733	0.579984	5.5114822	-0.9026535	0.07486563	0.5798817	5.3001823	-0.8964712	-0.073318176	0.0039107213	0.0039107213	818.1391816139221
12	0.0	0.0	0.0	0.0	20.2	41.801437	125.0	0.0	1000.0	1000.0	47999	0.008387425	0.44527456	5.1779647	-0.8157161	0.008383324	0.4450552	5.0780077	-0.73516077	-0.007430826	0.003170582	0.003170582	899.6529433727264
13	0.0	0.0	0.0	0.0	11.7	34.438496	115.0	0.0	1000.0	1000.0	51999	-0.034054257	0.3455015	5.3251615	-0.6954497	-0.03401949	0.34515253	5.1187353	-0.69486713	0.033494964	0.0025933643	0.0025933643	978.40052318573
14	28.5	49.36345	114.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	55999	-0.0548417	0.30299717	5.259855	-0.52046293	-0.05484311	0.30262446	5.324247	-0.54670125	0.05434155	0.003980349	0.003980349	1058.2662658691406
15	0.0	0.0	0.0	0.0	11.1	33.3	111.0	0.0	1000.0	1000.0	59999	-0.06381271	0.24588417	5.3016586	-0.5944347	-0.06382586	0.24554512	5.4154973	-0.59060454	0.06518005	0.0060178423	0.0060178423	1138.724412202835
16	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	63999	-0.06456937	0.18380192	4.677976	-0.60943353	-0.06456789	0.18361592	4.823514	-0.6350182	0.06586427	0.005129427	0.005129427	1222.0177509784698
17	0.0	0.0	0.0	0.0	1.2	1.8330302	4.0	0.0	1000.0	1000.0	67999	-0.062374357	0.14862524	4.502416	-0.62650025	-0.062382735	0.14848033	4.8689294	-0.7197794	0.06370874	0.0050567896	0.0050567896	1305.860729932785
18	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	-0.053326327	0.14780915	5.5117316	-0.6586899	-0.053324483	0.14772299	5.474968	-0.6676162	0.05460457	0.004736542	0.004736542	1396.2805798053741
19	1.5	1.6583124	4.0	0.0	12.3	36.9	123.0	0.0	1000.0	1000.0	75999	-0.03922155	0.16059923	6.5037217	-0.7319981	-0.039225828	0.16037682	6.826912	-0.7563593	0.03990975	0.0045649074	0.0045649074	1482.4899640083313
20	0.0	0.0	0.0	0.0	0.4	0.9165151	3.0	0.0	1000.0	1000.0	79999	-0.02073756	0.16412082	7.0345626	-0.700784	-0.020737058	0.16394992	6.912324	-0.7319157	0.020740455	0.0047455668	0.0047455668	1568.9445865154266
