Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	138.59966	6.8391232	145.56538	130.2235	183.0672	77.588066	339.17047	128.6539	1000.0	1000.0	3999	0.6867301	0.53287065	6.439934	-2.715891	0.6868505	0.5325448	6.341261	-1.8849236	-0.81534344	0.015138597	0.015138597	60.188644886016846
2	136.21103	6.3570986	144.33804	126.58536	189.50406	93.54534	265.47302	26.564053	1000.0	1000.0	7999	2.592672	0.96979123	14.854236	0.31138542	2.5925968	0.9697986	14.840355	0.26679304	-2.828987	0.019373009	0.019373009	142.40169429779053
3	147.05623	22.26057	174.01183	114.03564	187.20581	43.887512	284.29263	158.98651	1000.0	1000.0	11999	5.593626	2.1288714	15.439417	-0.115023434	5.5935874	2.1287317	15.541505	-0.25108397	-6.0569024	0.10100812	0.10100812	226.98550248146057
4	188.57486	44.350544	265.0441	158.67693	237.68657	45.904396	276.18997	158.76709	1000.0	1000.0	15999	8.379259	3.6755672	17.225319	0.54237986	8.3792515	3.6755495	17.31312	0.8443122	-8.68196	0.072227694	0.072227694	310.4318833351135
5	188.72348	44.421974	265.22916	158.09651	205.01553	49.341206	267.68484	161.79082	1000.0	1000.0	19999	9.221247	4.4942884	20.570972	1.2481523	9.221201	4.494222	20.590322	0.45821932	-9.378379	0.06757387	0.06757387	399.68228793144226
6	219.33575	54.19399	273.6461	165.0062	227.36462	49.418007	274.02362	159.39769	1000.0	1000.0	23999	9.426861	4.489922	23.237782	1.4050865	9.426863	4.4897437	23.924809	1.4895046	-9.540949	0.0754532	0.0754532	487.6158573627472
7	163.78168	3.779733	169.92332	160.01358	199.74283	49.84601	265.2786	155.86613	1000.0	1000.0	27999	10.489143	4.856895	23.316746	1.3492131	10.4890375	4.8568945	23.55845	0.7433315	-10.7197895	0.07974402	0.07974402	568.5034635066986
8	206.50905	53.396378	294.73013	161.20372	272.16608	70.23121	325.74014	145.39456	1000.0	1000.0	31999	11.82256	5.639135	26.415466	2.237781	11.822517	5.639115	26.094654	2.499062	-12.12807	0.084962934	0.084962934	655.0456757545471
9	186.2322	43.843067	254.51343	134.93256	182.686	25.093279	211.19815	136.27997	1000.0	1000.0	35999	13.350006	6.002805	27.64732	3.5519762	13.3499775	6.0028167	27.870981	3.6214626	-13.507734	0.086806335	0.086806335	744.1351509094238
10	168.77905	30.135635	218.11676	141.59148	154.06284	12.92392	175.13405	138.5379	1000.0	1000.0	39999	13.873266	5.739138	30.25892	3.7134771	13.873257	5.739122	30.479801	4.5825887	-13.943594	0.05887934	0.05887934	833.4924352169037
11	191.19067	46.292084	271.3057	161.81027	222.27669	69.247345	401.18866	118.818344	1000.0	1000.0	43999	13.822035	5.593776	35.194916	5.703131	13.822045	5.59374	34.028004	5.8950615	-13.919398	0.06599894	0.06599894	918.6671538352966
12	237.26123	88.32546	384.75705	167.06203	172.07483	42.894222	255.81117	134.10242	1000.0	1000.0	47999	13.921477	5.6254935	37.14335	6.0053964	13.921481	5.625582	36.62287	6.202733	-14.017338	0.084975585	0.084975585	1007.6355621814728
13	210.2503	50.223965	265.43106	154.53021	243.17639	40.570473	281.49118	163.02396	1000.0	1000.0	51999	14.486247	5.7236233	41.6589	6.38391	14.486093	5.723724	42.680965	6.2520075	-14.611122	0.100809775	0.100809775	1098.3149001598358
14	215.3775	30.95079	250.5863	165.52846	216.30527	47.652004	276.21378	160.50464	1000.0	1000.0	55999	15.196398	5.8668785	48.917976	7.189773	15.19634	5.866864	43.146843	6.8482103	-15.299975	0.087197125	0.087197125	1182.4023633003235
15	239.94798	43.14329	271.98138	165.62602	229.42703	42.29256	272.55768	161.07631	1000.0	1000.0	59999	15.860583	5.8212357	44.374084	7.4954643	15.860549	5.8212132	43.419933	7.4456167	-15.961355	0.08070133	0.08070133	1269.1985065937042
