Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	32.797516	2.3695037	35.670982	30.160088	24.731268	11.10878	55.20941	8.07413	1000.0	1000.0	3999	0.29566905	0.15113191	1.6899656	-1.7384762	0.29603797	0.15051313	1.7028085	-0.9755523	-0.33796975	0.005282423	0.005282423	61.440640449523926
2	29.713457	1.1716001	31.072886	27.956268	23.635712	13.411872	57.543648	4.4859843	1000.0	1000.0	7999	0.60998833	0.27041507	4.574952	0.04089897	0.6100073	0.2707548	4.635918	0.073283136	-0.6552256	0.0050124954	0.0050124954	142.5279357433319
3	39.51054	7.371847	48.166634	31.846375	37.343945	13.567403	47.661476	10.500476	1000.0	1000.0	11999	1.5327111	1.0234655	8.153162	-0.2629071	1.532769	1.0236397	8.127505	-0.22447915	-1.7641762	0.020670578	0.020670578	221.82133889198303
4	36.78988	6.9971094	46.500088	27.475334	24.372047	7.004401	34.455193	17.765415	1000.0	1000.0	15999	3.949939	1.3027651	8.501624	0.4815356	3.9499378	1.3029119	8.503684	0.3441036	-4.2368026	0.043465745	0.043465745	307.52014446258545
5	23.022293	5.548529	31.599884	17.958227	31.461765	10.893756	45.358624	17.764828	1000.0	1000.0	19999	4.038234	1.1984879	6.4267664	0.96404946	4.0382643	1.1984822	6.326311	0.9246668	-4.0559115	0.01181432	0.01181432	394.3649854660034
6	24.043842	8.204118	38.191147	18.071491	23.237297	5.1271753	32.626102	17.82312	1000.0	1000.0	23999	3.8759038	0.85395825	5.9558754	1.447726	3.8759015	0.85392874	5.960099	1.3913064	-3.9162304	0.005361498	0.005361498	476.06669306755066
7	33.076595	1.7412689	35.79265	31.25414	35.791138	14.801031	51.6023	17.83178	1000.0	1000.0	27999	3.7567725	0.788828	6.658868	1.7226014	3.7567797	0.7888402	6.03086	1.660623	-3.769854	0.0033915658	0.0033915658	561.5310387611389
8	37.537605	13.937764	57.434875	18.304298	33.81504	13.857555	48.76018	10.419707	1000.0	1000.0	31999	3.4632497	0.7237806	6.1467104	1.8328707	3.4632416	0.7237666	6.2192554	1.8024958	-3.4913116	0.0027171515	0.0027171515	650.9631986618042
9	28.565214	19.577927	50.864716	4.969429	26.210272	20.62134	49.93909	4.361277	1000.0	1000.0	35999	3.7145722	0.5882743	6.4448795	1.9674636	3.714584	0.5882769	6.7050333	1.8768365	-3.8054175	0.0037779463	0.0037779463	740.7279658317566
10	43.571274	8.85883	52.3903	28.79357	40.676407	11.452818	62.198895	27.674385	1000.0	1000.0	39999	4.0411506	0.6418955	6.368784	1.9857891	4.041141	0.64192206	6.355205	1.9545875	-4.097622	0.0037587883	0.0037587883	827.2160038948059
11	38.732773	11.386975	53.41236	27.356024	41.93257	6.5596333	56.93123	33.33588	1000.0	1000.0	43999	4.18098	0.67944545	7.5484524	2.1846552	4.1809793	0.67948216	7.027996	2.1316533	-4.233197	0.0031765278	0.0031765278	918.5386302471161
12	62.54532	30.098183	113.70632	36.424862	59.447945	7.3568645	67.73817	43.50494	1000.0	1000.0	47999	4.363291	0.7214955	7.1928215	2.472679	4.36329	0.72148204	7.306518	2.4697537	-4.4174795	0.003731197	0.003731197	1009.0498366355896
13	105.61217	19.216358	137.88127	87.16969	156.51364	22.56857	176.43625	100.78852	1000.0	1000.0	51999	4.5830235	0.7893861	9.92523	2.616994	4.5830135	0.7893816	9.856909	2.5916421	-4.65508	0.0077186166	0.0077186166	1099.266993522644
14	141.24632	28.226007	173.88617	98.092094	136.66199	25.099918	171.49515	81.1637	1000.0	1000.0	55999	5.0974364	0.94636965	10.703594	2.7670422	5.097444	0.94640636	11.005227	2.7574542	-5.185992	0.01375617	0.01375617	1186.2195386886597
15	144.75787	9.202949	159.2623	136.03107	179.13339	22.911213	215.97342	119.81638	1000.0	1000.0	59999	5.6934376	1.1121663	12.345095	2.8579416	5.693432	1.1122417	12.431231	2.8641782	-5.792422	0.019477932	0.019477932	1277.5490427017212
16	98.57616	83.50991	183.72885	8.705805	71.444885	63.20039	216.14468	3.91868	1000.0	1000.0	63999	6.339458	1.2161945	13.737361	2.590105	6.3395004	1.2162561	13.375379	3.1088421	-6.45553	0.02439462	0.02439462	1368.6712055206299
17	144.47346	49.79702	203.07027	88.02247	211.01086	27.134348	268.69635	177.02902	1000.0	1000.0	67999	6.86047	1.5038823	15.353779	3.4790003	6.860495	1.503968	15.129105	3.2611756	-6.9832644	0.03334093	0.03334093	1459.0621836185455
18	144.39694	63.0976	242.29916	65.978134	157.09523	45.63619	195.34091	68.345085	1000.0	1000.0	71999	7.456836	1.8433025	15.270323	3.3523333	7.4568925	1.8433464	15.757889	3.435277	-7.5754395	0.046058603	0.046058603	1548.0937004089355
19	162.77206	52.298542	197.76768	72.38912	174.75063	61.337517	292.16806	83.32265	1000.0	1000.0	75999	8.044756	2.0675914	17.555761	2.4263568	8.044798	2.0677392	16.812025	2.4643736	-8.18995	0.05380586	0.05380586	1641.880709886551
20	177.4559	59.946396	249.21667	82.836	232.87874	19.44444	272.15863	196.0241	1000.0	1000.0	79999	8.7593355	2.1001358	17.548908	2.9533715	8.759348	2.1002457	17.773722	2.8436594	-8.89843	0.06559597	0.06559597	1737.0279018878937
21	248.13539	34.471764	275.57764	188.99652	235.37497	50.35536	316.77563	192.39977	1000.0	1000.0	83999	9.508218	2.131183	19.031128	3.2699256	9.508234	2.1314821	18.901215	2.9231062	-9.658224	0.09124823	0.09124823	1832.6868917942047
22	227.37686	48.37803	311.15503	198.28142	252.78877	85.90169	381.78107	175.95407	1000.0	1000.0	87999	10.225191	2.2160854	20.411533	4.030263	10.225249	2.2163725	21.011112	3.963263	-10.378208	0.098147586	0.098147586	1924.1633715629578
23	230.39264	51.461853	319.5214	199.81767	268.05405	66.26446	336.87994	136.27031	1000.0	1000.0	91999	10.910104	2.4541204	22.448683	4.8905883	10.910104	2.4546041	22.341564	4.7065864	-11.081565	0.11616501	0.11616501	2019.1964676380157
24	318.31046	44.783463	358.17352	243.95866	260.09705	79.46446	387.74353	196.42322	1000.0	1000.0	95999	11.664331	2.6137154	23.39102	4.727869	11.66435	2.6144607	23.43683	4.8832226	-11.862096	0.14145492	0.14145492	2116.9403097629547
25	321.67078	125.35872	447.2437	193.0008	334.40543	127.99061	505.68375	201.5694	1000.0	1000.0	99999	12.522296	2.9898403	26.656275	5.2890844	12.522347	2.9906502	26.644407	5.551862	-12.7398615	0.1751096	0.1751096	2214.6594030857086
26	297.98315	111.72071	470.5087	195.73193	281.0641	101.53523	457.6492	198.6273	1000.0	1000.0	103999	13.357427	3.2943995	27.920406	5.6782136	13.357377	3.2950974	28.44268	5.0360775	-13.585008	0.20708881	0.20708881	2313.749619960785
27	286.17166	114.68051	479.31235	198.10959	396.98715	124.42957	502.3507	207.41196	1000.0	1000.0	107999	14.067158	3.606078	29.418768	4.73641	14.067102	3.606803	29.00554	5.5057592	-14.286154	0.21099985	0.21099985	2406.5570516586304
28	286.14453	110.14608	467.85886	196.45522	338.67776	132.41586	486.16443	203.58823	1000.0	1000.0	111999	14.74563	3.9452899	30.995884	5.5048842	14.745644	3.945916	30.705578	5.376526	-14.963569	0.22177243	0.22177243	2503.1211698055267
29	463.80127	156.91884	594.7856	203.57005	448.94077	215.66678	656.73566	176.97496	1000.0	1000.0	115999	15.476333	4.5108404	32.391426	3.4936922	15.47619	4.5117774	32.332863	4.1263704	-15.710479	0.25682127	0.25682127	2602.5853435993195
30	441.01877	175.43634	620.34973	190.8327	337.09195	198.04651	689.2864	181.62325	1000.0	1000.0	119999	16.37971	5.2381353	34.02473	4.4361553	16.379797	5.2385583	34.2054	4.3908305	-16.630602	0.29609284	0.29609284	2701.5536444187164
